open_time,base_return,raw_vol_target,drawdown_scalar,position,turnover,financing_cost,cost,net_pnl,equity,rebalanced
2016-09-12 00:00:00+00:00,0.05077549070859061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-13 00:00:00+00:00,-0.023598131612095008,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-14 00:00:00+00:00,0.01284984529492883,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-15 00:00:00+00:00,0.046378914689554795,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-16 00:00:00+00:00,-0.0011240829925557305,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-19 00:00:00+00:00,-0.013103101821984153,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-20 00:00:00+00:00,0.005538926132327537,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-21 00:00:00+00:00,0.029080927997454653,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-22 00:00:00+00:00,0.02337811563828396,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-23 00:00:00+00:00,-0.017998653944644727,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-26 00:00:00+00:00,-0.024829549931887795,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-27 00:00:00+00:00,0.02835362352685533,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-28 00:00:00+00:00,0.005467299690099292,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-29 00:00:00+00:00,-0.021207143348599855,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-30 00:00:00+00:00,0.02055528632589887,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-03 00:00:00+00:00,-0.0022549417804822447,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-04 00:00:00+00:00,-0.005690005698166023,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-05 00:00:00+00:00,0.010426046977066061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-06 00:00:00+00:00,-0.0015518357679379369,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-07 00:00:00+00:00,-0.006526867904747435,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-10 00:00:00+00:00,0.017910049929593663,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-11 00:00:00+00:00,-0.0413366520416778,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-12 00:00:00+00:00,-0.0020841063453650444,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-13 00:00:00+00:00,-0.01172564137135823,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-14 00:00:00+00:00,0.0022753885133466323,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-17 00:00:00+00:00,-0.006891950134719438,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-18 00:00:00+00:00,0.025636730177401645,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-19 00:00:00+00:00,0.00039804092972017813,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-20 00:00:00+00:00,-0.004217746615364892,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-21 00:00:00+00:00,0.010868148866184146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-24 00:00:00+00:00,0.03644236211858165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-25 00:00:00+00:00,-0.009990983791108854,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-26 00:00:00+00:00,-0.019183526604414802,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-27 00:00:00+00:00,-0.013982244169141733,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-28 00:00:00+00:00,-0.01728631604155284,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-31 00:00:00+00:00,-0.005674177444254469,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-01 00:00:00+00:00,-0.020544587968204575,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-02 00:00:00+00:00,-0.026053423852899327,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-03 00:00:00+00:00,-0.028800725031928875,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-04 00:00:00+00:00,-0.011351645917177411,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-07 00:00:00+00:00,0.07165114473342715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-08 00:00:00+00:00,0.01960127574011783,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-09 00:00:00+00:00,0.01401112267101734,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-10 00:00:00+00:00,-0.047557621916852644,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-11 00:00:00+00:00,-0.0008433852218080462,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-14 00:00:00+00:00,-0.03376693248259233,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-15 00:00:00+00:00,0.04630436080840572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-16 00:00:00+00:00,0.01628248183698089,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-17 00:00:00+00:00,0.023169725466853697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-18 00:00:00+00:00,-0.011242217976010327,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-21 00:00:00+00:00,0.0300497121107397,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-22 00:00:00+00:00,0.008988561909797133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-23 00:00:00+00:00,-0.012034432509452797,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-25 00:00:00+00:00,0.00964978734392985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-28 00:00:00+00:00,-0.005562107116497295,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-11-29 00:00:00+00:00,0.00961092163371724,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-11-30 00:00:00+00:00,-0.03238131510106723,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-12-01 00:00:00+00:00,-0.05491468086840745,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-12-02 00:00:00+00:00,0.004009773945926165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-12-05 00:00:00+00:00,0.023115658369540437,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-12-06 00:00:00+00:00,0.00722648844780438,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-12-07 00:00:00+00:00,0.03711016409458101,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-12-08 00:00:00+00:00,0.006123103001199004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-12-09 00:00:00+00:00,0.023393215585141958,0.6526826951116662,1.0,0.6526826951116662,0.6526826951116662,0.0,0.00032634134755583314,0.014942005647882853,1.0149420056478828,True
2016-12-12 00:00:00+00:00,-0.013900569013216901,0.6706625938652319,1.0,0.6526826951116662,0.0,0.0,0.0,-0.009072660847132121,1.0057337810511315,False
2016-12-13 00:00:00+00:00,0.03907919168637797,0.6744888572745797,1.0,0.6526826951116662,0.0,0.0,0.0,0.025506312152650593,1.0313863408130872,False
2016-12-14 00:00:00+00:00,-0.007310919468868304,0.6623756744713477,1.0,0.6526826951116662,0.0,0.0,0.0,-0.004771710622685316,1.0264648636545368,False
2016-12-15 00:00:00+00:00,0.006073907661472866,0.6810651337790172,1.0,0.6526826951116662,0.0,0.0,0.0,0.003964334422349508,1.0305341136468547,False
