scenario,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,total_trading_cost,average_position,max_position,total_overlay_cost,bootstrap_p,bootstrap_bh_q,check__sharpe_1_5,check__cagr_40pct,check__max_drawdown_20pct,check__positive_years_80pct,check__worst_rolling_3y_sharpe_1,check__mean_fdr_5pct,passed
TQQQ_WTMF_SWITCH,10000.0,304639.0905532923,29.463909055329232,0.4076030272380473,0.6537488250355604,1.0942623517338206,1.2918602428718104,0.5829389598843754,-0.6992207680181377,-0.17264938502261598,379.0,1.190827921900827,0.5606844409072821,,,,,,,1.3169774535636471,-0.29485574493628486,0.6166666666666667,3650.0,0.8888888888888888,9,0.43768120311102804,105.0,,,,0.0004,0.0006000000000000001,False,True,False,True,False,True,False
SWITCH_RISK_OVERLAY,10000.0,34988.034823130205,2.4988034823130207,0.13352005868777939,0.24617578344902824,0.8636286387157931,0.9782831217567789,0.5634949722580841,-0.23694986692201825,-0.12775080325967092,544.0,1.1491783326343987,0.547950656585754,,,,,,,0.8752799393875803,-0.19279793747581653,0.575,3650.0,0.7777777777777778,9,-0.01911474942224131,,0.4488303926301867,1.5602911248878473,202.04240296343698,0.0094,0.0094,False,False,False,False,False,True,False
BLEND_1x,10000.0,452428.8127742816,44.24288127742816,0.464429332994891,0.34926017806111315,1.761875023770467,2.3684397901455068,1.4001012331532805,-0.3317112520134793,-0.12469027412833361,411.0,1.3190564515118992,0.536808595304417,,,,,,,2.200055713049036,-0.2636864291704877,0.5833333333333334,3650.0,0.7777777777777778,9,0.7906672746112978,,,,,0.0004,0.0006000000000000001,True,True,False,False,False,True,False
BLEND_2x,10000.0,5982203.034654395,597.2203034654394,0.8961658071891909,0.6985137236355006,1.6809071030728868,2.2617630979264867,1.4740813159402941,-0.607948691499112,-0.2575777232780469,490.0,1.3023921620128918,0.5344210107441305,,,,,,,7.694320097732618,-0.4908224685491276,0.5833333333333334,3650.0,0.7777777777777778,9,0.7074806632576379,,,,,0.0004,0.0006000000000000001,True,True,False,False,False,True,False
BLEND_3x,10000.0,33851118.974732816,3384.1118974732813,1.2552726567830157,1.0477673731999755,1.6539172903328845,2.2262980798593603,1.5889045942265498,-0.7900239330568868,-0.3906616621760614,632.0,1.296882664313414,0.5328292877039396,,,,,,,19.92763849686484,-0.6560421544615542,0.5583333333333333,3650.0,0.7777777777777778,9,0.6797517928064152,,,,,0.0004,0.0006000000000000001,True,True,False,False,False,True,False
BLEND_RISK_OVERLAY,10000.0,250955.8728639614,24.095587286396142,0.3805609952588307,0.276049065490785,1.8349069219200023,2.5408946001242976,1.5370221797647765,-0.24759629383947546,-0.11659056404539997,412.0,1.360391535617021,0.535216872264226,,,,,,,1.8633089439940838,-0.20478611424054938,0.5666666666666667,3650.0,0.7777777777777778,9,0.8041966012339421,,0.7586073871746114,3.0,586.1542536075069,0.0006,0.0007199999999999999,True,False,False,False,False,True,False
