alpha_name,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
A01_ts_momentum_12,False,0.005772426684494816,0.8333333333333334,inf,inf,5.747381245421272,-13.677448736315075,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_120,False,0.011410436021247366,1.0,inf,1.0,2.3708016215277508,-3.1164528801422624,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_24,False,0.013833352128761718,0.6666666666666666,inf,inf,4.287725702202714,-8.736297340954941,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_48,False,0.00685583943637347,0.8333333333333334,inf,1.0,3.0324450219130346,-5.548030052427294,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_72,False,2.4721892956756182e-05,0.5,inf,1.0,4.173566006915599,-5.365359433082355,14668,1466,True,False,False,False,False,True,True
A02_ema_distance_100,False,0.008259918418485723,0.8333333333333334,inf,1.0,2.4216512762597,-4.2385309422935045,14668,1466,True,True,False,False,False,True,True
A02_ema_distance_20,False,0.010420860941319422,0.6666666666666666,inf,inf,4.882799905718781,-12.851507861863343,14668,1466,True,True,False,False,False,True,True
A02_ema_distance_50,False,0.005874491669535589,0.8333333333333334,inf,inf,3.973739545964795,-7.8277121664715406,14668,1466,True,True,False,False,False,True,True
A03_donchian_breakout_20,False,0.00041889411748902757,0.5,inf,inf,25.080041987338163,-13.790554388216155,14668,1466,True,False,False,False,False,True,True
A04_short_reversion_1,False,-0.0018584613110540628,0.3333333333333333,inf,inf,118.47377409310899,-54.95784264730241,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_2,False,-0.007899410006383011,0.3333333333333333,inf,inf,inf,-40.72954947060673,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_3,False,-0.008931151478851932,0.16666666666666666,inf,inf,inf,-35.55637992383791,14668,1466,False,False,False,False,False,True,True
