leverage,path__initial_capital,path__final_value,path__total_return,path__cagr,path__annualized_volatility,path__sharpe_ratio,path__sortino_ratio,path__calmar_ratio,path__max_drawdown,path__average_drawdown,path__longest_drawdown_days,path__profit_factor,path__win_rate,path__turnover_per_bar,path__annualized_turnover,path__total_fees,path__rebalance_count,path__exposure_pct,path__average_exposure,path__best_year,path__worst_year,path__monthly_hit_rate,path__elapsed_days,path__positive_complete_year_ratio,path__complete_year_count,path__worst_rolling_3y_sharpe,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__sample_at_least_12_5y,check__worst_rolling_3y_sharpe_at_least_1,check__account_executable_for_10000,check__solvent,check__start_by_2013_12_31,check__end_by_2026_08_31,check__span_at_least_12_5y,check__weekday_coverage_at_least_94pct,ending_equity,total_external_cost_pct_initial,total_financing_cost_pct_initial,strict_gate_passed
1.0,10000.0,22109.78713991833,1.210978713991833,0.06214191738550845,0.1765900944213257,0.5842873721842944,0.8057531441145419,0.15410478738619154,-0.4032445613112512,-0.1819206079472939,1877.0,1.0869407737672803,0.5018126888217522,,,,,,,0.4964212150613869,-0.14585628775806303,0.5253164556962026,4807.0,0.5,12,-1.0546394341512826,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,22109.78713991833,0.002,0.0,False
2.0,10000.0,21755.82391989718,1.175582391989718,0.060840232773750946,0.3531801888426514,0.4201326650185983,0.5754792961302467,0.08046182995598213,-0.7561378209647298,-0.4385014402630303,2755.0,1.0617633097436325,0.5018126888217522,,,,,,,1.0676226473183652,-0.3150941721953734,0.5,4807.0,0.3333333333333333,12,-1.2011911850271557,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,21755.82391989718,0.004,0.5253968253968254,False
3.0,10000.0,16069.257882888229,0.6069257882888228,0.0366977796475505,0.5297702832639771,0.3654144292967003,0.500528656961705,0.04023459587094461,-0.91209514730212,-0.6423940339617269,2872.0,1.0535048148996407,0.5018126888217522,,,,,,,1.744972089649007,-0.46370712921876434,0.4936708860759494,4807.0,0.3333333333333333,12,-1.2500417686524483,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,16069.257882888229,0.006,1.0507936507936508,False
4.0,10000.0,8876.468396053067,-0.11235316039469334,-0.009014867351032851,0.7063603776853028,0.3380553114357515,0.4630533373774345,-0.009271131623006414,-0.972358900467162,-0.7651416521569491,2872.0,1.049400240833109,0.5018126888217522,,,,,,,2.500644406122751,-0.5901624497911002,0.47468354430379744,4807.0,0.3333333333333333,12,-1.274467060465092,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,8876.468396053067,0.008,1.5761904761904768,False
5.0,10000.0,3649.2106743899058,-0.6350789325610094,-0.07373642183408824,0.8829504721066285,0.3216398407191817,0.44056814562687135,-0.07429069924869898,-0.9925390739323208,-0.8306991212446969,2872.0,1.046945335321436,0.5018126888217522,,,,,,,3.286433472102651,-0.6945148663669718,0.47468354430379744,4807.0,0.3333333333333333,12,-1.28912223555268,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,3649.2106743899058,0.01,2.1015873015873017,False
