date,spy_return,position,turnover,trading_cost,leverage_financing,net_return
1993-02-01 14:30:00+00:00,0.0071125552233723965,1.0,1.0,0.0005,0.0,0.006612555223372396
1993-02-02 14:30:00+00:00,0.0021184851554847395,1.0,0.0,0.0,0.0,0.0021184851554847395
1993-02-03 14:30:00+00:00,0.010571208942515398,1.0,0.0,0.0,0.0,0.010571208942515398
1993-02-04 14:30:00+00:00,0.004184250985569848,1.0,0.0,0.0,0.0,0.004184250985569848
1993-02-05 14:30:00+00:00,-0.0006951644174675309,1.0,0.0,0.0,0.0,-0.0006951644174675309
1993-02-08 14:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
1993-02-09 14:30:00+00:00,-0.0069488287941547044,1.0,0.0,0.0,0.0,-0.0069488287941547044
1993-02-10 14:30:00+00:00,0.001399319361101048,1.0,0.0,0.0,0.0,0.001399319361101048
1993-02-11 14:30:00+00:00,0.004891473468269902,1.0,0.0,0.0,0.0,0.004891473468269902
1993-02-12 14:30:00+00:00,-0.00764932900738069,1.0,0.0,0.0,0.0,-0.00764932900738069
1993-02-16 14:30:00+00:00,-0.025227187936950446,1.0,0.0,0.0,0.0,-0.025227187936950446
1993-02-17 14:30:00+00:00,-0.0007197325364519669,1.0,0.0,0.0,0.0,-0.0007197325364519669
1993-02-18 14:30:00+00:00,-0.0007192908032710443,1.0,0.0,0.0,0.0,-0.0007192908032710443
1993-02-19 14:30:00+00:00,0.0035995231808780837,1.0,0.0,0.0,0.0,0.0035995231808780837
1993-02-22 14:30:00+00:00,0.0035873311086269677,1.0,0.0,0.0,0.0,0.0035873311086269677
1993-02-23 14:30:00+00:00,-0.0007145041561358312,1.0,0.0,0.0,0.0,-0.0007145041561358312
1993-02-24 14:30:00+00:00,0.012875202907791428,1.0,0.0,0.0,0.0,0.012875202907791428
1993-02-25 14:30:00+00:00,0.0021184851554847395,1.0,0.0,0.0,0.0,0.0021184851554847395
1993-02-26 14:30:00+00:00,0.001409572900586742,1.0,0.0,0.0,0.0,0.001409572900586742
1993-03-01 14:30:00+00:00,-0.0028153341323104986,1.0,0.0,0.0,0.0,-0.0028153341323104986
1993-03-02 14:30:00+00:00,0.014820114625023084,1.0,0.0,0.0,0.0,0.014820114625023084
1993-03-03 14:30:00+00:00,0.004173310441907274,1.0,0.0,0.0,0.0,0.004173310441907274
1993-03-04 14:30:00+00:00,-0.005540441208183866,1.0,0.0,0.0,0.0,-0.005540441208183866
1993-03-05 14:30:00+00:00,-0.0027856930818173087,1.0,0.0,0.0,0.0,-0.0027856930818173087
1993-03-08 14:30:00+00:00,0.02234655614854142,1.0,0.0,0.0,0.0,0.02234655614854142
1993-03-09 14:30:00+00:00,-0.0034158033530403697,1.0,0.0,0.0,0.0,-0.0034158033530403697
