open_time,net_pnl,tqqq_position,sqqq_position,turnover,trading_cost,cost,equity,rebalanced
2016-09-12 00:00:00+00:00,0.05077539097854861,1.0,0.0,1.0,0.0005,0.0005,1.0507753909785487,True
2016-09-13 00:00:00+00:00,-0.02359813633138863,1.0,0.0,0.0,0.0,0.0,1.0259790500485686,False
2016-09-14 00:00:00+00:00,0.0128500527460782,1.0,0.0,0.0,0.0,0.0,1.039162934958064,False
2016-09-15 00:00:00+00:00,0.04637881357920137,1.0,0.0,0.0,0.0,0.0,1.0873580789968997,False
2016-09-16 00:00:00+00:00,-0.0011238898435279587,1.0,0.0,0.0,0.0,0.0,1.086136008295637,False
2016-09-19 00:00:00+00:00,-0.013103003816876568,1.0,0.0,0.0,0.0,0.0,1.0719043640332921,False
2016-09-20 00:00:00+00:00,0.005538729002600329,1.0,0.0,0.0,0.0,0.0,1.0778413518223773,False
2016-09-21 00:00:00+00:00,0.0290807330334526,1.0,0.0,0.0,0.0,0.0,1.1091857684271396,False
2016-09-22 00:00:00+00:00,0.02337840424916182,1.0,0.0,0.0,0.0,0.0,1.1351167617088465,False
2016-09-23 00:00:00+00:00,-0.017998467152068542,1.0,0.0,0.0,0.0,0.0,1.1146863999594674,False
2016-09-26 00:00:00+00:00,-0.02482973143022771,1.0,0.0,0.0,0.0,0.0,1.0870090360195463,False
2016-09-27 00:00:00+00:00,0.028353620786198297,1.0,0.0,0.0,0.0,0.0,1.1178296780180155,False
2016-09-28 00:00:00+00:00,0.00546711118668286,1.0,0.0,0.0,0.0,0.0,1.1239409771555138,False
2016-09-29 00:00:00+00:00,-0.021207145331121557,1.0,0.0,0.0,0.0,0.0,1.100105397509374,False
2016-09-30 00:00:00+00:00,0.020555479307417412,1.0,0.0,0.0,0.0,0.0,1.1227185912438562,False
2016-10-03 00:00:00+00:00,-0.0022549415694523844,1.0,0.0,0.0,0.0,0.0,1.1201869264216635,False
2016-10-04 00:00:00+00:00,-0.005690098961423695,1.0,0.0,0.0,0.0,0.0,1.1138129519550313,False
2016-10-05 00:00:00+00:00,0.010425952643335012,1.0,0.0,0.0,0.0,0.0,1.1254255130456476,False
2016-10-06 00:00:00+00:00,-0.0015519292731783763,1.0,0.0,0.0,0.0,0.0,1.1236789322471703,False
2016-10-07 00:00:00+00:00,-0.006526775619868808,1.0,0.0,0.0,0.0,0.0,1.1163449319876193,False
2016-10-10 00:00:00+00:00,0.017910239854829646,1.0,0.0,0.0,0.0,0.0,1.136338937480241,False
2016-10-11 00:00:00+00:00,-0.041336833146988106,1.0,0.0,0.0,0.0,0.0,1.0893662844231946,False
2016-10-12 00:00:00+00:00,-0.0020841065463784725,1.0,0.0,0.0,0.0,0.0,1.0870959290184243,False
2016-10-13 00:00:00+00:00,-0.011725642504666345,1.0,0.0,0.0,0.0,0.0,1.0743490307864763,False
2016-10-14 00:00:00+00:00,0.002275486534756732,1.0,0.0,0.0,0.0,0.0,1.07679369753966,False
2016-10-17 00:00:00+00:00,-0.006892047711564375,1.0,0.0,0.0,0.0,0.0,1.0693723840007048,False
2016-10-18 00:00:00+00:00,0.02563673269631317,1.0,0.0,0.0,0.0,0.0,1.09678759796215,False
2016-10-19 00:00:00+00:00,0.0003981367659184887,1.0,0.0,0.0,0.0,0.0,1.0972242694293022,False
