scenario,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,average_position,max_position,total_overlay_cost,bootstrap_p,bootstrap_bh_q,check__sharpe_1_5,check__cagr_40pct,check__max_drawdown_20pct,check__positive_years_80pct,check__worst_rolling_3y_sharpe_1,check__mean_fdr_5pct,passed
1x,10000.0,88239.5091014649,7.82395091014649,0.24345788258711343,0.2457579313924833,1.4114556136576866,1.6736640146588362,0.7210334319253969,-0.33765130964454815,-0.08378230551930636,571.0,1.2977780099440623,0.5248706725029845,,,,,,,1.0505203308841473,-0.17642810010869647,0.6166666666666667,3650.0,0.7777777777777778,9,0.39065051716291305,,,,0.0032,0.0076,False,False,False,False,False,True,False
2x,10000.0,345847.2265649605,33.58472265649605,0.4255873492876434,0.49151064616754825,1.2963787037040873,1.5510929012688799,0.6967406639198042,-0.6108260523984992,-0.18532606017728417,631.0,1.270454191429149,0.5216872264226025,,,,,,,2.212029688975516,-0.35972243896361167,0.6,3650.0,0.7777777777777778,9,0.2635504848612669,,,,0.0058,0.0076,False,True,False,False,False,True,False
3x,10000.0,873699.4876263653,86.36994876263653,0.5641167904555595,0.7372635087402641,1.2580189386978335,1.5070454672465976,0.7059078580024654,-0.7991365786065373,-0.2805723678283049,651.0,1.2614743314278958,0.5196975726223637,,,,,,,3.146271208469215,-0.5111246431884746,0.5833333333333334,3650.0,0.7777777777777778,9,0.22118380742738614,,,,0.0076,0.0076,False,True,False,False,False,True,False
RISK_OVERLAY,10000.0,101830.27236674304,9.183027236674304,0.2614113174929984,0.24285579745556005,1.5098240514950285,1.991944629825735,0.8452436353931893,-0.3092733343935745,-0.14856739636240193,710.0,1.3174637345009124,0.524074810982889,,,,,,,1.1478144578888458,-0.2261283539523612,0.575,3650.0,0.6666666666666666,9,0.4687804898134225,1.0773605816553233,3.0,1623.2472481275672,0.0048,0.0076,True,False,False,False,False,True,False
