date,weight_RSP,weight_OEF,gross_return,turnover,maintenance_turnover,trading_cost,short_borrow,financing_cost,net_return,equity
2003-05-02 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2003-05-05 13:30:00+00:00,1.5,-1.5,0.006665304003254602,3.0,0.006665304003254602,0.0015033326520016272,1.785714285714286e-05,0.00031746031746031746,0.004826653890935513,10048.266538909356
2003-05-06 13:30:00+00:00,1.5,-1.5,0.003376152603662308,0.0,0.02054472372417082,1.027236186208541e-05,1.785714285714286e-05,0.00031746031746031746,0.0030305627814827623,10078.718441500594
2003-05-07 13:30:00+00:00,1.5,-1.5,0.0007771116608174533,0.0,0.01249921193046416,6.24960596523208e-06,1.785714285714286e-05,0.00031746031746031746,0.000435544594534761,10083.108172837627
2003-05-08 13:30:00+00:00,1.5,-1.5,0.000294886561346297,0.0,0.03272902267035155,1.6364511335175774e-05,1.785714285714286e-05,0.00031746031746031746,-5.679541030633909e-05,10082.535498571788
2003-05-09 13:30:00+00:00,1.5,-1.5,-0.0012929408286797006,0.0,0.043656135924913686,2.1828067962456845e-05,1.785714285714286e-05,0.00031746031746031746,-0.0016500863569596177,10065.898444302033
2003-05-12 13:30:00+00:00,1.5,-1.5,0.009551890416393372,0.0,0.046244451521116225,2.3122225760558112e-05,1.785714285714286e-05,0.00031746031746031746,0.009193450730315354,10158.438785706081
2003-05-13 13:30:00+00:00,1.5,-1.5,0.003988121812953105,0.0,0.011010522882333118,5.5052614411665595e-06,1.785714285714286e-05,0.00031746031746031746,0.0036472990911944774,10195.489650257141
2003-05-14 13:30:00+00:00,1.5,-1.5,0.006660002289424816,0.0,0.006660002289424816,3.330001144712408e-06,1.785714285714286e-05,0.00031746031746031746,0.006321354827962642,10259.938957981236
2003-05-15 13:30:00+00:00,1.5,-1.5,0.0039450511282058676,0.0,0.027234274844631146,1.3617137422315572e-05,1.785714285714286e-05,0.00031746031746031746,0.0035961165304660915,10296.834894069607
2003-05-16 13:30:00+00:00,1.5,-1.5,0.0063891629421107266,0.0,0.0063891629421107266,3.1945814710553634e-06,1.785714285714286e-05,0.00031746031746031746,0.00605065090032221,10359.137447391877
2003-05-19 13:30:00+00:00,1.5,-1.5,-0.00016996549950965,0.0,0.07781436645698647,3.8907183228493235e-05,1.785714285714286e-05,0.00031746031746031746,-0.0005441901430556036,10353.50010690245
2003-05-20 13:30:00+00:00,1.5,-1.5,-0.001530838348492658,0.0,0.0021730207053937134,1.0865103526968567e-06,1.785714285714286e-05,0.00031746031746031746,-0.0018672423191628152,10334.167613351383
2003-05-21 13:30:00+00:00,1.5,-1.5,0.0030978297674469912,0.0,0.008883587292672135,4.4417936463360675e-06,1.785714285714286e-05,0.00031746031746031746,0.002758070513483195,10362.66997632716
2003-05-22 13:30:00+00:00,1.5,-1.5,0.008155672318873708,0.0,0.03446687654631664,1.723343827315832e-05,1.785714285714286e-05,0.00031746031746031746,0.007803121420283091,10443.531148390766
2003-05-23 13:30:00+00:00,1.5,-1.5,0.005542979461829578,0.0,0.011267209057054473,5.6336045285272366e-06,1.785714285714286e-05,0.00031746031746031746,0.005202028396983589,10497.858693989478
2003-05-27 13:30:00+00:00,1.5,-1.5,0.004381229555626365,0.0,0.06025462117648617,3.0127310588243083e-05,1.785714285714286e-05,0.00031746031746031746,0.004015784784720661,10540.015835204948
2003-05-28 13:30:00+00:00,1.5,-1.5,0.0011489096973656965,0.0,0.006758867205184704,3.379433602592352e-06,1.785714285714286e-05,0.00031746031746031746,0.0008102128034456438,10548.555490983152
2003-05-29 13:30:00+00:00,1.5,-1.5,0.0024734912439040024,0.0,0.013080436301352305,6.540218150676153e-06,1.785714285714286e-05,0.00031746031746031746,0.002131633565435866,10571.041145934592
2003-05-30 13:30:00+00:00,1.5,-1.5,0.009645087316679457,0.0,0.049043581324909824,2.4521790662454912e-05,1.785714285714286e-05,0.00031746031746031746,0.009285248065699542,10669.19588528731
2003-06-02 13:30:00+00:00,1.5,-1.5,0.0021264298261720604,0.0,0.01447300592069456,7.23650296034728e-06,1.785714285714286e-05,0.00031746031746031746,0.0017838758628942529,10688.228406303566
2003-06-03 13:30:00+00:00,1.5,-1.5,-0.007293913089340187,0.0,0.007293913089340187,3.6469565446700936e-06,1.785714285714286e-05,0.00031746031746031746,-0.007632877506202318,10606.646468119938
2003-06-04 13:30:00+00:00,1.5,-1.5,0.006644473307102605,0.0,0.056216346951122875,2.810817347556144e-05,1.785714285714286e-05,0.00031746031746031746,0.006281047673309583,10673.267320240138
2003-06-05 13:30:00+00:00,1.5,-1.5,0.009060717068358093,0.0,0.01207099404007872,6.03549702003936e-06,1.785714285714286e-05,0.00031746031746031746,0.008719364111020594,10766.33142425957
2003-06-06 13:30:00+00:00,1.5,-1.5,-0.005967076129901272,0.0,0.00957641934716108,4.78820967358054e-06,1.785714285714286e-05,0.00031746031746031746,-0.006307181799892314,10698.42621464887
2003-06-09 13:30:00+00:00,1.5,-1.5,-0.012306535550904107,0.0,0.03639218434860758,1.819609217430379e-05,1.785714285714286e-05,0.00031746031746031746,-0.012660049103395871,10562.983613442359
2003-06-10 13:30:00+00:00,1.5,-1.5,-0.003107925024270153,0.0,0.024815600080563605,1.2407800040281802e-05,1.785714285714286e-05,0.00031746031746031746,-0.003455650284627895,10526.481636112047
2003-06-11 13:30:00+00:00,1.5,-1.5,0.008312889440471039,0.0,0.0431972390296379,2.159861951481895e-05,1.785714285714286e-05,0.00031746031746031746,0.00795597336063876,10610.230043590205
