year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2016,252,10000.0,16976.453522576045,0.6976453522576045,0.7082558766024754,0.6823917711659058,1.4654724849109182,2.3388205226053684,1.9758766470467681,-0.3584514638912635,-0.10687756858887476,99.0,1.2279732260096259,0.503968253968254,,,,,,,0.6976453522576045,0.6976453522576045,0.7272727272727273,361.0,1.0,1,,False
2017,251,10000.0,14825.648334236377,0.48256483342363765,0.49110300045206,0.5621327312857082,1.3055398397817017,1.6418871387476817,1.352958000814854,-0.36298466039321287,-0.11206379730726759,90.0,1.206745524312668,0.5617529880478087,,,,,,,0.48256483342363765,0.48256483342363765,0.5454545454545454,360.0,1.0,1,,False
2018,251,10000.0,6397.912820749711,-0.36020871792502895,-0.36197737998236235,0.7613067007464673,-0.46291767228198305,-0.5714062334470305,-0.6986976435436053,-0.5180744250782228,-0.32088440860664386,236.0,0.9355735703420792,0.5219123505976095,,,,,,,-0.36020871792502895,-0.36020871792502895,0.6363636363636364,363.0,0.0,1,,False
2019,252,10000.0,14195.340967038881,0.4195340967038881,0.4226199059196709,0.6722022568846255,1.0969270819500179,1.3588419955222601,0.9255496567854863,-0.45661505335917496,-0.15992701724151717,167.0,1.1793488832098644,0.5555555555555556,,,,,,,0.4195340967038881,0.4195340967038881,0.8181818181818182,363.0,1.0,1,,False
2020,253,10000.0,3990.9010528846343,-0.6009098947115366,-0.6021668103671451,1.4441358134842448,-0.048443164958673963,-0.04622385335926216,-0.6593432456946082,-0.9132827465803057,-0.6937964121250657,219.0,0.9912679708730685,0.5454545454545454,,,,,,,-0.6009098947115366,-0.6009098947115366,0.6363636363636364,364.0,0.0,1,,False
2021,252,10000.0,15480.716180493677,0.5480716180493677,0.5560567456481134,0.7844876949450174,1.2039789270745749,1.710395257522147,1.3645993109137429,-0.4074871951062139,-0.17187427013311987,141.0,1.1787976247195397,0.5396825396825397,,,,,,,0.5480716180493677,0.5480716180493677,0.45454545454545453,361.0,1.0,1,,False
2022,251,10000.0,10535.140113346539,0.053514011334653944,0.054160786734402944,0.7356813466775692,0.4696334453275034,0.7597693431618826,0.14322030825529028,-0.37816415419146643,-0.19092283558710693,100.0,1.0664326958312969,0.4940239043824701,,,,,,,0.053514011334653944,0.053514011334653944,0.6363636363636364,361.0,1.0,1,,False
2023,250,10000.0,7018.314732677937,-0.2981685267322063,-0.3017830263911252,0.7280887521819256,-0.3373652523580948,-0.427002638090939,-0.6351101452214916,-0.4751664394935462,-0.2785775777749375,207.0,0.9538888978493515,0.548,,,,,,,-0.2981685267322063,-0.2981685267322063,0.45454545454545453,360.0,0.0,1,,False
2024,252,10000.0,14134.80368073432,0.413480368073432,0.4151611123012058,0.6337363869267545,1.1123241224252363,1.45529071110301,1.0463989048173734,-0.396752242753602,-0.1560783135811137,127.0,1.1737285796303143,0.5634920634920635,,,,,,,0.413480368073432,0.413480368073432,0.5454545454545454,364.0,1.0,1,,False
2025,250,10000.0,8919.941188204912,-0.10800588117950882,-0.10863758586601346,0.7413078508489621,0.16021812651599646,0.18417419414062605,-0.174665806134184,-0.6219739757337192,-0.3060548766846518,241.0,1.0277876421381713,0.512,,,,,,,-0.10800588117950882,-0.10800588117950882,0.6363636363636364,363.0,0.0,1,,False
