cost_multiplier,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days
1,5000.0,7836.130535014557,0.5672261070029114,0.0694340573903216,0.12460690345809602,0.6012428597456091,0.6055951120935837,0.25579027006384314,-0.2714491734693092,-0.1896365626523177,2069.6666666666665,1.072789600023752,0.5039768618944324,0.006774005754845696,14.845233611744343,1490.5183562674729,2258,0.09180884671213843,0.09180884671213843,0.5428131458991483,-0.08387014384857683,0.3625,2444.6666666666665
2,5000.0,6037.8149632793165,0.2075629926558633,0.028579551776832357,0.11810728553491127,0.29784643173300285,0.30012757662064804,0.08425807162823082,-0.339190670099038,-0.23348055392475875,2069.6666666666665,1.0357192859062205,0.5010118531367447,0.005607081908521062,12.287920002523908,2467.5085354828634,1942,0.08378870777386944,0.08378870777386944,0.3377907947165064,-0.1083652262341902,0.325,2444.6666666666665
3,5000.0,4748.053510946561,-0.050389297810687905,-0.0076950485888129805,0.11293672174013906,-0.011729060141030282,-0.011897264369460266,-0.018662243411657266,-0.4123324521641547,-0.27165248034441275,2069.6666666666665,0.9986301741407632,0.49591397849462365,0.005283746385327816,11.57933020344591,3487.827407686818,1851,0.0808401775150432,0.0808401775150432,0.1897269631235745,-0.13191734884464612,0.325,2444.6666666666665
