scenario,symbol,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days
B_alpha_ensemble_equal,BTCUSDT,2500.0,4748.6450312891,0.8994580125156402,0.10059919707352516,0.13214591471859993,0.7914644790189667,0.835695050633338,0.48397359886158164,-0.20786091908764825,-0.12333723211459463,1150.3333333333333,1.0939944908098156,0.5011419001218027,0.008120672145189403,17.796453006182578,893.4160477333752,1430,0.1265924845763421,0.1265924845763421,0.5616119140786855,-0.09591762642172097,0.3375,2444.6666666666665
B_alpha_ensemble_equal,ETHUSDT,2500.0,6506.382023592244,1.6025528094368977,0.15362204763740483,0.17403117559092415,0.9081875526795278,0.9531851019364482,0.7442199507788074,-0.2064202222429582,-0.12647078815419321,1034.1666666666665,1.1049968410553792,0.5044582971672059,0.007802359859778649,17.09887163270491,858.3961258731977,1431,0.12202945060954927,0.12202945060954927,0.5378764374332583,-0.0438405223350935,0.375,2444.6666666666665
B_alpha_ensemble_ic,BTCUSDT,2500.0,3644.744668526655,0.45789786741066196,0.05794223178225222,0.12370348842058003,0.5172586654658059,0.5032610981070105,0.20010887595960433,-0.2895535318180935,-0.1700853387900411,2071.5,1.0667586056908998,0.5018568534773802,0.007840069216217906,17.18151168734154,862.5448149952534,1242,0.10036035917028319,0.10036035917028319,0.4781420883824046,-0.11651237759393551,0.3875,2444.6666666666665
B_alpha_ensemble_ic,ETHUSDT,2500.0,4297.444665501923,0.7189778662007693,0.08430384381610545,0.15204372906834604,0.6084718668955802,0.5820772889203376,0.2980788716027784,-0.2828239497915479,-0.20544041906861174,2069.6666666666665,1.079681237520212,0.5022292158405455,0.0061311457189087044,13.436405842988426,674.5333241300384,1058,0.08796564209380975,0.08796564209380975,0.6412695764408141,-0.06284440607722086,0.3875,2444.6666666666665
B_alpha_ensemble_corr_penalized,BTCUSDT,2500.0,3466.230856263008,0.38649234250520315,0.05003420400529501,0.1192061285551991,0.4693178896004613,0.4457466127893287,0.1729123198119527,-0.28936170690271634,-0.1776250756257059,2071.5,1.061170125956179,0.5019701901661813,0.0073619915776988645,16.133804542527063,809.947908399485,1202,0.09487501123781254,0.09487501123781254,0.40311162187593275,-0.11590261730075124,0.4125,2444.6666666666665
B_alpha_ensemble_corr_penalized,ETHUSDT,2500.0,4369.899678751463,0.7479598715005855,0.08701582467659863,0.15338803830435924,0.6207701961508375,0.5929920114235764,0.30153176499387513,-0.2885792967064884,-0.2043827948746602,2069.6666666666665,1.08103792993773,0.5012713722051731,0.0061860199319925275,13.556662680961624,680.5704478679879,1056,0.0887426821864643,0.0887426821864643,0.6825146699223783,-0.06009667720909251,0.375,2444.6666666666665
D_regime_filtered_ensemble_corr_penalized,BTCUSDT,2500.0,2135.9057462176265,-0.1456377015129493,-0.023242271304736106,0.09680303348738545,-0.19441620767515394,-0.14960460003605905,-0.06966116037281178,-0.33364748994056936,-0.2348961831585178,2071.5,0.9701719882075541,0.49977514615499924,0.01413147829158206,30.969134676002085,1554.7099129441294,1332,0.05844527469095194,0.05844527469095194,0.12796413688486763,-0.12808002958087794,0.325,2444.6666666666665
D_regime_filtered_ensemble_corr_penalized,ETHUSDT,2500.0,2742.155574880189,0.0968622299520756,0.013909044060976816,0.14626120273158866,0.16747301105225276,0.14069484434290563,0.03063587459242399,-0.45401165287497336,-0.28802080027537974,2064.6666666666665,1.0252120063096675,0.49173144876325087,0.015749206631273577,34.51438633243605,1732.6883405561407,1489,0.06580204016655705,0.06580204016655705,0.4282945406334042,-0.12048036544466822,0.25,2444.6666666666665
