date,MTUM
2013-04-18 13:30:00+00:00,43.59390640258789
2013-04-19 13:30:00+00:00,43.59390640258789
2013-04-22 13:30:00+00:00,43.59390640258789
2013-04-23 13:30:00+00:00,44.706878662109375
2013-04-24 13:30:00+00:00,44.14182662963867
2013-04-25 13:30:00+00:00,44.35588073730469
2013-04-26 13:30:00+00:00,44.321617126464844
2013-04-29 13:30:00+00:00,44.57846450805664
2013-04-30 13:30:00+00:00,44.38154983520508
2013-05-01 13:30:00+00:00,44.347312927246094
2013-05-02 13:30:00+00:00,44.54421615600586
2013-05-03 13:30:00+00:00,45.04933166503906
2013-05-06 13:30:00+00:00,44.98085021972656
2013-05-07 13:30:00+00:00,44.997955322265625
2013-05-08 13:30:00+00:00,45.220550537109375
2013-05-09 13:30:00+00:00,45.22911834716797
2013-05-10 13:30:00+00:00,45.33184814453125
2013-05-13 13:30:00+00:00,45.45170974731445
2013-05-14 13:30:00+00:00,45.84553909301758
2013-05-15 13:30:00+00:00,45.99964141845703
2013-05-16 13:30:00+00:00,45.802730560302734
2013-05-17 13:30:00+00:00,45.70854568481445
2013-05-20 13:30:00+00:00,45.64862823486328
2013-05-21 13:30:00+00:00,45.84553909301758
2013-05-22 13:30:00+00:00,45.597251892089844
2013-05-23 13:30:00+00:00,45.494510650634766
2013-05-24 13:30:00+00:00,45.52019500732422
2013-05-28 13:30:00+00:00,45.725677490234375
2013-05-29 13:30:00+00:00,45.109256744384766
2013-05-30 13:30:00+00:00,45.143497467041016
2013-05-31 13:30:00+00:00,44.51853561401367
2013-06-03 13:30:00+00:00,44.2702522277832
2013-06-04 13:30:00+00:00,44.244571685791016
2013-06-05 13:30:00+00:00,43.63673400878906
2013-06-06 13:30:00+00:00,43.96205520629883
2013-06-07 13:30:00+00:00,44.698333740234375
2013-06-10 13:30:00+00:00,44.61271286010742
2013-06-11 13:30:00+00:00,44.40724182128906
2013-06-12 13:30:00+00:00,43.94493103027344
2013-06-13 13:30:00+00:00,44.50141143798828
2013-06-14 13:30:00+00:00,44.54421615600586
2013-06-17 13:30:00+00:00,44.64695358276367
2013-06-18 13:30:00+00:00,44.835296630859375
2013-06-19 13:30:00+00:00,44.40724182128906
2013-06-20 13:30:00+00:00,42.96894454956055
2013-06-21 13:30:00+00:00,43.1829719543457
2013-06-24 13:30:00+00:00,42.90900802612305
2013-06-25 13:30:00+00:00,43.29426193237305
2013-06-26 13:30:00+00:00,43.679534912109375
2013-06-27 13:30:00+00:00,44.14963912963867
2013-06-28 13:30:00+00:00,44.14963912963867
2013-07-01 13:30:00+00:00,44.23558044433594
2013-07-02 13:30:00+00:00,44.14963912963867
2013-07-03 13:30:00+00:00,44.20120620727539
2013-07-05 13:30:00+00:00,44.639522552490234
2013-07-08 13:30:00+00:00,44.8887825012207
2013-07-09 13:30:00+00:00,45.198177337646484
2013-07-10 13:30:00+00:00,45.21536636352539
2013-07-11 13:30:00+00:00,46.04902648925781
2013-07-12 13:30:00+00:00,46.15215301513672
2013-07-15 13:30:00+00:00,46.255287170410156
2013-07-16 13:30:00+00:00,46.074790954589844
2013-07-17 13:30:00+00:00,46.2896614074707
2013-07-18 13:30:00+00:00,46.5045280456543
2013-07-19 13:30:00+00:00,46.710792541503906
2013-07-22 13:30:00+00:00,46.77095031738281
2013-07-23 13:30:00+00:00,46.693607330322266
2013-07-24 13:30:00+00:00,46.53029251098633
2013-07-25 13:30:00+00:00,46.88267517089844
2013-07-26 13:30:00+00:00,46.99440383911133
2013-07-29 13:30:00+00:00,46.92565155029297
2013-07-30 13:30:00+00:00,46.83110809326172
2013-07-31 13:30:00+00:00,46.78813934326172
2013-08-01 13:30:00+00:00,47.18349075317383
2013-08-02 13:30:00+00:00,47.40693283081055
2013-08-05 13:30:00+00:00,47.26942825317383
2013-08-06 13:30:00+00:00,47.0975456237793
2013-08-07 13:30:00+00:00,46.92565155029297
2013-08-08 13:30:00+00:00,46.97721862792969
2013-08-09 13:30:00+00:00,46.85689163208008
2013-08-12 13:30:00+00:00,46.72797775268555
2013-08-13 13:30:00+00:00,46.77095031738281
2013-08-14 13:30:00+00:00,46.38420486450195
2013-08-15 13:30:00+00:00,45.584922790527344
2013-08-16 13:30:00+00:00,45.37004852294922
2013-08-19 13:30:00+00:00,45.2927131652832
2013-08-20 13:30:00+00:00,45.51615524291992
2013-08-21 13:30:00+00:00,45.206748962402344
2013-08-22 13:30:00+00:00,45.55913162231445
2013-08-23 13:30:00+00:00,45.68806457519531
2013-08-26 13:30:00+00:00,45.59351348876953
2013-08-27 13:30:00+00:00,44.94032669067383
2013-08-28 13:30:00+00:00,45.03487777709961
2013-08-29 13:30:00+00:00,45.26693344116211
2013-08-30 13:30:00+00:00,45.12081527709961
2013-09-03 13:30:00+00:00,45.378662109375
2013-09-04 13:30:00+00:00,45.55052947998047
2013-09-05 13:30:00+00:00,45.49897384643555
2013-09-06 13:30:00+00:00,45.54194259643555
2013-09-09 13:30:00+00:00,45.8685417175293
2013-09-10 13:30:00+00:00,46.186527252197266
2013-09-11 13:30:00+00:00,46.29823684692383
2013-09-12 13:30:00+00:00,46.401397705078125
2013-09-13 13:30:00+00:00,46.62483596801758
2013-09-16 13:30:00+00:00,46.95143508911133
2013-09-17 13:30:00+00:00,47.06315612792969
2013-09-18 13:30:00+00:00,47.630393981933594
2013-09-19 13:30:00+00:00,47.62180709838867
2013-09-20 13:30:00+00:00,47.32099914550781
2013-09-23 13:30:00+00:00,47.00299835205078
2013-09-24 13:30:00+00:00,46.83392333984375
2013-09-25 13:30:00+00:00,46.60100555419922
2013-09-26 13:30:00+00:00,46.79079055786133
2013-09-27 13:30:00+00:00,46.7649040222168
2013-09-30 13:30:00+00:00,46.480228424072266
2013-10-01 13:30:00+00:00,46.87704849243164
2013-10-02 13:30:00+00:00,46.902931213378906
2013-10-03 13:30:00+00:00,46.454345703125
2013-10-04 13:30:00+00:00,46.79079055786133
2013-10-07 13:30:00+00:00,46.488853454589844
2013-10-08 13:30:00+00:00,45.884971618652344
2013-10-09 13:30:00+00:00,45.712467193603516
2013-10-10 13:30:00+00:00,46.55786895751953
2013-10-11 13:30:00+00:00,47.092716217041016
2013-10-14 13:30:00+00:00,47.23936462402344
2013-10-15 13:30:00+00:00,47.0582160949707
2013-10-16 13:30:00+00:00,47.825965881347656
2013-10-17 13:30:00+00:00,48.42121505737305
2013-10-18 13:30:00+00:00,48.68001937866211
2013-10-21 13:30:00+00:00,48.48161315917969
2013-10-22 13:30:00+00:00,49.076839447021484
2013-10-23 13:30:00+00:00,48.938812255859375
2013-10-24 13:30:00+00:00,49.007835388183594
2013-10-25 13:30:00+00:00,49.04233932495117
2013-10-28 13:30:00+00:00,49.20623779296875
2013-10-29 13:30:00+00:00,49.49955368041992
2013-10-30 13:30:00+00:00,49.2234992980957
2013-10-31 13:30:00+00:00,49.06821060180664
2013-11-01 13:30:00+00:00,49.19759750366211
2013-11-04 14:30:00+00:00,49.076839447021484
2013-11-05 14:30:00+00:00,49.15447998046875
2013-11-06 14:30:00+00:00,49.033714294433594
2013-11-07 14:30:00+00:00,48.55062484741211
2013-11-08 14:30:00+00:00,48.79216766357422
2013-11-11 14:30:00+00:00,48.878440856933594
2013-11-12 14:30:00+00:00,48.82667541503906
2013-11-13 14:30:00+00:00,49.344268798828125
2013-11-14 14:30:00+00:00,49.715206146240234
2013-11-15 14:30:00+00:00,49.87050247192383
2013-11-18 14:30:00+00:00,49.73247528076172
2013-11-19 14:30:00+00:00,49.603065490722656
2013-11-20 14:30:00+00:00,49.57719421386719
2013-11-21 14:30:00+00:00,49.896366119384766
2013-11-22 14:30:00+00:00,50.413963317871094
2013-11-25 14:30:00+00:00,50.44846725463867
2013-11-26 14:30:00+00:00,50.36220932006836
2013-11-27 14:30:00+00:00,50.439842224121094
2013-11-29 14:30:00+00:00,50.612361907958984
2013-12-02 14:30:00+00:00,50.30181884765625
2013-12-03 14:30:00+00:00,50.11204147338867
2013-12-04 14:30:00+00:00,49.904998779296875
2013-12-05 14:30:00+00:00,49.87050247192383
2013-12-06 14:30:00+00:00,50.439842224121094
2013-12-09 14:30:00+00:00,50.5261116027832
2013-12-10 14:30:00+00:00,50.50885772705078
2013-12-11 14:30:00+00:00,49.801490783691406
2013-12-12 14:30:00+00:00,49.8446159362793
2013-12-13 14:30:00+00:00,50.11204147338867
2013-12-16 14:30:00+00:00,50.29318618774414
2013-12-17 14:30:00+00:00,50.31045913696289
2013-12-18 14:30:00+00:00,50.9919548034668
2013-12-19 14:30:00+00:00,51.17311477661133
2013-12-20 14:30:00+00:00,51.4922981262207
2013-12-23 14:30:00+00:00,51.71649169921875
2013-12-24 14:30:00+00:00,51.7857666015625
2013-12-26 14:30:00+00:00,52.05411911010742
2013-12-27 14:30:00+00:00,51.811737060546875
