open_time,level
1986-06-20 00:00:00+00:00,100.0
1986-06-23 00:00:00+00:00,100.0
1986-06-24 00:00:00+00:00,100.0
1986-06-25 00:00:00+00:00,100.0
1986-06-26 00:00:00+00:00,100.0
1986-06-27 00:00:00+00:00,100.0
1986-06-30 00:00:00+00:00,100.0
1986-07-01 00:00:00+00:00,100.17
1986-07-02 00:00:00+00:00,100.31
1986-07-03 00:00:00+00:00,100.68
1986-07-07 00:00:00+00:00,98.88
1986-07-08 00:00:00+00:00,98.33
1986-07-09 00:00:00+00:00,98.9
1986-07-10 00:00:00+00:00,99.33
1986-07-11 00:00:00+00:00,98.86
1986-07-14 00:00:00+00:00,96.65
1986-07-15 00:00:00+00:00,95.47
1986-07-16 00:00:00+00:00,95.17
1986-07-17 00:00:00+00:00,95.07
1986-07-18 00:00:00+00:00,95.24
1986-07-21 00:00:00+00:00,95.12
1986-07-22 00:00:00+00:00,95.55
1986-07-23 00:00:00+00:00,95.42
1986-07-24 00:00:00+00:00,95.58
1986-07-25 00:00:00+00:00,96.17
1986-07-28 00:00:00+00:00,95.44
1986-07-29 00:00:00+00:00,95.41
1986-07-30 00:00:00+00:00,96.11
1986-07-31 00:00:00+00:00,96.18
1986-08-01 00:00:00+00:00,95.77
1986-08-04 00:00:00+00:00,96.38
1986-08-05 00:00:00+00:00,96.6
1986-08-06 00:00:00+00:00,96.81
1986-08-07 00:00:00+00:00,97.06
1986-08-08 00:00:00+00:00,97.13
1986-08-11 00:00:00+00:00,97.7
1986-08-12 00:00:00+00:00,97.62
1986-08-13 00:00:00+00:00,96.99
1986-08-14 00:00:00+00:00,96.44
1986-08-15 00:00:00+00:00,96.25
1986-08-18 00:00:00+00:00,96.53
1986-08-19 00:00:00+00:00,96.42
1986-08-20 00:00:00+00:00,96.84
1986-08-21 00:00:00+00:00,96.83
1986-08-22 00:00:00+00:00,97.08
1986-08-25 00:00:00+00:00,97.0
1986-08-26 00:00:00+00:00,97.24
1986-08-27 00:00:00+00:00,97.34
1986-08-28 00:00:00+00:00,97.45
1986-08-29 00:00:00+00:00,97.57
1986-09-02 00:00:00+00:00,97.5
1986-09-03 00:00:00+00:00,97.77
1986-09-04 00:00:00+00:00,97.68
1986-09-05 00:00:00+00:00,97.85
1986-09-08 00:00:00+00:00,97.94
1986-09-09 00:00:00+00:00,98.06
1986-09-10 00:00:00+00:00,97.97
1986-09-11 00:00:00+00:00,93.51
1986-09-12 00:00:00+00:00,92.71
1986-09-15 00:00:00+00:00,92.31
1986-09-16 00:00:00+00:00,92.33
1986-09-17 00:00:00+00:00,92.06
1986-09-18 00:00:00+00:00,92.5
1986-09-19 00:00:00+00:00,92.12
1986-09-22 00:00:00+00:00,92.61
1986-09-23 00:00:00+00:00,92.79
1986-09-24 00:00:00+00:00,92.7
1986-09-25 00:00:00+00:00,92.23
1986-09-26 00:00:00+00:00,92.41
1986-09-29 00:00:00+00:00,92.15
1986-09-30 00:00:00+00:00,92.43
1986-10-01 00:00:00+00:00,92.9
1986-10-02 00:00:00+00:00,92.85
1986-10-03 00:00:00+00:00,93.05
1986-10-06 00:00:00+00:00,93.36
1986-10-07 00:00:00+00:00,93.58
1986-10-08 00:00:00+00:00,94.02
1986-10-09 00:00:00+00:00,94.05
1986-10-10 00:00:00+00:00,94.5
1986-10-13 00:00:00+00:00,95.01
1986-10-14 00:00:00+00:00,95.54
1986-10-15 00:00:00+00:00,95.15
1986-10-16 00:00:00+00:00,95.28
1986-10-17 00:00:00+00:00,95.43
1986-10-20 00:00:00+00:00,95.12
1986-10-21 00:00:00+00:00,95.18
1986-10-22 00:00:00+00:00,95.36
1986-10-23 00:00:00+00:00,96.01
1986-10-24 00:00:00+00:00,96.05
1986-10-27 00:00:00+00:00,96.31
1986-10-28 00:00:00+00:00,96.33
1986-10-29 00:00:00+00:00,96.42
1986-10-30 00:00:00+00:00,96.7
1986-10-31 00:00:00+00:00,96.73
1986-11-03 00:00:00+00:00,96.72
1986-11-04 00:00:00+00:00,96.58
1986-11-05 00:00:00+00:00,96.52
1986-11-06 00:00:00+00:00,96.95
1986-11-07 00:00:00+00:00,96.97
1986-11-10 00:00:00+00:00,96.94
1986-11-11 00:00:00+00:00,96.83
1986-11-12 00:00:00+00:00,97.08
1986-11-13 00:00:00+00:00,98.27
1986-11-14 00:00:00+00:00,97.85
1986-11-17 00:00:00+00:00,98.67
1986-11-18 00:00:00+00:00,98.63
1986-11-19 00:00:00+00:00,99.36
1986-11-20 00:00:00+00:00,100.03
1986-11-21 00:00:00+00:00,97.72
1986-11-24 00:00:00+00:00,98.12
1986-11-25 00:00:00+00:00,98.37
1986-11-26 00:00:00+00:00,98.39
1986-11-28 00:00:00+00:00,98.42
1986-12-01 00:00:00+00:00,98.66
1986-12-02 00:00:00+00:00,98.53
1986-12-03 00:00:00+00:00,98.55
1986-12-04 00:00:00+00:00,98.52
1986-12-05 00:00:00+00:00,98.74
1986-12-08 00:00:00+00:00,98.95
1986-12-09 00:00:00+00:00,99.12
1986-12-10 00:00:00+00:00,99.28
1986-12-11 00:00:00+00:00,99.33
1986-12-12 00:00:00+00:00,99.44
1986-12-15 00:00:00+00:00,99.85
1986-12-16 00:00:00+00:00,100.4
1986-12-17 00:00:00+00:00,100.21
1986-12-18 00:00:00+00:00,100.31
1986-12-19 00:00:00+00:00,102.14
1986-12-22 00:00:00+00:00,102.4
1986-12-23 00:00:00+00:00,102.3
1986-12-24 00:00:00+00:00,102.68
1986-12-26 00:00:00+00:00,102.86
1986-12-29 00:00:00+00:00,102.3
1986-12-30 00:00:00+00:00,102.36
1986-12-31 00:00:00+00:00,101.63
