date,high_yield_return,investment_grade_return,weight_high_yield,weight_investment_grade,turnover,leverage,net_return
2007-04-12 13:30:00+00:00,0.0006704383891249499,0.001505882294878802,1.5056558505622257,-1.5069128987933496,3.0,3.0,-0.0030884833189482384
2007-04-13 13:30:00+00:00,-0.0018198066633982046,-0.0016899533168490688,1.5037108713159562,-1.5051620769085647,0.0,3.0,-0.000528707558436624
2007-04-16 13:30:00+00:00,-0.00038333927280886915,0.0008457128912329193,1.5064255033736889,-1.5097333018640464,0.0,3.0,-0.002184683864078998
2007-04-17 13:30:00+00:00,-0.0004805202981281731,0.005452223189280181,1.5198216729623348,-1.5321997419469844,0.0,3.0,-0.009290588410358158
2007-04-18 13:30:00+00:00,0.00028903841107474904,0.0002803686456800403,1.5207561353158934,-1.5331285268171715,0.0,3.0,-0.0003256113854084434
2007-04-19 13:30:00+00:00,0.00345577077860737,0.0006536781059440777,1.5200561003395754,-1.5281435938315244,0.0,3.0,0.003917894601916397
2007-04-20 13:30:00+00:00,-0.0005740290779603363,-0.00027987723994638003,1.5203697078781595,-1.5289087271432817,0.0,3.0,-0.0007801812507600623
2007-04-23 13:30:00+00:00,0.0005743587765993929,0.0028966020973921758,1.5271847939862615,-1.5393264555974246,0.0,3.0,-0.0038907200006862157
2007-04-24 13:30:00+00:00,0.006887495179326519,0.0025152253503066824,1.5280590683934139,-1.5335195417489587,0.0,3.0,0.006311407522687303
2007-04-25 13:30:00+00:00,0.0015203742750466986,-0.001394214038404451,1.5240939414173302,-1.5250890328949136,0.0,3.0,0.004125958711293669
2007-04-26 13:30:00+00:00,0.0018028359531159222,-0.0021403574326727126,1.5182232720604507,-1.5132347544043945,0.0,3.0,0.005676609540240122
2007-04-27 13:30:00+00:00,0.0,-0.00027950995543968293,1.5180902164346604,-1.5126792088568883,0.0,3.0,8.764671845589155e-05
2007-04-30 13:30:00+00:00,9.392742874680948e-05,0.004850731230717553,1.5297523427734052,-1.531549881218517,0.0,3.0,-0.007530327430141294
2007-05-01 13:30:00+00:00,0.00012385667223790975,-0.0005594449660569767,1.4991978377926314,-1.498173560317539,0.06130222399192231,3.0,0.0006589838851289082
2007-05-02 13:30:00+00:00,-0.00037961110562245715,-0.0002797648391489327,1.4993563532723442,-1.4984816271621422,0.0,3.0,-0.00048529332394929814
2007-05-03 13:30:00+00:00,9.478788011985095e-05,-0.0014005866803810108,1.496646529174979,-1.4935368545082828,0.0,3.0,0.0019055567577524156
2007-05-04 13:30:00+00:00,0.0012343592937560377,0.0024299799945020073,1.501673245170874,-1.5003426184492072,0.0,3.0,-0.00211718258506919
2007-05-07 13:30:00+00:00,-9.44811663522449e-05,0.001211892571852502,1.504985987484816,-1.5056169430050814,0.0,3.0,-0.002295451374533492
2007-05-08 13:30:00+00:00,0.0007589960508929128,-0.0005581318572832616,1.5036513105126261,-1.5023018777431407,0.0,3.0,0.0016472937415892585
2007-05-09 13:30:00+00:00,-0.002654802843229942,-0.0015849181310665372,1.5025837257843735,-1.5028456751079817,0.0,3.0,-0.0019461897503224002
2007-05-10 13:30:00+00:00,0.003612071234191605,0.000466641492753217,1.501418688250683,-1.4969740041311965,0.0,3.0,0.0043908318433426175
2007-05-11 13:30:00+00:00,0.0005679607302260248,-0.0010257974937959435,1.499193558383348,-1.4923745348300739,0.0,3.0,0.0020530215759518577
2007-05-14 13:30:00+00:00,-9.4937285740615e-05,-0.0010265460182344865,1.4974723775371328,-1.4892723378797923,0.0,3.0,0.0010543443088941668
2007-05-15 13:30:00+00:00,-0.000756622128348261,-0.0022427803427751414,1.493543782580066,-1.4831560963214794,0.0,3.0,0.0018717725266832403
