date,weight_SCHD,weight_VTI,gross_return,turnover,maintenance_turnover,trading_cost,short_borrow,financing_cost,net_return,equity
2011-10-21 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
2011-10-24 13:30:00+00:00,1.5,-1.5,-0.016889562233401767,3.0,0.03337898373618242,0.001516689491868091,1.785714285714286e-05,0.00031746031746031746,-0.018741569185587316,9812.584308144127
2011-10-25 13:30:00+00:00,1.5,-1.5,0.0059506481304401615,0.0,0.055149834326999436,2.757491716349972e-05,1.785714285714286e-05,0.00031746031746031746,0.005587755752959202,9867.414632563356
2011-10-26 13:30:00+00:00,1.5,-1.5,-0.0007053378093910823,0.0,0.03166983718331884,1.583491859165942e-05,1.785714285714286e-05,0.00031746031746031746,-0.001056490188300202,9856.989805820162
2011-10-27 13:30:00+00:00,1.5,-1.5,-0.01762812750940601,0.0,0.0859988267109989,4.299941335549945e-05,1.785714285714286e-05,0.00031746031746031746,-0.01800644438307897,9679.500467097085
2011-10-28 13:30:00+00:00,1.5,-1.5,-0.00251919671816897,0.0,0.00251919671816897,1.259598359084485e-06,1.785714285714286e-05,0.00031746031746031746,-0.002855773776845515,9651.858003490186
2011-10-31 13:30:00+00:00,1.5,-1.5,0.008571339177128046,0.0,0.06739527623832609,3.3697638119163046e-05,1.785714285714286e-05,0.00031746031746031746,0.008202324078691424,9731.025670796324
2011-11-01 13:30:00+00:00,1.5,-1.5,0.005785492838000006,0.0,0.07402106401694486,3.701053200847243e-05,1.785714285714286e-05,0.00031746031746031746,0.005413164845674072,9783.70131686983
2011-11-02 13:30:00+00:00,1.5,-1.5,-0.004828211487651113,0.0,0.04455584906925536,2.2277924534627682e-05,1.785714285714286e-05,0.00031746031746031746,-0.005185806872503201,9732.964931342289
2011-11-03 13:30:00+00:00,1.5,-1.5,-0.005482566429934499,0.0,0.05300712511813299,2.6503562559066496e-05,1.785714285714286e-05,0.00031746031746031746,-0.005844387452811026,9676.081713218902
2011-11-04 13:30:00+00:00,1.5,-1.5,0.0016638525090111878,0.0,0.014529424701093585,7.264712350546793e-06,1.785714285714286e-05,0.00031746031746031746,0.0013212703363431808,9688.86643295861
2011-11-07 14:30:00+00:00,1.5,-1.5,0.001134265786239319,0.0,0.01648598897958664,8.242994489793321e-06,1.785714285714286e-05,0.00031746031746031746,0.0007907053314320654,9696.527471302685
2011-11-08 14:30:00+00:00,1.5,-1.5,0.0006339438455599256,0.0,0.03673430953426127,1.8367154767130635e-05,1.785714285714286e-05,0.00031746031746031746,0.0002802592304753346,9699.245012630074
2011-11-09 14:30:00+00:00,1.5,-1.5,0.012182456487241644,0.0,0.10214710012307432,5.107355006153716e-05,1.785714285714286e-05,0.00031746031746031746,0.011796065476862648,9813.657941875194
2011-11-10 14:30:00+00:00,1.5,-1.5,0.0015500151647256377,0.0,0.028174640485273406,1.4087320242636704e-05,1.785714285714286e-05,0.00031746031746031746,0.0012006103841655407,9825.440321506858
2011-11-11 14:30:00+00:00,1.5,-1.5,-0.0020190971849548545,0.0,0.05735817350859229,2.8679086754296148e-05,1.785714285714286e-05,0.00031746031746031746,-0.002383093732026611,9802.025376262274
2011-11-14 14:30:00+00:00,1.5,-1.5,0.00438201672523203,0.0,0.025192507917361107,1.2596253958680553e-05,1.785714285714286e-05,0.00031746031746031746,0.004034103010955888,9841.56775634612
2011-11-15 14:30:00+00:00,1.5,-1.5,-0.0032801765790079207,0.0,0.014921641350880699,7.46082067544035e-06,1.785714285714286e-05,0.00031746031746031746,-0.0036229548600008213,9805.912200613237
2011-11-16 14:30:00+00:00,1.5,-1.5,0.003017792536187225,0.0,0.0470831946786458,2.35415973393229e-05,1.785714285714286e-05,0.00031746031746031746,0.002658933478530442,9831.985468850979
2011-11-17 14:30:00+00:00,1.5,-1.5,0.006289251020215214,0.0,0.042773985136410786,2.1386992568205393e-05,1.785714285714286e-05,0.00031746031746031746,0.005932546567329548,9890.314180494244
2011-11-18 14:30:00+00:00,1.5,-1.5,0.008115650412930386,0.0,0.008115650412930386,4.0578252064651936e-06,1.785714285714286e-05,0.00031746031746031746,0.007776275127406461,9967.223984658256
2011-11-21 14:30:00+00:00,1.5,-1.5,-2.9846105164488268e-05,0.0,0.055745666248463055,2.787283312423153e-05,1.785714285714286e-05,0.00031746031746031746,-0.0003930363986061801,9963.306502839225
2011-11-22 14:30:00+00:00,1.5,-1.5,0.0016543087103838006,0.0,0.01253780761586315,6.2689038079315755e-06,1.785714285714286e-05,0.00031746031746031746,0.0013127223462584088,9976.385557928124
2011-11-23 14:30:00+00:00,1.5,-1.5,0.0073451399005153295,0.0,0.059529040583727544,2.9764520291863773e-05,1.785714285714286e-05,0.00031746031746031746,0.006980057919906005,10046.021306953777
2011-11-25 14:30:00+00:00,1.5,-1.5,0.0023077548811909487,0.0,0.0072477298177926475,3.623864908896324e-06,1.785714285714286e-05,0.00031746031746031746,0.0019688135559645923,10065.800049886415
2011-11-28 14:30:00+00:00,1.5,-1.5,-0.009897857652137798,0.0,0.08041326500006751,4.020663250003376e-05,1.785714285714286e-05,0.00031746031746031746,-0.010273381744955292,9962.390243405542
2011-11-29 14:30:00+00:00,1.5,-1.5,0.005620382753991016,0.0,0.014927706010104846,7.463853005052423e-06,1.785714285714286e-05,0.00031746031746031746,0.005277601440668503,10014.967768506642
2011-11-30 14:30:00+00:00,1.5,-1.5,-0.007653939070770721,0.0,0.11929866269803735,5.9649331349018675e-05,1.785714285714286e-05,0.00031746031746031746,-0.0080489058624372,9934.35823572259
2011-12-01 14:30:00+00:00,1.5,-1.5,-0.0023146599531698175,0.0,0.0023146599531698175,1.1573299765849089e-06,1.785714285714286e-05,0.00031746031746031746,-0.002651134743463863,9908.020913449847
2011-12-02 14:30:00+00:00,1.5,-1.5,-0.0027759435443157066,0.0,0.004180355104944022,2.0901775524720114e-06,1.785714285714286e-05,0.00031746031746031746,-0.003113351182185639,9877.17376482584
2011-12-05 14:30:00+00:00,1.5,-1.5,-0.005365474628834077,0.0,0.027442167249938754,1.3721083624969377e-05,1.785714285714286e-05,0.00031746031746031746,-0.005714513172776508,9820.73052523694
2011-12-06 14:30:00+00:00,1.5,-1.5,0.003919086301529817,0.0,0.005308043139781948,2.654021569890974e-06,1.785714285714286e-05,0.00031746031746031746,0.0035811148196424657,9855.899688860582
2011-12-07 14:30:00+00:00,1.5,-1.5,0.0012346863901230298,0.0,0.009113283173067477,4.556641586533739e-06,1.785714285714286e-05,0.00031746031746031746,0.0008948122882190359,9864.718869013628
2011-12-08 14:30:00+00:00,1.5,-1.5,0.00933341796270154,0.0,0.0586063531494419,2.9303176574720954e-05,1.785714285714286e-05,0.00031746031746031746,0.00896879732580936,9953.1935332259
2011-12-09 14:30:00+00:00,1.5,-1.5,-0.00633040748373459,0.0,0.047106101029917746,2.3553050514958874e-05,1.785714285714286e-05,0.00031746031746031746,-0.006689277994567009,9886.613854748426
2011-12-12 14:30:00+00:00,1.5,-1.5,0.0034589749651155466,0.0,0.0425386638354171,2.126933191770855e-05,1.785714285714286e-05,0.00031746031746031746,0.0031023881728803777,9917.285968641234
2011-12-13 14:30:00+00:00,1.5,-1.5,0.005560393578074918,0.0,0.026523848562789,1.32619242813945e-05,1.785714285714286e-05,0.00031746031746031746,0.005211814193476064,9968.97302041336
2011-12-14 14:30:00+00:00,1.5,-1.5,0.005442584576302811,0.0,0.02889764725791283,1.4448823628956415e-05,1.785714285714286e-05,0.00031746031746031746,0.005092818292356395,10019.743188567729
