open_time,net_pnl
2016-09-12 00:00:00+00:00,-0.0011587301587301588
2016-09-13 00:00:00+00:00,-0.02817517101996803
2016-09-14 00:00:00+00:00,-0.0013452218605459604
2016-09-15 00:00:00+00:00,0.020250540492465965
2016-09-16 00:00:00+00:00,-0.00737281171388552
2016-09-19 00:00:00+00:00,0.0003541131802700413
2016-09-20 00:00:00+00:00,-4.257395615466079e-05
2016-09-21 00:00:00+00:00,0.014592573068370413
2016-09-22 00:00:00+00:00,0.008189428837314794
2016-09-23 00:00:00+00:00,-0.005415403196965449
2016-09-26 00:00:00+00:00,-0.011164690503181784
2016-09-27 00:00:00+00:00,0.009179886536965333
2016-09-28 00:00:00+00:00,0.006394782163644016
2016-09-29 00:00:00+00:00,-0.01205598478118001
2016-09-30 00:00:00+00:00,0.01023207364302377
2016-10-03 00:00:00+00:00,-0.0026860748711656154
2016-10-04 00:00:00+00:00,-0.005269599495609643
2016-10-05 00:00:00+00:00,0.006286282180302451
2016-10-06 00:00:00+00:00,0.0013185210050569924
2016-10-07 00:00:00+00:00,-0.0029718725117207304
2016-10-10 00:00:00+00:00,0.006614061128344154
2016-10-11 00:00:00+00:00,-0.0162582004097488
2016-10-12 00:00:00+00:00,0.002232128899027873
2016-10-13 00:00:00+00:00,-0.00419804149180152
2016-10-14 00:00:00+00:00,0.00149942431606685
2016-10-17 00:00:00+00:00,-0.003937551963060009
2016-10-18 00:00:00+00:00,0.010608262619672395
2016-10-19 00:00:00+00:00,0.00381769871458245
2016-10-20 00:00:00+00:00,-0.00041226131272849005
2016-10-21 00:00:00+00:00,0.00042201276936429887
2016-10-24 00:00:00+00:00,0.006617435274478738
2016-10-25 00:00:00+00:00,-0.005425173225001881
2016-10-26 00:00:00+00:00,-0.002616895454718867
2016-10-27 00:00:00+00:00,-0.0043588024597907525
2016-10-28 00:00:00+00:00,-0.0042601511774637245
2016-10-31 00:00:00+00:00,-0.000957021700625433
2016-11-01 00:00:00+00:00,-0.009998896433279803
2016-11-02 00:00:00+00:00,-0.009796581841083176
2016-11-03 00:00:00+00:00,-0.00671806571821719
2016-11-04 00:00:00+00:00,-0.0025162358226433505
2016-11-07 00:00:00+00:00,0.03380481904160953
2016-11-08 00:00:00+00:00,0.006137485956666773
2016-11-09 00:00:00+00:00,0.017267570120501473
2016-11-10 00:00:00+00:00,0.003050532973407973
