open_time,PUT,BXM,BXMD,PPUT,CMBO
2016-09-12 00:00:00+00:00,1613.2,1182.15,2093.1,686.36,1539.48
2016-09-13 00:00:00+00:00,1591.25,1165.66,2062.98,676.72,1517.85
2016-09-14 00:00:00+00:00,1590.33,1165.21,2061.99,676.06,1517.02
2016-09-15 00:00:00+00:00,1606.7,1177.17,2083.17,682.76,1532.62
2016-09-16 00:00:00+00:00,1603.13,1172.74,2074.98,679.8,1526.82
2016-09-19 00:00:00+00:00,1604.04,1173.1,2075.8,679.46,1527.6
2016-09-20 00:00:00+00:00,1603.98,1173.19,2075.82,679.62,1527.61
2016-09-21 00:00:00+00:00,1614.07,1180.56,2093.14,685.44,1538.92
2016-09-22 00:00:00+00:00,1618.89,1184.73,2102.9,689.37,1545.01
2016-09-23 00:00:00+00:00,1617.0,1182.68,2097.15,685.57,1541.93
2016-09-26 00:00:00+00:00,1610.05,1177.53,2084.74,680.36,1533.68
2016-09-27 00:00:00+00:00,1616.48,1182.36,2095.37,684.09,1540.85
2016-09-28 00:00:00+00:00,1620.04,1185.35,2102.96,687.52,1545.51
2016-09-29 00:00:00+00:00,1612.57,1179.9,2089.25,681.81,1536.68
2016-09-30 00:00:00+00:00,1618.92,1184.83,2101.36,686.64,1544.35
2016-10-03 00:00:00+00:00,1618.28,1184.22,2098.87,684.35,1542.97
2016-10-04 00:00:00+00:00,1616.27,1182.18,2092.91,681.06,1539.61
2016-10-05 00:00:00+00:00,1619.95,1185.37,2100.79,684.0,1544.33
2016-10-06 00:00:00+00:00,1621.41,1186.26,2102.4,684.25,1545.73
2016-10-07 00:00:00+00:00,1620.43,1185.73,2099.12,682.03,1543.89
2016-10-10 00:00:00+00:00,1624.59,1188.67,2107.74,685.01,1549.17
2016-10-11 00:00:00+00:00,1616.67,1182.2,2086.8,676.65,1537.11
2016-10-12 00:00:00+00:00,1618.55,1183.57,2089.56,677.37,1539.06
2016-10-13 00:00:00+00:00,1616.62,1182.07,2084.08,675.33,1535.96
2016-10-14 00:00:00+00:00,1619.0,1183.48,2085.24,675.35,1537.32
2016-10-17 00:00:00+00:00,1617.47,1182.46,2079.42,673.28,1534.55
2016-10-18 00:00:00+00:00,1624.74,1188.26,2092.11,677.4,1542.7
2016-10-19 00:00:00+00:00,1627.27,1190.27,2097.15,678.98,1545.72
2016-10-20 00:00:00+00:00,1628.66,1191.75,2094.53,678.07,1545.47
2016-10-21 00:00:00+00:00,1629.34,1192.84,2093.42,677.84,1546.98
2016-10-24 00:00:00+00:00,1633.67,1196.67,2101.08,680.55,1552.28
2016-10-25 00:00:00+00:00,1630.59,1193.85,2094.98,678.18,1548.32
2016-10-26 00:00:00+00:00,1629.09,1192.5,2091.78,677.33,1546.28
2016-10-27 00:00:00+00:00,1626.36,1190.21,2087.05,675.63,1542.97
2016-10-28 00:00:00+00:00,1624.29,1187.64,2082.12,674.3,1539.12
2016-10-31 00:00:00+00:00,1622.28,1187.41,2081.47,674.24,1538.88
2016-11-01 00:00:00+00:00,1615.33,1182.22,2070.4,670.5,1531.04
2016-11-02 00:00:00+00:00,1608.66,1177.19,2059.42,666.83,1523.46
2016-11-03 00:00:00+00:00,1603.3,1172.84,2051.29,665.67,1517.87
2016-11-04 00:00:00+00:00,1600.84,1171.27,2048.31,665.66,1515.53
2016-11-07 00:00:00+00:00,1625.58,1190.22,2087.84,676.25,1542.95
2016-11-08 00:00:00+00:00,1630.12,1193.44,2094.88,678.72,1547.93
2016-11-09 00:00:00+00:00,1643.05,1203.4,2115.4,684.3,1562.3
2016-11-10 00:00:00+00:00,1645.34,1205.02,2119.26,685.51,1564.94
2016-11-11 00:00:00+00:00,1646.09,1206.25,2119.97,684.4,1565.19
2016-11-14 00:00:00+00:00,1648.1,1207.27,2122.4,684.31,1566.98
2016-11-15 00:00:00+00:00,1650.17,1208.99,2130.72,689.58,1572.36
2016-11-16 00:00:00+00:00,1650.47,1209.67,2132.65,688.66,1573.0
2016-11-17 00:00:00+00:00,1650.7,1210.07,2134.34,691.89,1575.09
2016-11-18 00:00:00+00:00,1651.59,1208.13,2129.96,690.03,1572.66
2016-11-21 00:00:00+00:00,1658.13,1213.23,2141.75,694.5,1580.91
2016-11-22 00:00:00+00:00,1659.65,1214.47,2144.76,695.91,1582.9
2016-11-23 00:00:00+00:00,1660.7,1215.23,2146.18,696.43,1583.9
2016-11-25 00:00:00+00:00,1662.66,1217.34,2151.26,699.08,1587.23
2016-11-28 00:00:00+00:00,1660.99,1214.85,2145.27,695.57,1583.62
2016-11-29 00:00:00+00:00,1662.2,1215.81,2147.88,696.56,1585.28
2016-11-30 00:00:00+00:00,1660.84,1214.79,2144.47,694.94,1583.06
2016-12-01 00:00:00+00:00,1658.67,1213.0,2140.06,692.69,1579.76
2016-12-02 00:00:00+00:00,1659.5,1213.88,2141.99,692.87,1580.92
2016-12-05 00:00:00+00:00,1666.35,1219.44,2154.3,696.41,1589.06
2016-12-06 00:00:00+00:00,1668.78,1221.64,2159.48,698.72,1592.69
2016-12-07 00:00:00+00:00,1670.78,1223.57,2167.78,708.0,1599.12
2016-12-08 00:00:00+00:00,1671.01,1223.81,2168.74,709.61,1599.52
2016-12-09 00:00:00+00:00,1671.76,1223.76,2170.02,713.76,1601.36
2016-12-12 00:00:00+00:00,1671.97,1223.87,2170.32,713.0,1601.53
2016-12-13 00:00:00+00:00,1672.24,1224.07,2171.0,717.76,1602.4
2016-12-14 00:00:00+00:00,1672.06,1223.98,2170.75,711.97,1601.89
2016-12-15 00:00:00+00:00,1672.33,1224.18,2171.34,714.74,1602.76
2016-12-16 00:00:00+00:00,1671.56,1219.76,2163.41,713.53,1597.34
2016-12-19 00:00:00+00:00,1675.32,1222.0,2167.81,714.34,1600.8
2016-12-20 00:00:00+00:00,1678.41,1224.29,2173.63,716.74,1604.69
