funding_time,funding_rate,mark_price
2020-02-01 00:00:00+00:00,0.0001,0.053867
2020-02-01 08:00:00+00:00,0.0001,0.05486326
2020-02-01 16:00:00+00:00,0.0001,0.05389353
2020-02-02 00:00:00+00:00,0.0001,0.05602045
2020-02-02 08:00:00+00:00,0.0014449,0.05779615
2020-02-02 16:00:00+00:00,0.00179835,0.05765694
2020-02-03 00:00:00+00:00,0.00164031,0.0557664
2020-02-03 08:00:00+00:00,0.00071241,0.05656517
2020-02-03 16:00:00+00:00,0.00048046,0.05556705
2020-02-04 00:00:00+00:00,0.00014095,0.0569585
2020-02-04 08:00:00+00:00,0.00031409,0.05609731
2020-02-04 16:00:00+00:00,0.00073434,0.0561479
2020-02-05 00:00:00+00:00,0.00040653,0.05597723
2020-02-05 08:00:00+00:00,0.0001,0.05717967
2020-02-05 16:00:00+00:00,0.00031833,0.0599719
2020-02-06 00:00:00+00:00,0.00162987,0.05933076
2020-02-06 08:00:00+00:00,0.00396642,0.06031736
2020-02-06 16:00:00+00:00,0.00146499,0.05987992
2020-02-07 00:00:00+00:00,0.00052055,0.06004854
2020-02-07 08:00:00+00:00,0.00156332,0.06090613
2020-02-07 16:00:00+00:00,0.00250463,0.06050281
2020-02-08 00:00:00+00:00,0.00198965,0.05989556
2020-02-08 08:00:00+00:00,0.00175849,0.06005229
2020-02-08 16:00:00+00:00,0.00070553,0.06034233
2020-02-09 00:00:00+00:00,0.00081936,0.06008723
2020-02-09 08:00:00+00:00,0.00161188,0.06214931
2020-02-09 16:00:00+00:00,0.0024828,0.06125767
2020-02-10 00:00:00+00:00,0.0021764,0.0618703
2020-02-10 08:00:00+00:00,0.00162089,0.06054015
2020-02-10 16:00:00+00:00,0.00099124,0.06005777
2020-02-11 00:00:00+00:00,0.00126237,0.06029818
2020-02-11 08:00:00+00:00,0.00096237,0.05901934
2020-02-11 16:00:00+00:00,0.00056017,0.06120963
2020-02-12 00:00:00+00:00,0.00235305,0.06336114
2020-02-12 08:00:00+00:00,0.00284851,0.06533601
2020-02-12 16:00:00+00:00,0.0019762,0.06628321
2020-02-13 00:00:00+00:00,0.0024533,0.06823985
2020-02-13 08:00:00+00:00,0.00249154,0.06837843
2020-02-13 16:00:00+00:00,0.00085375,0.06923886
2020-02-14 00:00:00+00:00,0.00085489,0.06869041
2020-02-14 08:00:00+00:00,0.00041437,0.06754108
2020-02-14 16:00:00+00:00,0.00118214,0.06936349
2020-02-15 00:00:00+00:00,0.0017457,0.07072883
2020-02-15 08:00:00+00:00,0.00050419,0.0688141
2020-02-15 16:00:00+00:00,0.00081641,0.06687507
2020-02-16 00:00:00+00:00,0.0001,0.06427923
2020-02-16 08:00:00+00:00,0.0001,0.06589314
2020-02-16 16:00:00+00:00,0.0001,0.06063781
2020-02-17 00:00:00+00:00,0.0001,0.0615753
2020-02-17 08:00:00+00:00,0.0001,0.05856077
2020-02-17 16:00:00+00:00,0.0001,0.05896846
2020-02-18 00:00:00+00:00,0.0001,0.06019882
2020-02-18 08:00:00+00:00,0.0001,0.06189264
2020-02-18 16:00:00+00:00,0.0001,0.06045258
2020-02-19 00:00:00+00:00,0.0001,0.06250394
2020-02-19 08:00:00+00:00,0.0001,0.06124133
2020-02-19 16:00:00+00:00,0.0001,0.0624301
2020-02-20 00:00:00+00:00,0.0001,0.05743027
2020-02-20 08:00:00+00:00,0.0001,0.05783999
2020-02-20 16:00:00+00:00,0.0001,0.05694527
2020-02-21 00:00:00+00:00,0.0001,0.05815739
2020-02-21 08:00:00+00:00,0.0001,0.05901595
2020-02-21 16:00:00+00:00,0.0001,0.05918438
2020-02-22 00:00:00+00:00,0.0001,0.05858052
2020-02-22 08:00:00+00:00,0.0001,0.05750894
2020-02-22 16:00:00+00:00,0.0001,0.0580323
2020-02-23 00:00:00+00:00,0.0001,0.05820321
2020-02-23 08:00:00+00:00,0.0001,0.06007621
2020-02-23 16:00:00+00:00,0.0001625,0.06086317
2020-02-24 00:00:00+00:00,0.00021446,0.06155869
2020-02-24 08:00:00+00:00,0.0001,0.05943319
2020-02-24 16:00:00+00:00,0.00018817,0.05914868
2020-02-25 00:00:00+00:00,0.00066285,0.05805226
2020-02-25 08:00:00+00:00,0.0001,0.05674827
2020-02-25 16:00:00+00:00,0.0001,0.05696606
2020-02-26 00:00:00+00:00,0.0001,0.05614204
2020-02-26 08:00:00+00:00,0.0001,0.0517799
2020-02-26 16:00:00+00:00,0.0001,0.04920861
2020-02-27 00:00:00+00:00,0.0001,0.04919381
2020-02-27 08:00:00+00:00,0.0001,0.05027397
2020-02-27 16:00:00+00:00,0.0001,0.05115243
2020-02-28 00:00:00+00:00,0.0001,0.04986676
2020-02-28 08:00:00+00:00,0.0001,0.04862944
2020-02-28 16:00:00+00:00,0.0001,0.04909922
2020-02-29 00:00:00+00:00,0.0001,0.04893564
2020-02-29 08:00:00+00:00,0.0001,0.04927765
2020-02-29 16:00:00+00:00,0.0001,0.04816317
2020-03-01 00:00:00+00:00,0.0001,0.04708855
2020-03-01 08:00:00+00:00,0.0001,0.04720912
2020-03-01 16:00:00+00:00,0.0001,0.04724733
2020-03-02 00:00:00+00:00,0.0001,0.04561026
2020-03-02 08:00:00+00:00,0.0001,0.04661271
2020-03-02 16:00:00+00:00,0.0001,0.04870901
2020-03-03 00:00:00+00:00,0.0001,0.04919275
2020-03-03 08:00:00+00:00,0.0001,0.04817968
2020-03-03 16:00:00+00:00,0.0001,0.04797421
2020-03-04 00:00:00+00:00,0.0001,0.04867715
2020-03-04 08:00:00+00:00,0.0001,0.05002041
2020-03-04 16:00:00+00:00,0.0001,0.04830224
2020-03-05 00:00:00+00:00,0.0001,0.04894946
2020-03-05 08:00:00+00:00,0.00015045,0.04996728
2020-03-05 16:00:00+00:00,0.00034416,0.05163511
2020-03-06 00:00:00+00:00,0.0001,0.05092152
2020-03-06 08:00:00+00:00,0.0001,0.05120992
2020-03-06 16:00:00+00:00,0.0001,0.0499985
2020-03-07 00:00:00+00:00,0.0001,0.05169214
2020-03-07 08:00:00+00:00,0.0001,0.05084533
2020-03-07 16:00:00+00:00,0.00073258,0.05112367
2020-03-08 00:00:00+00:00,0.0001,0.04880039
2020-03-08 08:00:00+00:00,0.0001,0.04757595
2020-03-08 16:00:00+00:00,0.0001,0.0447892
2020-03-09 00:00:00+00:00,0.0001,0.04280137
2020-03-09 08:00:00+00:00,0.0001,0.0425677
2020-03-09 16:00:00+00:00,0.0001,0.0398017
2020-03-10 00:00:00+00:00,0.0001,0.04148621
2020-03-10 08:00:00+00:00,0.0001,0.04121504
2020-03-10 16:00:00+00:00,0.0001,0.04060561
2020-03-11 00:00:00+00:00,0.0001,0.04143425
2020-03-11 08:00:00+00:00,0.0001,0.04095658
2020-03-11 16:00:00+00:00,0.0001,0.03957966
2020-03-12 00:00:00+00:00,0.0001,0.0396593
2020-03-12 08:00:00+00:00,0.0001,0.03463426
2020-03-12 16:00:00+00:00,-0.00024082,0.02956589
2020-03-13 00:00:00+00:00,8.518e-05,0.02330679
2020-03-13 08:00:00+00:00,-0.00054929,0.02608992
2020-03-13 16:00:00+00:00,-0.00169422,0.02566171
2020-03-14 00:00:00+00:00,0.0001,0.0284454
2020-03-14 08:00:00+00:00,0.0001,0.02789548
2020-03-14 16:00:00+00:00,0.0001,0.02694414
2020-03-15 00:00:00+00:00,0.0001,0.02582148
2020-03-15 08:00:00+00:00,-0.00084586,0.02659332
2020-03-15 16:00:00+00:00,-0.0002509,0.02658552
2020-03-16 00:00:00+00:00,0.0001,0.02694124
2020-03-16 08:00:00+00:00,-0.00080651,0.02316954
2020-03-16 16:00:00+00:00,-0.00111065,0.02447357
2020-03-17 00:00:00+00:00,-0.00044717,0.02414378
2020-03-17 08:00:00+00:00,-5.936e-05,0.02601707
2020-03-17 16:00:00+00:00,0.0001,0.02583652
2020-03-18 00:00:00+00:00,-0.00040179,0.02583863
2020-03-18 08:00:00+00:00,-0.00128753,0.02515779
2020-03-18 16:00:00+00:00,-0.00070982,0.02556032
2020-03-19 00:00:00+00:00,-0.00090224,0.02608728
2020-03-19 08:00:00+00:00,-0.00083071,0.02687013
2020-03-19 16:00:00+00:00,-0.00022876,0.02888202
2020-03-20 00:00:00+00:00,0.0001,0.03034581
2020-03-20 08:00:00+00:00,0.0001,0.03143277
2020-03-20 16:00:00+00:00,0.0001,0.03107336
2020-03-21 00:00:00+00:00,0.0001,0.02939734
2020-03-21 08:00:00+00:00,0.0001,0.02896089
2020-03-21 16:00:00+00:00,0.0001,0.02986325
2020-03-22 00:00:00+00:00,0.0001,0.02949058
2020-03-22 08:00:00+00:00,0.0001,0.02984267
2020-03-22 16:00:00+00:00,0.0001,0.02812938
2020-03-23 00:00:00+00:00,0.0001,0.02700551
2020-03-23 08:00:00+00:00,0.0001,0.02717183
2020-03-23 16:00:00+00:00,0.0001,0.02858724
2020-03-24 00:00:00+00:00,0.0001,0.02922808
2020-03-24 08:00:00+00:00,0.0001,0.02929695
2020-03-24 16:00:00+00:00,0.0001,0.02920539
2020-03-25 00:00:00+00:00,0.0001,0.03021786
2020-03-25 08:00:00+00:00,0.0001,0.02967927
2020-03-25 16:00:00+00:00,0.0001,0.02928032
2020-03-26 00:00:00+00:00,0.0001,0.02943325
2020-03-26 08:00:00+00:00,0.0001,0.02947668
2020-03-26 16:00:00+00:00,0.0001,0.02946456
2020-03-27 00:00:00+00:00,0.0001,0.03085388
2020-03-27 08:00:00+00:00,0.0001,0.03059207
2020-03-27 16:00:00+00:00,0.0001,0.03017295
2020-03-28 00:00:00+00:00,0.0001,0.02883912
2020-03-28 08:00:00+00:00,0.0001,0.02834217
2020-03-28 16:00:00+00:00,0.0001,0.02856223
2020-03-29 00:00:00+00:00,0.0001,0.02973214
2020-03-29 08:00:00+00:00,0.0001,0.02943267
2020-03-29 16:00:00+00:00,0.0001,0.02928336
2020-03-30 00:00:00+00:00,0.0001,0.02809176
2020-03-30 08:00:00+00:00,0.0001,0.02929946
2020-03-30 16:00:00+00:00,0.0001,0.02963836
2020-03-31 00:00:00+00:00,0.0001,0.02963551
2020-03-31 08:00:00+00:00,0.0001,0.02983168
2020-03-31 16:00:00+00:00,0.0001,0.03037181
2020-04-01 00:00:00+00:00,0.0001,0.030441
2020-04-01 08:00:00+00:00,0.0001,0.03056129
2020-04-01 16:00:00+00:00,0.0001,0.03004143
2020-04-02 00:00:00+00:00,0.0001,0.03095596
2020-04-02 08:00:00+00:00,0.0001,0.03124646
2020-04-02 16:00:00+00:00,0.0001,0.03206457
2020-04-03 00:00:00+00:00,0.00010331,0.03187498
2020-04-03 08:00:00+00:00,0.0001,0.03233457
2020-04-03 16:00:00+00:00,0.0001,0.03213104
2020-04-04 00:00:00+00:00,0.0001,0.03229152
2020-04-04 08:00:00+00:00,0.0001,0.03189301
2020-04-04 16:00:00+00:00,0.0001,0.03211447
2020-04-05 00:00:00+00:00,0.0001,0.03245019
2020-04-05 08:00:00+00:00,0.0001,0.03209683
2020-04-05 16:00:00+00:00,0.0001,0.03217323
2020-04-06 00:00:00+00:00,0.0001,0.03188956
2020-04-06 08:00:00+00:00,0.0001,0.03313545
