date,SOXX,SOXL
2010-03-11 14:30:00+00:00,13.556326866149902,0.6008637547492981
2010-03-12 14:30:00+00:00,13.531033515930176,0.5860056281089783
2010-03-15 13:30:00+00:00,13.38490867614746,0.5675076246261597
2010-03-16 13:30:00+00:00,13.755851745605469,0.6135998368263245
2010-03-17 13:30:00+00:00,13.977858543395996,0.6357360482215881
2010-03-18 13:30:00+00:00,13.848584175109863,0.6202709078788757
2010-03-19 13:30:00+00:00,13.657490730285645,0.5920698046684265
2010-03-22 13:30:00+00:00,13.927271842956545,0.6348261833190918
2010-03-23 13:30:00+00:00,14.20828914642334,0.6757632493972778
2010-03-24 13:30:00+00:00,13.873878479003906,0.6383141279220581
2010-03-25 13:30:00+00:00,13.865448951721191,0.6351300477981567
2010-03-26 13:30:00+00:00,13.812054634094238,0.6251232624053955
2010-03-29 13:30:00+00:00,13.901975631713867,0.6419530510902405
2010-03-30 13:30:00+00:00,13.986286163330078,0.6542340517044067
2010-03-31 13:30:00+00:00,13.887928009033203,0.6440752148628235
2010-04-01 13:30:00+00:00,13.882308959960938,0.6461976766586304
2010-04-05 13:30:00+00:00,14.281357765197754,0.7009321451187134
2010-04-06 13:30:00+00:00,14.191426277160645,0.6903184652328491
2010-04-07 13:30:00+00:00,14.244820594787598,0.6971415877342224
2010-04-08 13:30:00+00:00,14.050920486450195,0.6724282503128052
2010-04-09 13:30:00+00:00,14.205482482910156,0.6903184652328491
2010-04-12 13:30:00+00:00,14.326312065124512,0.7076030373573303
2010-04-13 13:30:00+00:00,14.461207389831545,0.7212485671043396
2010-04-14 13:30:00+00:00,15.048535346984863,0.8140391707420349
2010-04-15 13:30:00+00:00,15.113168716430664,0.8210139274597168
2010-04-16 13:30:00+00:00,14.893980979919434,0.7906906008720398
2010-04-19 13:30:00+00:00,14.7618989944458,0.7640053033828735
2010-04-20 13:30:00+00:00,14.95580005645752,0.8010003566741943
2010-04-21 13:30:00+00:00,14.7618989944458,0.7759832739830017
2010-04-22 13:30:00+00:00,14.967037200927734,0.8198013305664062
2010-04-23 13:30:00+00:00,14.975465774536133,0.8234401941299438
2010-04-26 13:30:00+00:00,15.042911529541016,0.8307178020477295
2010-04-27 13:30:00+00:00,14.556750297546388,0.7447503805160522
2010-04-28 13:30:00+00:00,14.627004623413086,0.7596085071563721
2010-04-29 13:30:00+00:00,14.812480926513672,0.785687267780304
2010-04-30 13:30:00+00:00,14.168947219848633,0.679705798625946
2010-05-03 13:30:00+00:00,14.464016914367676,0.7297400236129761
2010-05-04 13:30:00+00:00,13.910408973693848,0.6331586837768555
2010-05-05 13:30:00+00:00,13.769901275634766,0.6128421425819397
2010-05-06 13:30:00+00:00,13.269685745239258,0.5606849193572998
2010-05-07 13:30:00+00:00,13.101076126098633,0.526570737361908
2010-05-10 13:30:00+00:00,13.78395175933838,0.6186034679412842
2010-05-11 13:30:00+00:00,13.705270767211914,0.6067770719528198
2010-05-12 13:30:00+00:00,14.081827163696287,0.656053364276886
2010-05-13 13:30:00+00:00,13.747419357299805,0.6046547889709473
2010-05-14 13:30:00+00:00,13.331512451171877,0.5494651794433594
2010-05-17 13:30:00+00:00,13.502937316894531,0.5722081661224365
2010-05-18 13:30:00+00:00,13.131985664367676,0.5255099534988403
2010-05-19 13:30:00+00:00,13.210674285888672,0.5338482856750488
2010-05-20 13:30:00+00:00,12.81724452972412,0.4903340339660644
2010-05-21 13:30:00+00:00,13.011151313781738,0.5223260521888733
2010-05-24 13:30:00+00:00,12.81724452972412,0.4915467500686645
2010-05-25 13:30:00+00:00,12.856585502624512,0.5026151537895203
2010-05-26 13:30:00+00:00,12.879073143005373,0.5000380873680115
2010-05-27 13:30:00+00:00,13.457969665527344,0.5761498212814331
2010-05-28 13:30:00+00:00,13.241594314575195,0.5484036207199097
2010-06-01 13:30:00+00:00,12.960565567016602,0.5111057162284851
2010-06-02 13:30:00+00:00,13.37928581237793,0.5656881928443909
2010-06-03 13:30:00+00:00,13.53946590423584,0.5873702168464661
2010-06-04 13:30:00+00:00,12.935277938842772,0.5109544992446899
2010-06-07 13:30:00+00:00,12.460355758666992,0.4539456963539123
2010-06-08 13:30:00+00:00,12.45754623413086,0.4489423036575317
2010-06-09 13:30:00+00:00,12.314224243164062,0.4399970769882202
2010-06-10 13:30:00+00:00,12.749804496765137,0.4883627891540527
2010-06-11 13:30:00+00:00,12.932464599609377,0.5092861652374268
2010-06-14 13:30:00+00:00,12.963376998901367,0.518990159034729
2010-06-15 13:30:00+00:00,13.60972023010254,0.6054125428199768
2010-06-16 13:30:00+00:00,13.66030216217041,0.613752007484436
2010-06-17 13:30:00+00:00,13.677165031433104,0.609809160232544
2010-06-18 13:30:00+00:00,13.646254539489746,0.6057155728340149
2010-06-21 13:30:00+00:00,13.543225288391112,0.5896446108818054
2010-06-22 13:30:00+00:00,13.277894020080566,0.5585624575614929
2010-06-23 13:30:00+00:00,13.331525802612305,0.5634139776229858
2010-06-24 13:30:00+00:00,12.97869110107422,0.5142896771430969
