open_time,level
2006-03-21 00:00:00+00:00,100.0
2006-03-22 00:00:00+00:00,98.75
2006-03-23 00:00:00+00:00,98.76
2006-03-24 00:00:00+00:00,98.74
2006-03-27 00:00:00+00:00,97.86
2006-03-28 00:00:00+00:00,98.23
2006-03-29 00:00:00+00:00,97.57
2006-03-30 00:00:00+00:00,97.4
2006-03-31 00:00:00+00:00,98.09
2006-04-03 00:00:00+00:00,98.46
2006-04-04 00:00:00+00:00,98.33
2006-04-05 00:00:00+00:00,97.99
2006-04-06 00:00:00+00:00,97.97
2006-04-07 00:00:00+00:00,98.91
2006-04-10 00:00:00+00:00,102.1
2006-04-11 00:00:00+00:00,102.12
2006-04-12 00:00:00+00:00,102.17
2006-04-13 00:00:00+00:00,101.64
2006-04-17 00:00:00+00:00,102.52
2006-04-18 00:00:00+00:00,97.53
2006-04-19 00:00:00+00:00,98.77
2006-04-20 00:00:00+00:00,98.92
2006-04-21 00:00:00+00:00,99.47
2006-04-24 00:00:00+00:00,99.52
2006-04-25 00:00:00+00:00,100.42
2006-04-26 00:00:00+00:00,99.19
2006-04-27 00:00:00+00:00,99.91
2006-04-28 00:00:00+00:00,99.75
2006-05-01 00:00:00+00:00,99.55
2006-05-02 00:00:00+00:00,99.56
2006-05-03 00:00:00+00:00,100.68
2006-05-04 00:00:00+00:00,100.69
2006-05-05 00:00:00+00:00,99.64
2006-05-08 00:00:00+00:00,100.32
2006-05-09 00:00:00+00:00,99.98
2006-05-10 00:00:00+00:00,100.44
2006-05-11 00:00:00+00:00,101.7
2006-05-12 00:00:00+00:00,102.01
2006-05-15 00:00:00+00:00,103.41
2006-05-16 00:00:00+00:00,104.35
2006-05-17 00:00:00+00:00,102.63
2006-05-18 00:00:00+00:00,102.23
2006-05-19 00:00:00+00:00,102.86
2006-05-22 00:00:00+00:00,101.28
2006-05-23 00:00:00+00:00,101.87
2006-05-24 00:00:00+00:00,101.67
2006-05-25 00:00:00+00:00,102.51
2006-05-26 00:00:00+00:00,103.13
2006-05-30 00:00:00+00:00,102.12
2006-05-31 00:00:00+00:00,102.96
2006-06-01 00:00:00+00:00,103.17
2006-06-02 00:00:00+00:00,103.8
2006-06-05 00:00:00+00:00,103.0
2006-06-06 00:00:00+00:00,102.19
2006-06-07 00:00:00+00:00,100.78
2006-06-08 00:00:00+00:00,100.59
2006-06-09 00:00:00+00:00,100.19
2006-06-12 00:00:00+00:00,97.18
2006-06-13 00:00:00+00:00,93.72
2006-06-14 00:00:00+00:00,89.82
2006-06-15 00:00:00+00:00,102.9
2006-06-16 00:00:00+00:00,100.87
2006-06-19 00:00:00+00:00,101.29
2006-06-20 00:00:00+00:00,103.19
2006-06-21 00:00:00+00:00,104.36
2006-06-22 00:00:00+00:00,104.16
2006-06-23 00:00:00+00:00,104.6
2006-06-26 00:00:00+00:00,104.74
2006-06-27 00:00:00+00:00,104.65
2006-06-28 00:00:00+00:00,104.54
2006-06-29 00:00:00+00:00,104.46
2006-06-30 00:00:00+00:00,104.56
2006-07-03 00:00:00+00:00,104.49
2006-07-05 00:00:00+00:00,104.93
2006-07-06 00:00:00+00:00,104.81
2006-07-07 00:00:00+00:00,105.25
2006-07-10 00:00:00+00:00,105.26
2006-07-11 00:00:00+00:00,105.28
2006-07-12 00:00:00+00:00,105.71
2006-07-13 00:00:00+00:00,105.73
2006-07-14 00:00:00+00:00,105.53
2006-07-17 00:00:00+00:00,105.65
2006-07-18 00:00:00+00:00,105.35
2006-07-19 00:00:00+00:00,105.0
2006-07-20 00:00:00+00:00,104.91
2006-07-21 00:00:00+00:00,104.94
2006-07-24 00:00:00+00:00,105.84
2006-07-25 00:00:00+00:00,105.5
2006-07-26 00:00:00+00:00,106.07
2006-07-27 00:00:00+00:00,105.88
2006-07-28 00:00:00+00:00,106.12
2006-07-31 00:00:00+00:00,105.89
2006-08-01 00:00:00+00:00,105.91
2006-08-02 00:00:00+00:00,105.72
2006-08-03 00:00:00+00:00,106.04
2006-08-04 00:00:00+00:00,106.06
2006-08-07 00:00:00+00:00,106.63
2006-08-08 00:00:00+00:00,106.64
2006-08-09 00:00:00+00:00,106.87
2006-08-10 00:00:00+00:00,106.89
2006-08-11 00:00:00+00:00,106.9
2006-08-14 00:00:00+00:00,106.92
2006-08-15 00:00:00+00:00,106.93
2006-08-16 00:00:00+00:00,106.15
2006-08-17 00:00:00+00:00,105.64
2006-08-18 00:00:00+00:00,105.6
2006-08-21 00:00:00+00:00,106.15
2006-08-22 00:00:00+00:00,107.01
2006-08-23 00:00:00+00:00,105.91
2006-08-24 00:00:00+00:00,105.66
2006-08-25 00:00:00+00:00,107.01
2006-08-28 00:00:00+00:00,107.55
2006-08-29 00:00:00+00:00,107.3
2006-08-30 00:00:00+00:00,107.05
2006-08-31 00:00:00+00:00,108.13
2006-09-01 00:00:00+00:00,108.41
2006-09-05 00:00:00+00:00,108.69
2006-09-06 00:00:00+00:00,107.65
2006-09-07 00:00:00+00:00,107.13
2006-09-08 00:00:00+00:00,108.47
2006-09-11 00:00:00+00:00,109.02
2006-09-12 00:00:00+00:00,110.42
2006-09-13 00:00:00+00:00,110.38
2006-09-14 00:00:00+00:00,110.4
2006-09-15 00:00:00+00:00,110.94
2006-09-18 00:00:00+00:00,111.49
2006-09-19 00:00:00+00:00,111.51
2006-09-20 00:00:00+00:00,110.88
2006-09-21 00:00:00+00:00,110.58
2006-09-22 00:00:00+00:00,110.85
2006-09-25 00:00:00+00:00,111.82
2006-09-26 00:00:00+00:00,111.84
2006-09-27 00:00:00+00:00,112.17
2006-09-28 00:00:00+00:00,111.61
2006-09-29 00:00:00+00:00,112.52
2006-10-02 00:00:00+00:00,112.22
2006-10-03 00:00:00+00:00,112.23
2006-10-04 00:00:00+00:00,112.57
2006-10-05 00:00:00+00:00,113.86
2006-10-06 00:00:00+00:00,113.55
2006-10-09 00:00:00+00:00,114.53
2006-10-10 00:00:00+00:00,114.22
2006-10-11 00:00:00+00:00,114.56
2006-10-12 00:00:00+00:00,114.64
2006-10-13 00:00:00+00:00,114.91
2006-10-16 00:00:00+00:00,114.28
2006-10-17 00:00:00+00:00,114.94
2006-10-18 00:00:00+00:00,112.95
2006-10-19 00:00:00+00:00,113.28
2006-10-20 00:00:00+00:00,113.3
2006-10-23 00:00:00+00:00,112.52
2006-10-24 00:00:00+00:00,113.73
2006-10-25 00:00:00+00:00,112.95
2006-10-26 00:00:00+00:00,113.76
2006-10-27 00:00:00+00:00,113.86
2006-10-30 00:00:00+00:00,114.67
2006-10-31 00:00:00+00:00,115.08
2006-11-01 00:00:00+00:00,115.02
2006-11-02 00:00:00+00:00,114.64
2006-11-03 00:00:00+00:00,115.45
2006-11-06 00:00:00+00:00,115.86
