symbol,net_simple_contribution,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe
SCHB,0.03891735866094242,10000.0,10306.91521675333,0.030691521675332956,0.0024116056712617517,0.04483092102581114,0.10043413378382868,0.1033269089280771,0.023864867247977088,-0.10105254918047668,-0.050103674399528765,1501.0,1.0201245165293154,0.35476718403547675,,,,,,,0.0692241666772968,-0.07279006694384293,0.47019867549668876,4584.0,0.6363636363636364,11,-0.8744953470209638
USDU,0.028282299479705206,10000.0,10273.80897020805,0.02738089702080515,0.0021546751481797966,0.017138097849935134,0.1909271726253842,0.23513517601154837,0.061448718981602424,-0.035064606453796054,-0.014695043984499338,2892.0,1.0326924283818368,0.33196072220462464,,,,,,,0.024727184862554097,-0.007420286394319797,0.4304635761589404,4584.0,0.5454545454545454,11,-0.2986354066012372
DBB,0.05681413606089231,10000.0,10491.928382860277,0.04919283828602761,0.003833621598833048,0.04508994908444407,0.14577810646734218,0.16309871794859837,0.03916465265974187,-0.09788473377101348,-0.045842898048716406,1544.0,1.0260492713770815,0.3116883116883117,,,,,,,0.05864613409295427,-0.04675353308792729,0.39072847682119205,4584.0,0.6363636363636364,11,-1.0143267368725564
BIV,0.056483137077236914,10000.0,10573.523856169279,0.05735238561692779,0.004453446249582216,0.012857426460420592,0.5082535294409601,0.5832337366181314,0.132957421393163,-0.033495281443621794,-0.010762601982793923,1076.0,1.0909985163411497,0.36015204307887233,,,,,,,0.02505452543660791,-0.010152750102745745,0.4503311258278146,4584.0,0.6363636363636364,11,-0.6259834856150375
