symbol,confirmed_at,signal,boundary,zg,zd,departure_price,retest_price
SCHB,60,1,6.1273203860087735,6.1273203860087735,6.042974667573387,6.304175083912986,6.150447457022718
SCHB,123,1,6.289334556516973,6.289334556516973,6.17863800221929,6.5230321419458495,6.419166487160188
SCHB,132,1,6.324868364107955,6.324868364107955,6.17863800221929,6.572319415150641,6.491315217034136
SCHB,163,-1,6.505044877834701,6.632730899617597,6.505044877834701,6.351274333081019,6.488570432962354
SCHB,176,1,6.632730899617597,6.632730899617597,6.505044877834701,6.6958858256044635,6.646459871703189
SCHB,203,-1,6.646459871703189,6.721971656919851,6.646459871703189,6.399670409402171,6.577552914140643
SCHB,241,1,6.577552914140643,6.577552914140643,6.399670409402171,6.930564682054204,6.836796353751465
SCHB,252,1,6.577552914140643,6.577552914140643,6.399670409402171,6.93883691998385,6.594100817178665
SCHB,301,1,6.91787562723911,6.91787562723911,6.665813500189136,7.145009076219115,7.092381000518799
SCHB,304,1,6.91787562723911,6.91787562723911,6.665813500189136,7.145009076219115,7.046676469496016
SCHB,321,1,6.91787562723911,6.91787562723911,6.897103153591615,7.16032718310872,6.929439576127694
SCHB,428,-1,7.000227240142124,7.151249664865217,7.000227240142124,5.523552003055354,6.783479628518465
SCHB,432,-1,6.969462797624508,7.151249664865217,6.969462797624508,6.48702674607986,6.72335044224231
SCHB,436,-1,6.969462797624508,7.151249664865217,6.969462797624508,6.48702674607986,6.780683752241508
SCHB,441,-1,6.969462797624508,7.151249664865217,6.969462797624508,6.48702674607986,6.893953670367239
SCHB,479,1,6.783479628518465,6.783479628518465,6.48702674607986,7.16705329493725,7.013871797968502
SCHB,483,1,6.783479628518465,6.783479628518465,6.48702674607986,7.16705329493725,6.849449674394264
SCHB,528,-1,6.79463187385221,7.030736704250413,6.79463187385221,6.095392950480736,6.434417108627257
SCHB,531,-1,6.79463187385221,7.030736704250413,6.79463187385221,6.095392950480736,6.462671129904825
SCHB,534,-1,6.79463187385221,7.030736704250413,6.79463187385221,6.095392950480736,6.561551451291102
SCHB,546,-1,6.79463187385221,7.030736704250413,6.79463187385221,6.082679861841073,6.503634050876002
SCHB,548,-1,6.79463187385221,7.030736704250413,6.79463187385221,6.082679861841073,6.5615509889068315
SCHB,572,1,6.5615509889068315,6.5615509889068315,6.375087398231447,6.958493500147729,6.810169323242254
SCHB,580,1,6.5615509889068315,6.5615509889068315,6.375087398231447,7.006524234931818,6.86949837462252
SCHB,593,1,6.958493500147729,6.958493500147729,6.86949837462252,7.1435452173528695,7.037600884180772
SCHB,672,1,7.198375302030257,7.198375302030257,6.975446106431887,7.504993774913891,7.41130507004161
SCHB,680,1,7.198375302030257,7.198375302030257,6.975446106431887,7.512090445728031,7.39852951012784
SCHB,683,1,7.198375302030257,7.198375302030257,6.975446106431887,7.512090445728031,7.392849634649898
SCHB,744,1,7.378927500055372,7.378927500055372,7.262141828051405,7.666625022888183,7.6096522370603
SCHB,747,1,7.378927500055372,7.378927500055372,7.262141828051405,7.666625022888183,7.566927672453691
