date,net_return,equity
2014-02-25 00:00:00+00:00,-0.00015997464440272704,9998.400253555972
2014-02-26 00:00:00+00:00,-0.0008096203978003258,9990.305344765322
2014-02-27 00:00:00+00:00,0.0004882812883662879,9995.183423930237
2014-02-28 00:00:00+00:00,0.000688981598895555,10002.069921386908
2014-03-03 00:00:00+00:00,-0.0004103975929738102,9997.965095966416
2014-03-04 00:00:00+00:00,-0.0006097021693497129,9991.869314958323
2014-03-05 00:00:00+00:00,0.000688118480769001,9998.744904891375
2014-03-06 00:00:00+00:00,0.0008901248656039473,10007.64503635605
2014-03-07 00:00:00+00:00,-0.0003110557560906613,10004.532100762579
2014-03-10 00:00:00+00:00,-0.00031061268974693637,10001.424566137102
2014-03-11 00:00:00+00:00,-0.00031030524554739316,9998.321071631282
2014-03-12 00:00:00+00:00,9.00784518456987e-05,9999.221704914471
2014-03-13 00:00:00+00:00,0.0015607354683044084,10014.82784488477
2014-03-14 00:00:00+00:00,0.00038068062011659685,10018.640295759122
2014-03-17 00:00:00+00:00,-0.00034662990135608254,10015.167535461682
2014-03-18 00:00:00+00:00,0.0004007819769541232,10019.18143410607
2014-03-19 00:00:00+00:00,-0.0049945338314251134,9969.140293470242
2014-03-20 00:00:00+00:00,0.00020564446762486586,9971.19039201857
2014-03-21 00:00:00+00:00,0.0005583948726516408,9976.758253607708
2014-03-24 00:00:00+00:00,-0.0012816613353361596,9963.971428302062
2014-03-25 00:00:00+00:00,0.0015268511324744215,9979.184929361309
2014-03-26 00:00:00+00:00,-0.001508302444920834,9964.133300334035
2014-03-27 00:00:00+00:00,-0.0004335017592169921,9959.813831019268
2014-03-28 00:00:00+00:00,0.0003001815066108526,9962.803582940625
2014-03-31 00:00:00+00:00,0.0026856237725206068,9989.559925083924
2014-04-01 00:00:00+00:00,0.0016003742667342112,10005.546959724028
2014-04-02 00:00:00+00:00,-0.00030752912976741433,10002.469962574656
2014-04-03 00:00:00+00:00,-0.0024802878063037883,9977.660958293562
2014-04-04 00:00:00+00:00,-0.0016118950281867773,9961.578016201955
2014-04-07 00:00:00+00:00,-0.0031559961789825344,9930.139314046184
2014-04-08 00:00:00+00:00,0.0025317456254412393,9955.279900814543
2014-04-09 00:00:00+00:00,0.0029297878332289026,9984.446758744338
2014-04-10 00:00:00+00:00,-0.005450908513726388,9930.022452902249
2014-04-11 00:00:00+00:00,-0.0011907896389374503,9918.197885050917
2014-04-14 00:00:00+00:00,-0.0006414341392064149,9911.83601432804
2014-04-15 00:00:00+00:00,-0.00041890218156045436,9907.683924598368
2014-04-16 00:00:00+00:00,-0.0002483483822704136,9905.223367323648
2014-04-17 00:00:00+00:00,-0.0011550441910838317,9893.782396611834
2014-04-21 00:00:00+00:00,0.0004613278392797182,9898.346673867167
2014-04-22 00:00:00+00:00,-2.8880928429086996e-05,9898.060800425312
2014-04-23 00:00:00+00:00,0.0003981850307574808,9902.00206006957
2014-04-24 00:00:00+00:00,-0.0001293666150857742,9900.721071580485
2014-04-25 00:00:00+00:00,0.00012842786295500506,9901.992600029422
2014-04-28 00:00:00+00:00,-0.00017791585197223794,9900.230878579765
2014-04-29 00:00:00+00:00,0.00015078691783349527,9901.723703879785
2014-04-30 00:00:00+00:00,0.0013314286916508487,9914.907142915928
2014-05-01 00:00:00+00:00,0.0008309621520409316,9923.146055492693
2014-05-02 00:00:00+00:00,0.0007164635214016779,9930.255627658993
2014-05-05 00:00:00+00:00,-0.00018844104812414943,9928.384359880378
2014-05-06 00:00:00+00:00,0.0007055300197285119,9935.389133093677
2014-05-07 00:00:00+00:00,0.0004612664566056357,9939.971994834097
2014-05-08 00:00:00+00:00,-4.743644942569739e-05,9939.50047785527
2014-05-09 00:00:00+00:00,-0.0005055143625354253,9934.475917607288
