symbol,event_count,buy_count,sell_count,long_day_fraction,short_day_fraction,flat_day_fraction
SCHB,185,134,51,0.5536902122267976,0.12796959138422553,0.31834019638897687
USDU,144,89,55,0.37884067152359835,0.300601837187203,0.3205574912891986
DBB,190,114,76,0.3782071586949636,0.22806461830852076,0.39372822299651566
BIV,176,113,63,0.4748178650617675,0.2229965156794425,0.30218561925879
