date,gross_return,turnover,trading_cost,short_borrow,financing_cost,gross_exposure,net_return
2014-02-25 00:00:00+00:00,0.00019989198103581574,0.5,0.0005,1.984126984126984e-05,0.0,0.5,-0.0003199492888054541
2014-02-26 00:00:00+00:00,-0.0015993995257593818,0.0,0.0,1.984126984126984e-05,0.0,0.5,-0.0016192407956006516
2014-02-27 00:00:00+00:00,0.0009964038465738456,0.0,0.0,1.984126984126984e-05,0.0,0.5,0.0009765625767325758
2014-02-28 00:00:00+00:00,0.0013978044676323798,0.0,0.0,1.984126984126984e-05,0.0,0.5,0.00137796319779111
2014-03-03 00:00:00+00:00,-0.0008009539161063506,0.0,0.0,1.984126984126984e-05,0.0,0.5,-0.0008207951859476204
2014-03-04 00:00:00+00:00,-0.001199563068858156,0.0,0.0,1.984126984126984e-05,0.0,0.5,-0.0012194043386994258
2014-03-05 00:00:00+00:00,0.001396078231379272,0.0,0.0,1.984126984126984e-05,0.0,0.5,0.001376236961538002
2014-03-06 00:00:00+00:00,0.0018000910010491644,0.0,0.0,1.984126984126984e-05,0.0,0.5,0.0017802497312078946
2014-03-07 00:00:00+00:00,-0.0006022702423400528,0.0,0.0,1.984126984126984e-05,0.0,0.5,-0.0006221115121813226
2014-03-10 00:00:00+00:00,-0.0006013841096526029,0.0,0.0,1.984126984126984e-05,0.0,0.5,-0.0006212253794938727
2014-03-11 00:00:00+00:00,-0.0006007692212535165,0.0,0.0,1.984126984126984e-05,0.0,0.5,-0.0006206104910947863
2014-03-12 00:00:00+00:00,0.00019999817353266724,0.0,0.0,1.984126984126984e-05,0.0,0.5,0.0001801569036913974
2014-03-13 00:00:00+00:00,0.003641312206450087,0.5,0.0005,1.984126984126984e-05,0.0,1.0,0.003121470936608817
2014-03-14 00:00:00+00:00,0.0007812025100744635,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0007613612402331937
2014-03-17 00:00:00+00:00,-0.0006734185328708953,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0006932598027121651
2014-03-18 00:00:00+00:00,0.0008214052237495162,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0008015639539082464
2014-03-19 00:00:00+00:00,-0.009469226393008956,0.5,0.0005,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.010068432742215307
2014-03-20 00:00:00+00:00,0.00043113020509100153,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.00033192385588465235
2014-03-21 00:00:00+00:00,0.0011366310151445513,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.001037424665938202
2014-03-24 00:00:00+00:00,-0.002543481400831049,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.0026426877500373984
2014-03-25 00:00:00+00:00,0.003073543534790113,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.0029743371855837637
2014-03-26 00:00:00+00:00,-0.0029967636200003978,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.003095969969206747
2014-03-27 00:00:00+00:00,-0.0008471622485927144,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.0009463685977990636
2014-03-28 00:00:00+00:00,0.000620204283062975,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.0005209979338566259
2014-03-31 00:00:00+00:00,0.005391088814882483,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.005291882465676134
2014-04-01 00:00:00+00:00,0.0032205898033096925,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,0.003121383454103343
2014-04-02 00:00:00+00:00,-0.0005952169896935589,0.0,0.0,1.984126984126984e-05,7.936507936507937e-05,1.5,-0.000694423338899908
2014-04-03 00:00:00+00:00,-0.004420893072925036,0.5,0.0005,3.968253968253968e-05,0.00015873015873015873,2.0,-0.005119305771337735
2014-04-04 00:00:00+00:00,-0.003184107516691015,0.0,0.0,3.968253968253968e-05,0.00015873015873015873,2.0,-0.0033825202151037135
2014-04-07 00:00:00+00:00,-0.006272309818282529,0.0,0.0,3.968253968253968e-05,0.00015873015873015873,2.0,-0.006470722516695227
2014-04-08 00:00:00+00:00,0.005103173790565019,0.0,0.0,3.968253968253968e-05,0.00015873015873015873,2.0,0.00490476109215232
2014-04-09 00:00:00+00:00,0.005899258206140345,0.0,0.0,3.968253968253968e-05,0.00015873015873015873,2.0,0.005700845507727647
2014-04-10 00:00:00+00:00,-0.010862134487770236,0.0,0.0,3.968253968253968e-05,0.00015873015873015873,2.0,-0.011060547186182934
2014-04-11 00:00:00+00:00,-0.0013617380080336305,1.0,0.001,1.984126984126984e-05,0.0,1.0,-0.0023815792778749006
2014-04-14 00:00:00+00:00,-0.00126302700857156,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0012828682784128298
2014-04-15 00:00:00+00:00,-0.0008179630932796389,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0008378043631209087
2014-04-16 00:00:00+00:00,-0.00047685549469955735,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0004966967645408272
2014-04-17 00:00:00+00:00,-0.0022902471123263934,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0023100883821676635
2014-04-21 00:00:00+00:00,0.0009424969484007062,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0009226556785594364
2014-04-22 00:00:00+00:00,-3.792058701690415e-05,0.0,0.0,1.984126984126984e-05,0.0,1.0,-5.776185685817399e-05
2014-04-23 00:00:00+00:00,0.0008162113313562314,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0007963700615149615
2014-04-24 00:00:00+00:00,-0.0002388919603302786,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0002587332301715484
2014-04-25 00:00:00+00:00,0.00027669699575127993,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0002568557259100101
2014-04-28 00:00:00+00:00,-0.00033599043410320606,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0003558317039444759
2014-04-29 00:00:00+00:00,0.00032141510550826036,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.00030157383566699054
2014-04-30 00:00:00+00:00,0.0026826986531429675,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0026628573833016975
2014-05-01 00:00:00+00:00,0.001681765573923133,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0016619243040818632
2014-05-02 00:00:00+00:00,0.0014527683126446256,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0014329270428033558
2014-05-05 00:00:00+00:00,-0.00035704082640702905,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.00037688209624829887
2014-05-06 00:00:00+00:00,0.0014309013092982936,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0014110600394570238
2014-05-07 00:00:00+00:00,0.0009423741830525412,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0009225329132112714
2014-05-08 00:00:00+00:00,-7.503162901012495e-05,0.0,0.0,1.984126984126984e-05,0.0,1.0,-9.487289885139479e-05
2014-05-09 00:00:00+00:00,-0.0009911874552295807,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0010110287250708506
2014-05-12 00:00:00+00:00,-0.0015941825555753075,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0016140238254165773
2014-05-13 00:00:00+00:00,-0.0007399262731457856,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0007597675429870554
2014-05-14 00:00:00+00:00,0.002624650624660163,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.002604809354818893
2014-05-15 00:00:00+00:00,0.0015032345434609073,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0014833932736196375
2014-05-16 00:00:00+00:00,-0.0005648450414268424,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0005846863112681123
2014-05-19 00:00:00+00:00,0.0004537240680666521,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0004338827982253823
2014-05-20 00:00:00+00:00,0.0013514808221877228,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.001331639552346453
2014-05-21 00:00:00+00:00,-0.001485507115132234,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.001505348384973504
2014-05-22 00:00:00+00:00,-0.0004728722965314791,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.0004927135663727489
2014-05-23 00:00:00+00:00,-0.0008491625376088052,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.000869003807450075
2014-05-27 00:00:00+00:00,0.0013277939027871444,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0013079526329458746
2014-05-28 00:00:00+00:00,0.001055327704800546,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0010354864349592762
2014-05-29 00:00:00+00:00,0.0007987966851883965,0.0,0.0,1.984126984126984e-05,0.0,1.0,0.0007789554153471267
2014-05-30 00:00:00+00:00,-6.616553853233675e-05,0.0,0.0,1.984126984126984e-05,0.0,1.0,-8.60068083736066e-05
2014-06-02 00:00:00+00:00,-0.004428412360260536,0.0,0.0,1.984126984126984e-05,0.0,1.0,-0.004448253630101806
