leverage,oos__initial_capital,oos__final_value,oos__total_return,oos__cagr,oos__annualized_volatility,oos__sharpe_ratio,oos__sortino_ratio,oos__calmar_ratio,oos__max_drawdown,oos__average_drawdown,oos__longest_drawdown_days,oos__profit_factor,oos__win_rate,oos__turnover_per_bar,oos__annualized_turnover,oos__total_fees,oos__rebalance_count,oos__exposure_pct,oos__average_exposure,oos__best_year,oos__worst_year,oos__monthly_hit_rate,oos__elapsed_days,oos__positive_complete_year_ratio,oos__complete_year_count,oos__worst_rolling_3y_sharpe,check__sample_at_least_5y,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__worst_rolling_3y_sharpe_at_least_1,check__solvent,strict_oos_passed
1.0,10000.0,11704.724685420953,0.1704724685420953,0.01262110365419944,0.07305479629132146,0.28584903555990193,0.3544924736283948,0.07441637603716848,-0.16960115939931852,-0.07405311903104891,1369.0,1.0459640146319251,0.532150776053215,,,,,,,0.140758366410618,-0.04916159919035479,0.5033112582781457,4584.0,0.5454545454545454,11,-0.6925309757551206,True,True,True,False,False,True,False,False,False,True,False
2.0,10000.0,10803.431617869925,0.08034316178699252,0.006176513329549271,0.14610630162137409,0.13439713416609292,0.1664377171315432,0.018882990107353264,-0.32709402983503455,-0.16545398775622852,1490.0,1.0213728005722098,0.5289832119100412,,,,,,,0.2551759023505782,-0.11614819487802297,0.48344370860927155,4584.0,0.5454545454545454,11,-0.8371668580968942,True,True,True,False,False,False,False,False,False,True,False
3.0,10000.0,8352.325025753766,-0.16476749742462338,-0.014243462997126755,0.2191575336717647,0.014906480268469725,0.018461190323374444,-0.030580168311799497,-0.46577451281165283,-0.26767653020374804,1550.0,1.0023495668185394,0.5270826734241368,,,,,,,0.3569243480008195,-0.19588391148889128,0.46357615894039733,4584.0,0.5454545454545454,11,-0.9663753130297139,True,True,True,False,False,False,False,False,False,True,False
4.0,10000.0,6162.420485731265,-0.3837579514268735,-0.037839488228911144,0.29220922381818604,-0.04483956100900803,-0.05556039385213316,-0.06437710296473899,-0.5877786741916114,-0.3702925939494631,2894.0,0.9929636218295476,0.5242318656952804,,,,,,,0.4516535000335187,-0.27528185007865835,0.45695364238410596,4584.0,0.5454545454545454,11,-1.0309681899606489,True,True,True,False,False,False,False,False,False,True,False
5.0,10000.0,4286.3673971845365,-0.5713632602815464,-0.0652722562038136,0.36526150241255456,-0.0844580078957461,-0.10475333157804326,-0.09010401863007678,-0.7244100451478164,-0.48233638350702157,2894.0,0.9867857062222101,0.5207475451377891,,,,,,,0.5367216747491859,-0.35336742104497365,0.44370860927152317,4584.0,0.45454545454545453,11,-1.0744242601079632,True,True,True,False,False,False,False,False,False,True,False
