open_time,net_pnl,equity,turnover,cost,risk_on,rebalanced
2021-01-04 00:00:00+00:00,-0.04196559634482372,0.9580344036551762,1.0,0.0005,1.0,True
2021-01-05 00:00:00+00:00,0.046090989199375265,1.0021911570066768,0.0,0.0,1.0,False
2021-01-06 00:00:00+00:00,0.122707025035236,1.1251670523995874,0.0,0.0,1.0,False
2021-01-07 00:00:00+00:00,0.05384387712316685,1.1857504089120265,0.0,0.0,1.0,False
2021-01-08 00:00:00+00:00,-0.007371856305547375,1.177009227283283,0.0,0.0,1.0,False
2021-01-11 00:00:00+00:00,-0.0012802317161477728,1.1755023827403164,0.0,0.0,1.0,False
2021-01-12 00:00:00+00:00,0.0526921262461042,1.2374421026942655,0.0,0.0,1.0,False
2021-01-13 00:00:00+00:00,-0.02070366516237332,1.2118225157422602,0.0,0.0,1.0,False
2021-01-14 00:00:00+00:00,0.059693747464997005,1.284160742969376,0.0,0.0,1.0,False
2021-01-15 00:00:00+00:00,-0.04424354723384216,1.2273449164819645,0.0,0.0,1.0,False
2021-01-19 00:00:00+00:00,0.0378191973353148,1.2737621160768915,0.0,0.0,1.0,False
2021-01-20 00:00:00+00:00,0.013369626514244004,1.2907918398368325,0.0,0.0,1.0,False
2021-01-21 00:00:00+00:00,-0.025685880911303305,1.2576367143575016,0.0,0.0,1.0,False
2021-01-22 00:00:00+00:00,0.03403230026768034,1.300436984648175,0.0,0.0,1.0,False
2021-01-25 00:00:00+00:00,-0.0033607252308176516,1.2960665732627794,0.0,0.0,1.0,False
2021-01-26 00:00:00+00:00,-0.021162948305973872,1.2686379833717185,0.0,0.0,1.0,False
2021-01-27 00:00:00+00:00,-0.05357579956604175,1.200669689052728,0.0,0.0,1.0,False
2021-01-28 00:00:00+00:00,-0.010919834702592501,1.187558574515859,0.0,0.0,1.0,False
2021-01-29 00:00:00+00:00,-0.044796660212074846,1.134359916571336,0.0,0.0,1.0,False
2021-02-01 00:00:00+00:00,0.07400009047690492,1.2183026530309893,0.0,0.0,1.0,False
2021-02-02 00:00:00+00:00,0.04143966243134889,1.2687887037118102,0.0,0.0,1.0,False
2021-02-03 00:00:00+00:00,0.00890845646715599,1.280091652644846,0.0,0.0,1.0,False
