open_time,net_pnl,active,notional,turnover,trading_cost,financing_cost,equity,rebalanced,position,cost
2016-09-12 00:00:00+00:00,-0.0037680187086470696,0.0,0.0,4.0015372180295,0.00600230582704425,0.00014604580585376973,0.9962319812913529,True,0.0,0.00614835163289802
2016-09-13 00:00:00+00:00,-0.0027810093543234604,1.0,19924.639625827058,2.0,0.003,7.30093543235227e-05,0.9934614508323055,True,2.0,0.0030730093543235226
2016-09-14 00:00:00+00:00,-0.0032380143023877928,0.0,0.0,2.0060382125500364,0.0030090573188250548,7.3212960250838e-05,0.9902446084456394,True,0.0,0.003082270279075893
2016-09-15 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9902446084456394,False,0.0,0.0
2016-09-16 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9902446084456394,False,0.0,0.0
2016-09-17 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9902446084456394,False,0.0,0.0
2016-09-18 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.9902446084456394,False,0.0,0.0
2016-09-19 00:00:00+00:00,-0.001427009354323494,1.0,19804.89216891279,2.0,0.003,7.30093543235227e-05,0.988831520126319,True,2.0,0.0030730093543235226
2016-09-20 00:00:00+00:00,-0.003985706348890616,0.0,0.0,2.0048256716530326,0.003007238507479549,0.0001461869099269488,0.9848903280585686,True,0.0,0.003153425417406498
2016-09-21 00:00:00+00:00,-0.007546018708647129,0.0,0.0,4.009133558746231,0.006013700338119347,0.00014623509138503944,0.977458327217073,True,0.0,0.006159935429504386
2016-09-22 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.977458327217073,False,0.0,0.0
2016-09-23 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.977458327217073,False,0.0,0.0
2016-09-24 00:00:00+00:00,0.00017697193702925773,1.0,19549.16654434146,2.0,0.003,0.00021903324928567006,0.9776313099106061,True,2.0,0.0032190332492856703
2016-09-25 00:00:00+00:00,0.0003329130207672115,1.0,19549.16654434146,0.0,0.0,0.0002189647192018904,0.9779567761031851,False,2.0,0.0002189647192018904
2016-09-26 00:00:00+00:00,0.0016641233275327405,1.0,19549.16654434146,0.0,0.0,0.00021887902705475045,0.9795842167876173,False,2.0,0.00021887902705475045
2016-09-27 00:00:00+00:00,0.006704390452231257,1.0,19549.16654434146,0.0,0.0,0.00021812808658379433,0.9861517318578046,False,2.0,0.00021812808658379433
2016-09-28 00:00:00+00:00,0.003049846940690326,1.0,19549.16654434146,0.0,0.0,0.00021670944261065097,0.9891593437002674,False,2.0,0.00021670944261065097
2016-09-29 00:00:00+00:00,0.0009733204544404295,1.0,19549.16654434146,0.0,0.0,0.00021641595616735983,0.990122112722192,False,2.0,0.00021641595616735983
2016-09-30 00:00:00+00:00,0.0025084725885433645,1.0,19549.16654434146,0.0,0.0,0.00021608770847986628,0.9926058069012662,False,2.0,0.00021608770847986628
2016-10-01 00:00:00+00:00,0.008041190984775737,1.0,19852.116138025325,0.03052063483585876,4.578095225378814e-05,0.0002188117390575696,1.0005875397671566,True,2.0,0.00026459269131135773
2016-10-02 00:00:00+00:00,0.006131666039352224,1.0,19852.116138025325,0.0,0.0,0.00021650518106756627,1.006722808404146,False,2.0,0.00021650518106756627
2016-10-03 00:00:00+00:00,-0.006892336686295519,1.0,20038.987155872037,3.975478087135196,0.005963217130702794,0.0001449949182291614,0.9997841358588515,True,2.0,0.006108212048931956
2016-10-04 00:00:00+00:00,0.0005621868280236697,1.0,20038.987155872037,0.0,0.0,0.00021943915915480195,1.0003462013308986,False,2.0,0.00021943915915480195
2016-10-05 00:00:00+00:00,0.0011688421281699224,1.0,20038.987155872037,0.0,0.0,0.00021936084464050374,1.0015154481137685,False,2.0,0.00021936084464050374
2016-10-06 00:00:00+00:00,0.0007993180941037181,1.0,20038.987155872037,0.0,0.0,0.00021902269997057467,1.0023159775329702,False,2.0,0.00021902269997057467
2016-10-07 00:00:00+00:00,0.0016183797614253148,1.0,20038.987155872037,0.0,0.0,0.0002189327044922547,1.0039381054255625,False,2.0,0.0002189327044922547
2016-10-08 00:00:00+00:00,0.0013642640388153993,1.0,20038.987155872037,0.0,0.0,0.00021858247518447075,1.0053077420799912,False,2.0,0.00021858247518447075
2016-10-09 00:00:00+00:00,0.0016374833379613207,1.0,20038.987155872037,0.0,0.0,0.00021812203822773268,1.0069539167571708,False,2.0,0.00021812203822773268
2016-10-10 00:00:00+00:00,0.006128361858751763,1.0,20038.987155872037,0.0,0.0,0.00021784556365853343,1.013124894734146,False,2.0,0.00021784556365853343
2016-10-11 00:00:00+00:00,0.004166499657297429,1.0,20038.987155872037,0.0,0.0,0.00021612837859407932,1.0173460792608553,False,2.0,0.00021612837859407932
2016-10-12 00:00:00+00:00,0.007369723125233207,1.0,20038.987155872037,0.0,0.0,0.000215120113486672,1.0248436381875494,False,2.0,0.000215120113486672
2016-10-13 00:00:00+00:00,-0.0059050889722971345,0.0,0.0,1.9611501655769148,0.002941725248365372,0.00014275417294871726,1.0187918453213591,True,0.0,0.0030844794213140893
2016-10-14 00:00:00+00:00,-0.0018970280629704295,1.0,20375.836906427183,2.0,0.003,0.00021943990314717547,1.016859168600459,True,2.0,0.0032194399031471757
2016-10-15 00:00:00+00:00,0.006162662681077791,1.0,20375.836906427183,0.0,0.0,0.00021914201612527253,1.0231257286507052,False,2.0,0.00021914201612527253
