year,return
2016,0.23400900181232975
2017,1.1797699218334903
2018,-0.3698099664884942
2019,-0.4812129088318714
2020,-0.2948081794351224
2021,-0.34240485714096836
2022,-0.8363963917989233
2023,-0.6488115493880156
2024,-0.41246236229276123
2025,-0.5932072374112982
2026,-0.6493571702162233
