scenario,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,total_trading_cost,total_financing_cost,active_interval_ratio,bootstrap_p,bootstrap_bh_q,check__sharpe_1_5,check__cagr_40pct,check__max_drawdown_20pct,check__positive_years_80pct,check__worst_rolling_3y_sharpe_1,check__mean_fdr_5pct,passed
ALWAYS_1x,10000.0,22115.83385361729,1.2115833853617288,0.08266461206554232,0.03444709590467232,2.322535318002078,2.51432582619925,0.47360140749826724,-0.1745446925552998,-0.04281729583460545,1080.0,1.6964617615149586,0.6850178033415503,0.001038670856543112,0.3793745303523717,56.88280945858355,121,1.0,1.0,0.2863938054691053,-0.08030564515007577,0.7,3650.0,0.7777777777777778,9,0.12747362381809785,56.88280945858353,0.0,1.0,0.0028,0.0224,True,False,True,False,False,True,False
ALWAYS_2x,10000.0,20559.8097941683,1.0559809794168302,0.07478933644684438,0.06801516646573845,1.0941680682427757,1.263575076879148,0.18991133872826166,-0.39381185424561804,-0.14088900619398562,1940.0,1.2873705762871468,0.603396329772665,0.002931053967958451,1.0705674617968242,8134.121789815702,121,2.0,2.0,0.4766857859680316,-0.22811016542460316,0.5416666666666666,3650.0,0.6666666666666666,9,-1.937230289934488,160.51917055524456,7973.602619260457,1.0,0.076,0.304,False,False,False,False,False,False,False
ALWAYS_3x,10000.0,17865.98084572235,0.7865980845722351,0.05979032028408371,0.10107007032755598,0.6248523207884675,0.7321892250359269,0.10665659682693293,-0.5605871747539712,-0.33035062365995,3160.0,1.1550563301586456,0.571076417419885,0.005748834217142723,2.0997616978113793,16277.48773573323,121,3.0,3.0,0.6428014901580303,-0.36021265222919674,0.49166666666666664,3650.0,0.6666666666666666,9,-3.344671271273058,314.83490590182123,15962.65282983141,1.0,0.1974,0.5264,False,False,False,False,False,False,False
ALWAYS_4x,10000.0,14527.708564253982,0.45277085642539827,0.03807999386840555,0.13392577224745197,0.3457723552465194,0.4055165008170693,0.05551203112535175,-0.6859773115203998,-0.4825930752023761,3160.0,1.0828639827260629,0.5540947685565598,0.009504870663130926,3.4716540097085704,24499.660778725727,121,4.0,4.0,0.7743362340953064,-0.4767524795904534,0.475,3650.0,0.5555555555555556,9,-4.070292881965858,520.5342418663652,23979.126536859363,1.0,0.3124,0.6248,False,False,False,False,False,False,False
LAG_POSITIVE_1x,10000.0,1904.826038758219,-0.8095173961241781,-0.1528970250617192,0.0392828864545045,-4.202325665863583,-8.082139446165538,-0.17442264544443867,-0.8765893022212169,-0.44741753324287403,3145.0,0.5075559727715226,0.6998401278976819,0.6126801970633811,223.78144197739994,33553.430992176065,1613,0.6852917009038619,0.6852917009038619,0.36479553978385315,-0.43669218752391004,0.2833333333333333,3650.0,0.1111111111111111,9,-13.579835701193751,33553.430992176065,0.0,0.7109467725737241,1.0,1.0,False,False,False,False,False,False,False
LAG_POSITIVE_2x,10000.0,197.21587235873798,-0.9802784127641262,-0.3248855530126903,0.07746148418978605,-5.029108822568235,-9.256942367868005,-0.32788043183918236,-0.9908659421677198,-0.6381655790572967,3145.0,0.43476175257504135,0.684652278177458,1.2260424226273996,447.8119948646577,72803.94016516826,1613,1.3705834018077239,1.3705834018077239,0.7403230715025864,-0.6961229780090361,0.24166666666666667,3650.0,0.1111111111111111,9,-14.739291443334869,67144.21327518954,5659.726889978732,0.7109467725737241,1.0,1.0,False,False,False,False,False,False,False
LAG_POSITIVE_3x,10000.0,19.63642908798849,-0.9980363570912012,-0.4640542335581679,0.1152151391498223,-5.350050784521802,-9.543664518788258,-0.46436231448286325,-0.9993365505445064,-0.7191473986090814,3161.0,0.409258246624766,0.6726618705035972,1.8401174434102825,672.1028962056057,112075.48143349228,1613,2.055875102711586,2.055875102711586,1.1797699218334903,-0.8363963917989233,0.225,3650.0,0.1111111111111111,9,-15.138048625005093,100774.03178836411,11301.449645128181,0.7109467725737241,1.0,1.0,False,False,False,False,False,False,False
LAG_POSITIVE_4x,10000.0,1.8843562127265912,-0.9998115643787273,-0.5761021883367192,0.1525904437687881,-5.540533370062566,-9.682470984699735,-0.5761294666893023,-0.9999526523912414,-0.7650653508892419,3161.0,0.39514966719994465,0.6646682653876899,2.4549360396755855,896.6653884915077,151371.27071232378,1613,2.7411668036154477,2.7411668036154477,1.6861988227015399,-0.9120926264744219,0.225,3650.0,0.1111111111111111,9,-15.344171559975749,134444.57221283345,16926.698499490314,0.7109467725737241,1.0,1.0,False,False,False,False,False,False,False
