timestamp,funding_rate,active,notional,turnover,trading_cost,financing_cost,net_pnl,equity,rebalanced,date
2016-09-12 04:00:00+00:00,0.001351,1.0,10000.0,1.0,0.0015,0.0,-0.00014899999999995472,0.999851,True,2016-09-12 00:00:00+00:00
2016-09-12 12:00:00+00:00,-0.00016200000000000003,1.0,10000.0,0.0,0.0,0.0,-0.00016202414159716128,0.9996889999999999,False,2016-09-12 00:00:00+00:00
2016-09-12 20:00:00+00:00,-0.000634,0.0,0.0,1.0003110967510898,0.0015004666451266344,0.0,-0.0015004666451265969,0.998189,True,2016-09-12 00:00:00+00:00
2016-09-13 04:00:00+00:00,-0.000321,0.0,0.0,0.0,0.0,0.0,0.0,0.998189,False,2016-09-13 00:00:00+00:00
2016-09-13 12:00:00+00:00,9.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.998189,False,2016-09-13 00:00:00+00:00
2016-09-13 20:00:00+00:00,0.000146,1.0,9981.89,1.0,0.0015,0.0,-0.0013540000000000774,0.9968374520939999,True,2016-09-13 00:00:00+00:00
2016-09-14 04:00:00+00:00,-7.799999999999994e-05,1.0,9981.89,0.0,0.0,0.0,-7.810575519251461e-05,0.9967595933519998,False,2016-09-14 00:00:00+00:00
2016-09-14 12:00:00+00:00,-0.0005,0.0,0.0,1.0014340535647048,0.001502151080347057,0.0,-0.001502151080347125,0.9952623098519998,True,2016-09-14 00:00:00+00:00
2016-09-14 20:00:00+00:00,-0.0005560000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-14 00:00:00+00:00
2016-09-15 04:00:00+00:00,-0.00046100000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-15 00:00:00+00:00
2016-09-15 12:00:00+00:00,-0.000383,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-15 00:00:00+00:00
2016-09-15 20:00:00+00:00,-0.00027899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-15 00:00:00+00:00
2016-09-16 04:00:00+00:00,-2.899999999999995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-16 00:00:00+00:00
2016-09-16 12:00:00+00:00,-7.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-16 00:00:00+00:00
2016-09-16 20:00:00+00:00,-4.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-16 00:00:00+00:00
2016-09-17 04:00:00+00:00,-1.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-17 00:00:00+00:00
2016-09-17 12:00:00+00:00,-7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-17 00:00:00+00:00
2016-09-17 20:00:00+00:00,-6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-17 00:00:00+00:00
2016-09-18 04:00:00+00:00,-0.00014099999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-18 00:00:00+00:00
2016-09-18 12:00:00+00:00,-4e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-18 00:00:00+00:00
2016-09-18 20:00:00+00:00,-1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-18 00:00:00+00:00
2016-09-19 04:00:00+00:00,-1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-19 00:00:00+00:00
2016-09-19 12:00:00+00:00,2.999999999999997e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9952623098519998,False,2016-09-19 00:00:00+00:00
2016-09-19 20:00:00+00:00,0.000823,1.0,9952.623098519998,1.0,0.0015,0.0,-0.0006770000000000387,0.9945885172682299,True,2016-09-19 00:00:00+00:00
2016-09-20 04:00:00+00:00,0.000313,1.0,9952.623098519998,0.0,0.0,0.0,0.0003132120445541453,0.9949000343712135,False,2016-09-20 00:00:00+00:00
2016-09-20 12:00:00+00:00,-0.00073,1.0,9952.623098519998,0.0,0.0,0.0,-0.0007302658167573917,0.9941734928850215,False,2016-09-20 00:00:00+00:00
2016-09-20 20:00:00+00:00,0.000276,0.0,0.0,1.0010951981467728,0.0015016427972201591,0.0,-0.001501642797220204,0.9926805994202436,True,2016-09-20 00:00:00+00:00
2016-09-21 04:00:00+00:00,5.9e-05,1.0,9926.805994202436,1.0,0.0015,0.0,-0.0014410000000001366,0.9912501466764788,True,2016-09-21 00:00:00+00:00
2016-09-21 12:00:00+00:00,-0.0007589999999999999,1.0,9926.805994202436,0.0,0.0,0.0,-0.0007600952973234598,0.9904967021015189,False,2016-09-21 00:00:00+00:00
2016-09-21 20:00:00+00:00,-0.0006219999999999999,0.0,0.0,1.0022048506714774,0.0015033072760072162,0.0,-0.0015033072760073374,0.9890076812023885,True,2016-09-21 00:00:00+00:00
2016-09-22 04:00:00+00:00,-0.00098,0.0,0.0,0.0,0.0,0.0,0.0,0.9890076812023885,False,2016-09-22 00:00:00+00:00
2016-09-22 12:00:00+00:00,-0.0010969999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.9890076812023885,False,2016-09-22 00:00:00+00:00
2016-09-22 20:00:00+00:00,-0.000694,0.0,0.0,0.0,0.0,0.0,0.0,0.9890076812023885,False,2016-09-22 00:00:00+00:00
2016-09-23 04:00:00+00:00,-0.000528,0.0,0.0,0.0,0.0,0.0,0.0,0.9890076812023885,False,2016-09-23 00:00:00+00:00
2016-09-23 12:00:00+00:00,-0.000456,0.0,0.0,0.0,0.0,0.0,0.0,0.9890076812023885,False,2016-09-23 00:00:00+00:00
2016-09-23 20:00:00+00:00,0.000334,0.0,0.0,0.0,0.0,0.0,0.0,0.9890076812023885,False,2016-09-23 00:00:00+00:00
2016-09-24 04:00:00+00:00,0.0014919999999999998,1.0,9890.076812023884,1.0,0.0015,0.0,-8.000000000008e-06,0.9889997691409388,True,2016-09-24 00:00:00+00:00
2016-09-24 12:00:00+00:00,9e-05,1.0,9890.076812023884,0.0,0.0,0.0,9.000072000575621e-05,0.989088779832247,False,2016-09-24 00:00:00+00:00
2016-09-24 20:00:00+00:00,0.000116,1.0,9890.076812023884,0.0,0.0,0.0,0.0001159904887799712,0.9892035047232665,False,2016-09-24 00:00:00+00:00
2016-09-25 04:00:00+00:00,9.3e-05,1.0,9890.076812023884,0.0,0.0,0.0,9.29815896451025e-05,0.9892954824376182,False,2016-09-25 00:00:00+00:00
2016-09-25 12:00:00+00:00,9.2e-05,1.0,9890.076812023884,0.0,0.0,0.0,9.197323578824523e-05,0.9893864711442888,False,2016-09-25 00:00:00+00:00
2016-09-25 20:00:00+00:00,9.1e-05,1.0,9890.076812023884,0.0,0.0,0.0,9.096516034357016e-05,0.9894764708432782,False,2016-09-25 00:00:00+00:00
2016-09-26 04:00:00+00:00,9.1e-05,1.0,9890.076812023884,0.0,0.0,0.0,9.095688643578903e-05,0.9895664705422677,False,2016-09-26 00:00:00+00:00
2016-09-26 12:00:00+00:00,0.00018400000000000003,1.0,9890.076812023884,0.0,0.0,0.0,0.00018389609870417267,0.9897484479556088,False,2016-09-26 00:00:00+00:00
2016-09-26 20:00:00+00:00,0.0006670000000000001,1.0,9890.076812023884,0.0,0.0,0.0,0.000666500790907465,0.9904081160789707,False,2016-09-26 00:00:00+00:00
2016-09-27 04:00:00+00:00,0.0009649999999999999,1.0,9890.076812023884,0.0,0.0,0.0,0.0009636354921431778,0.991362508491331,False,2016-09-27 00:00:00+00:00
2016-09-27 12:00:00+00:00,0.00111,1.0,9890.076812023884,0.0,0.0,0.0,0.0011073633678211348,0.9924603070174657,False,2016-09-27 00:00:00+00:00
2016-09-27 20:00:00+00:00,0.001394,1.0,9890.076812023884,0.0,0.0,0.0,0.001389150475689327,0.9938389837250617,False,2016-09-27 00:00:00+00:00
2016-09-28 04:00:00+00:00,0.001255,1.0,9890.076812023884,0.0,0.0,0.0,0.0012488991277608275,0.9950801883649707,False,2016-09-28 00:00:00+00:00
2016-09-28 12:00:00+00:00,0.00030999999999999995,1.0,9890.076812023884,0.0,0.0,0.0,0.0003081082155564907,0.9953867807461434,False,2016-09-28 00:00:00+00:00
2016-09-28 20:00:00+00:00,8.3e-05,1.0,9890.076812023884,0.0,0.0,0.0,8.246808087819524e-05,0.9954688683836832,False,2016-09-28 00:00:00+00:00
2016-09-29 04:00:00+00:00,8.6e-05,1.0,9890.076812023884,0.0,0.0,0.0,8.544180866398854e-05,0.9955539230442666,False,2016-09-29 00:00:00+00:00
