sleeve,simple_return_sum,annualized_volatility,variance_contribution
basis_contribution,0.25080917231995464,0.016740277852626155,0.0031851646169593984
dispersion_contribution,0.41047419513970795,0.16818622741146821,0.4461474067777055
trend_contribution,0.8189302511336268,0.18788316382370532,0.5506674286053352
