funding_time,basis_contribution,dispersion_contribution,trend_contribution,gross_return,spot_turnover,perp_turnover,trading_cost,financing_cost,net_return,equity,bankrupt
2020-07-10 16:00:00+00:00,0.000154712339776221,-0.0022484960212357423,0.0,-0.0020937836814595213,0.4,0.54,0.00047000000000000004,0.0,-0.0025637836814595212,9974.362163185406,False
2020-07-11 00:00:00+00:00,-0.00010459908413336788,-0.014003102746998649,0.0,-0.014107701831132016,0.0,0.0,0.0,0.0,-0.014107701831132016,9833.646835831461,False
2020-07-11 08:00:00+00:00,9.842478468172382e-05,-0.0040461000142754736,0.0,-0.00394767522959375,0.0,0.0,0.0,0.0,-0.00394767522959375,9794.826791801077,False
2020-07-11 16:00:00+00:00,-0.00024143429513404883,-0.001056152354844566,0.0,-0.0012975866499786146,0.0,0.0,0.0,0.0,-0.0012975866499786146,9782.117155317183,False
2020-07-12 00:00:00+00:00,0.0004020298433933206,0.008018787216333997,0.0,0.008420817059727317,0.0,0.0,0.0,0.0,0.008420817059727317,9864.490574338928,False
2020-07-12 08:00:00+00:00,-6.969041116116912e-05,0.00015526512073283554,0.0,8.557470957166642e-05,0.0,0.29999999999999993,0.00014999999999999996,0.0,-6.442529042833354e-05,9863.85505166875,False
2020-07-12 16:00:00+00:00,-3.546564190900853e-05,-0.0025379851011369517,0.0,-0.0025734507430459604,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.0027234507430459604,9836.991328298986,False
2020-07-13 00:00:00+00:00,0.0002242711482463042,-0.005251772742270993,0.0,-0.005027501594024689,0.0,0.0,0.0,0.0,-0.005027501594024689,9787.535838715556,False
2020-07-13 08:00:00+00:00,-9.22698623512815e-05,0.0019712827476817346,0.0,0.0018790128853304533,0.0,0.3,0.00015,0.0,0.0017290128853304533,9804.458614296329,False
2020-07-13 16:00:00+00:00,0.0009762081056942571,-0.009130319658879484,0.0,-0.008154111553185227,0.0,0.5999999999999999,0.0002999999999999999,0.0,-0.008454111553185227,9721.57062745248,False
2020-07-14 00:00:00+00:00,-0.0007400685780765606,-0.0001524973853438685,0.0,-0.000892565963420429,0.0,0.0,0.0,0.0,-0.000892565963420429,9712.893484399427,False
2020-07-14 08:00:00+00:00,0.0004770801012485376,0.0011928651850003026,0.0,0.00166994528624884,0.0,0.29999999999999993,0.00014999999999999996,0.0,0.0015199452862488401,9727.656551066877,False
2020-07-14 16:00:00+00:00,-0.00023892032839323055,0.0003891939199114254,0.0,0.00015027359151819483,0.0,0.0,0.0,0.0,0.00015027359151819483,9729.118360953862,False
2020-07-15 00:00:00+00:00,-2.5675348847871936e-05,0.0015130243638713714,0.0,0.0014873490150234994,0.0,0.0,0.0,0.0,0.0014873490150234994,9743.588955565074,False
2020-07-15 08:00:00+00:00,8.400187602870712e-05,-0.004060364611711187,0.0,-0.00397636273568248,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.00412636273568248,9703.383373187024,False
2020-07-15 16:00:00+00:00,0.00016467190999695395,-0.0035150158429577416,0.0,-0.0033503439329607876,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.0035003439329607876,9669.418194067495,False
2020-07-16 00:00:00+00:00,0.0002430112123132307,-0.00039372260237619764,0.0,-0.00015071139006296694,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.0003007113900629669,9666.510489881257,False
2020-07-16 08:00:00+00:00,-5.340529977154496e-05,0.00042169614841908697,0.0,0.000368290848647542,0.0,0.29999999999999993,0.00014999999999999996,0.0,0.00021829084864754205,9668.620600659551,False
2020-07-16 16:00:00+00:00,-8.131869219613722e-05,-0.0014397564298640141,0.0,-0.0015210751220601513,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.0016710751220601512,9652.463609309152,False
2020-07-17 00:00:00+00:00,0.0003312246922711602,-0.009373463087045855,0.0,-0.009042238394774695,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.009192238394774694,9563.735862715495,False
2020-07-17 08:00:00+00:00,-0.0038029062870909456,-4.6081802235054e-05,0.0,-0.0038489880893259995,0.0,0.5999999999999999,0.0002999999999999999,0.0,-0.004148988089325999,9524.056036531629,False
2020-07-17 16:00:00+00:00,0.003846879315612676,0.001136459313452054,0.0,0.0049833386290647295,0.0,0.5999999999999999,0.0002999999999999999,0.0,0.0046833386290647296,9568.660416072897,False
2020-07-18 00:00:00+00:00,-0.00014454081776669181,0.0020918445034091957,0.0,0.0019473036856425038,0.0,0.29999999999999993,0.00014999999999999996,0.0,0.0017973036856425038,9585.858204705366,False
2020-07-18 08:00:00+00:00,0.00012265744699858957,0.01980878922432168,0.0,0.01993144667132027,0.0,0.29999999999999993,0.00014999999999999996,0.0,0.019781446671320268,9775.480347580582,False
2020-07-18 16:00:00+00:00,0.00040550814837966105,0.0057001605708877235,0.0,0.006105668719267384,0.0,0.0,0.0,0.0,0.006105668719267384,9835.166192154617,False
2020-07-19 00:00:00+00:00,-4.4723946336133797e-05,-0.003585863167692443,0.0,-0.003630587114028577,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.003780587114028577,9797.983489584227,False
2020-07-19 08:00:00+00:00,6.46253237361418e-05,0.0021668406517196407,0.0,0.0022314659754557823,0.0,0.29999999999999993,0.00014999999999999996,0.0,0.0020814659754557823,9818.377658845875,False
2020-07-19 16:00:00+00:00,-0.0003515089974194703,-0.002579820064543195,0.0,-0.0029313290619626653,0.0,0.0,0.0,0.0,-0.0029313290619626653,9789.596763073176,False
2020-07-20 00:00:00+00:00,0.000453874744118007,-0.0040581336616683766,0.0,-0.0036042589175503694,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.0037542589175503694,9752.844082126185,False
2020-07-20 08:00:00+00:00,-7.415678421889964e-05,-0.0029924336294770244,0.0,-0.003066590413695924,0.0,0.0,0.0,0.0,-0.003066590413695924,9722.936103957665,False
2020-07-20 16:00:00+00:00,0.00022453936791728512,-0.0030320921164665314,0.0,-0.0028075527485492465,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.0029575527485492465,9694.180007559436,False
2020-07-21 00:00:00+00:00,-0.0003533249702988954,0.006808895458743014,0.0,0.006455570488444118,0.0,0.29999999999999993,0.00014999999999999996,0.0,0.006305570488444118,9755.307342924767,False
2020-07-21 08:00:00+00:00,0.00034793420342944185,-0.002894131986352022,0.0,-0.00254619778292258,0.0,0.0,0.0,0.0,-0.00254619778292258,9730.468400996484,False
2020-07-21 16:00:00+00:00,0.00025054517540663406,-0.006140341160864115,0.0,-0.005889795985457481,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.006039795985457481,9671.698357011526,False
2020-07-22 00:00:00+00:00,-0.00025936925282104477,0.0027355117187637694,0.0,0.0024761424659427247,0.0,0.29999999999999993,0.00014999999999999996,0.0,0.0023261424659427247,9694.196105277559,False
2020-07-22 08:00:00+00:00,0.0003187383262486268,-0.00031270624800128384,0.0,6.0320782473429575e-06,0.0,0.0,0.0,0.0,6.0320782473429575e-06,9694.25458142701,False
2020-07-22 16:00:00+00:00,0.0002022958004693877,-0.004270537919398711,0.0,-0.0040682421189293235,0.0,0.0,0.0,0.0,-0.0040682421189293235,9654.816006627227,False
2020-07-23 00:00:00+00:00,1.5376369092718943e-05,0.0028416112900539734,0.0,0.002856987659146692,0.0,0.0,0.0,0.0,0.002856987659146692,9682.399696809493,False
2020-07-23 08:00:00+00:00,0.00013438175087294082,-0.002187506578920271,0.0,-0.0020531248280473303,0.0,0.0,0.0,0.0,-0.0020531248280473303,9662.520521596894,False
2020-07-23 16:00:00+00:00,9.49060627069425e-05,0.00010325786079429266,0.0,0.00019816392350123518,0.0,0.0,0.0,0.0,0.00019816392350123518,9664.435284574363,False
2020-07-24 00:00:00+00:00,0.0005924018289864066,-0.0012491748482767967,0.0,-0.0006567730192903901,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.00080677301929039,9656.63827894009,False
2020-07-24 08:00:00+00:00,-5.449228771105452e-05,-0.0016151162661681606,0.0,-0.0016696085538792152,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.0018196085538792152,9639.066977326014,False
2020-07-24 16:00:00+00:00,-0.00022703560422915206,-0.0009207299469852486,0.0,-0.0011477655512144008,0.0,0.29999999999999993,0.00014999999999999996,0.0,-0.0012977655512144007,9626.557728256992,False
2020-07-25 00:00:00+00:00,0.0003191485117484785,0.004061290460414618,0.0,0.004380438972163097,0.0,0.29999999999999993,0.00014999999999999996,0.0,0.004230438972163097,9667.282293238388,False
2020-07-25 08:00:00+00:00,8.425554332307938e-05,-0.0018754334251465479,0.0,-0.0017911778818234685,0.0,0.0,0.0,0.0,-0.0017911778818234685,9649.966471017395,False
2020-07-25 16:00:00+00:00,0.00015156208080749852,-0.0010427801919996888,0.0,-0.0008912181111921903,0.0,0.0,0.0,0.0,-0.0008912181111921903,9641.366246126026,False
