,spot,spot,spot,spot,spot,perp,perp,perp,perp,perp
,DOGEUSDT,TRXUSDT,XLMUSDT,ETCUSDT,NEOUSDT,DOGEUSDT,TRXUSDT,XLMUSDT,ETCUSDT,NEOUSDT
funding_time,,,,,,,,,,
2020-07-23 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-23 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-23 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-24 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-07-24 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-24 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-07-25 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-25 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-25 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-26 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-26 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-26 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-07-27 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-27 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-07-27 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-07-28 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-07-28 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-07-28 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-07-29 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-07-29 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-07-29 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-07-30 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-07-30 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-07-30 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-31 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.22999999999999998,-0.08,0.06999999999999999
2020-07-31 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-07-31 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-08-01 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-01 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-01 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.22999999999999998,0.06999999999999999,-0.08,-0.08
2020-08-02 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-02 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-02 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-03 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-03 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-03 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-04 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-04 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-04 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-05 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-05 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-05 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-06 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-06 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-06 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-07 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-07 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-07 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-08 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-08 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-08 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-09 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-09 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-09 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.22999999999999998,-0.08
2020-08-10 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-10 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-10 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-11 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-11 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-11 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.22999999999999998,0.06999999999999999,-0.08
2020-08-12 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-12 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.22999999999999998,0.06999999999999999,-0.08
2020-08-12 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.22999999999999998,-0.08,-0.08,0.06999999999999999,-0.08
2020-08-13 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.08,0.06999999999999999,-0.22999999999999998
2020-08-13 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-13 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.22999999999999998,-0.08,-0.08
2020-08-14 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-08-14 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.22999999999999998,-0.08,-0.08,-0.08
2020-08-14 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-15 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.08,0.06999999999999999,-0.22999999999999998
2020-08-15 08:00:00+00:00,0.08,0.08,0.08,0.08,0.08,-0.08,-0.08,-0.22999999999999998,0.06999999999999999,-0.08
2020-08-15 16:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
2020-08-16 00:00:00+00:00,0.08,0.08,0.08,0.08,0.08,0.06999999999999999,-0.08,-0.08,-0.08,-0.22999999999999998
