date,miners_return,bullion_return,weight_miners,weight_bullion,turnover,leverage,net_return
2006-05-23 13:30:00+00:00,0.01960771529554406,0.016538960967645622,1.5251901302999205,-1.5205997042536945,3.0,3.0,0.002767814031530196
2006-05-24 13:30:00+00:00,-0.037934571490892854,-0.03495028307951242,1.4747764258423994,-1.474898660680351,0.0,3.0,-0.0050473613810944834
2006-05-25 13:30:00+00:00,0.04928811553216805,0.009990624633774647,1.4631603115876355,-1.4084793859748146,0.0,3.0,0.05761847450900624
2006-05-26 13:30:00+00:00,0.0060020274995760126,0.006182404091902738,1.4723267790140322,-1.417557409153027,0.0,3.0,-0.0002611777530916139
2006-05-30 13:30:00+00:00,-0.009857447896163607,0.00015364264923056759,1.4801135237945429,-1.4394628727157308,0.0,3.0,-0.015066499246353364
2006-05-31 13:30:00+00:00,0.017815287558080817,-0.013515546692808078,1.4409362054137151,-1.358224219346427,0.0,3.0,0.04548845825343973
2006-06-01 13:30:00+00:00,-0.008236669778351469,-0.026000340905513952,1.4496500029815627,-1.423685032188884,0.20083957523985796,3.0,0.026209769442806338
2006-06-02 13:30:00+00:00,0.015572061149121463,0.01502555316615295,1.4709780261649634,-1.443853648159382,0.0,3.0,0.0008470658879252925
2006-06-05 13:30:00+00:00,-0.025555828324036578,-0.0033070721964197913,1.482535655083696,-1.4884236108948559,0.0,3.0,-0.033152451109892275
2006-06-06 13:30:00+00:00,-0.029373235635927863,-0.01169223681090592,1.4781284222832627,-1.5110314923852615,0.0,3.0,-0.02647918526222919
2006-06-07 13:30:00+00:00,-0.02350705222497884,-0.004316554133604211,1.4858158562696284,-1.5487399889829798,0.0,3.0,-0.02855931024369395
2006-06-08 13:30:00+00:00,-0.024073060369408927,-0.021997414237910684,1.4530048437666787,-1.5177606256911103,0.0,3.0,-0.002035177181645407
2006-06-09 13:30:00+00:00,-0.005670653357249589,-0.007552111075767809,1.4406056189417458,-1.5019614263914358,0.0,3.0,0.0028874925759232216
2006-06-12 13:30:00+00:00,-0.03678371879342157,-0.006947923545768897,1.449797525300295,-1.5583651876894493,0.0,3.0,-0.04289063628043197
2006-06-13 13:30:00+00:00,-0.04677295556157035,-0.0684657786761278,1.3306906749428256,-1.3977884768706499,0.0,3.0,0.03854805335246537
2006-06-14 13:30:00+00:00,0.02577634299774023,-0.0053647933992091446,1.3106465388661246,-1.334937939696228,0.0,3.0,0.041463868195109534
2006-06-15 13:30:00+00:00,0.05782607722296662,0.030564559431605964,1.3400017557078725,-1.32966363952102,0.0,3.0,0.034652440512818
2006-06-16 13:30:00+00:00,-0.010589602797425934,0.0062805410374777715,1.3568515631962308,-1.3693402364240268,0.0,3.0,-0.022876410855171024
