date,VAL,MOM,gross_equal_value_momentum
2013-07-31,0.0039995143599475,0.013898524886529,0.00894901962323825
2013-08-31,0.0057273336106953,-0.0094939509352859,-0.0018833086622953
2013-09-30,-0.0050254983975926,0.0164308453423125,0.00570267347235995
2013-10-31,0.0100517975200141,0.0023509662697867,0.0062013818949004
2013-11-30,-0.001793439212849,0.0184960575795936,0.0083513091833723
2013-12-31,-0.0059418191309483,0.0142692239620801,0.0041637024155659
2014-01-31,0.0030898476702035,0.0048282144515161,0.0039590310608598
2014-02-28,-0.0034053054029885,0.0002620778324267,-0.0015716137852809001
2014-03-31,0.0129771722085704,-0.0123646486554562,0.0003062617765570994
2014-04-30,0.0177629911334422,-0.0180073808335295,-0.00012219485004364913
2014-05-31,-0.0022094326171082,-0.0005489762108638,-0.001379204413986
2014-06-30,-0.0100803479829924,0.0031865713025352,-0.0034468883402285996
2014-07-31,-0.0063260949247717,0.0021643983421476,-0.00208084829131205
2014-08-31,-0.0093230239111039,0.0019208203334825,-0.0037011017888107
2014-09-30,-0.009155945648297,0.0096901730319693,0.00026711369183615025
2014-10-31,-0.0060599067461778,0.0025970584467305,-0.0017314241497236502
2014-11-30,-0.0108230514465567,0.0128289447761567,0.0010029466648
2014-12-31,-0.0128771857758558,0.0160387216216373,0.0015807679228907493
2015-01-31,-0.0038100170213738,0.0131668913752086,0.0046784371769174
2015-02-28,0.0078976541319833,-0.016535350739128,-0.00431884830357235
2015-03-31,-0.0171645705465443,0.0190729952629081,0.0009542123581819002
2015-04-30,0.0362661139749861,-0.0352250026708566,0.0005205556520647518
2015-05-31,-0.0126816687970957,0.0176341373649333,0.0024762342839188
2015-06-30,-0.0069017232330906,0.0018040580425016,-0.0025488325952945
2015-07-31,-0.0242848478795453,0.0299349543253161,0.0028250532228854004
2015-08-31,0.0044952405311451,-0.0007908994091254,0.0018521705610098501
2015-09-30,-0.0048465086541564,0.0130840512277213,0.00411877128678245
2015-10-31,0.0089642839418547,-0.012908303615379,-0.0019720098367621503
2015-11-30,-0.012589730344572,0.0125712823821005,-9.223981235749815e-06
2015-12-31,-0.0135072754749019,0.018894566298366,0.00269364541173205
2016-01-31,0.0045163872475176,-0.0011540456384619,0.0016811708045278502
2016-02-29,0.0108685804851926,-0.0163368080652923,-0.00273411379004985
2016-03-31,0.021250129253184,-0.0163855506442495,0.0024322893044672507
2016-04-30,0.0282642207241608,-0.0216156295165952,0.0033242956037827995
2016-05-31,-0.0216652144511577,0.0122826217641341,-0.0046912963435118
2016-06-30,0.0038360814439891,0.0408001538665053,0.0223181176552472
2016-07-31,0.0046611038490107,-0.0104850636327099,-0.0029119798918495997
2016-08-31,0.0146171822738186,-0.0257794611276156,-0.0055811394268985
2016-09-30,0.0143529310167845,0.0156739139306419,0.0150134224737132
2016-10-31,0.0178408840275332,-0.0104892944402793,0.0036757947936269493
2016-11-30,0.0048525830118037,-0.021223218174692,-0.008185317581444149
2016-12-31,0.014538930900482,-0.0236962137194034,-0.004578641409460699
2017-01-31,0.0043595290039181,0.0106500182134495,0.007504773608683801
2017-02-28,-0.0029110857177893,-0.0011546914825908,-0.00203288860019005
2017-03-31,-0.0054719319379764,-0.0103893649610959,-0.00793064844953615
2017-04-30,-0.0093848930803338,-0.0108304767592834,-0.0101076849198086
2017-05-31,-0.0108256491282006,-0.0025057933604914,-0.006665721244346
2017-06-30,0.002567632033179,-0.0006094684590159,0.00097908178708155
2017-07-31,0.0192181113193448,0.0069036113151845,0.01306086131726465
2017-08-31,-0.0015961525135196,0.0102707991835877,0.00433732333503405
2017-09-30,0.0021601237188006,0.0012003598950608,0.0016802418069307
2017-10-31,-0.0031103194910873,0.0151676507795046,0.00602866564420865
2017-11-30,-0.0010306601480978,-0.0041676081707706,-0.0025991341594341997
2017-12-31,0.0089405657622103,-0.0019226354949842,0.0035089651336130496
2018-01-31,-0.0041472430234215,0.0202941414138116,0.008073449195195051
2018-02-28,-0.0129689777065241,-0.0047339834118592,-0.00885148055919165
2018-03-31,0.0052098047600678,-0.0005120242971066,0.0023488902314805996
2018-04-30,0.0119871293708162,-0.005434833237364,0.0032761480667261
2018-05-31,-0.0184162264739505,0.015450417323091,-0.0014829045754297509
2018-06-30,-0.0029037445802866,-0.0079045510837267,-0.00540414783200665
