date,net_return
2013-07-31,0.009564705913143165
2013-08-31,-0.012099950657923934
2013-09-30,0.003072013611386566
2013-10-31,0.004069430456467467
2013-11-30,0.008369285033411264
2013-12-31,-5.92850220153306e-06
2014-01-31,-0.00041527121161373396
2014-02-28,-0.011476560903895134
2014-03-31,-0.0077208097802191344
2014-04-30,-0.008577723033420631
2014-05-31,-0.011091742161305334
2014-06-30,-0.015227110013790533
2014-07-31,-0.012495029915957434
2014-08-31,-0.015735536910954733
2014-09-30,-0.007799105949661033
2014-10-31,-0.011796181632780635
2014-11-30,-0.006327440003733333
2014-12-31,-0.0051717974875518345
2015-01-31,0.0010235410205014658
2015-02-28,-0.016971029940478034
2015-03-31,-0.006424908616969533
2015-04-30,-0.00729222202920383
2015-05-31,-0.003380864765495734
2015-06-30,-0.013430998523922334
2015-07-31,-0.002683226887562533
2015-08-31,-0.0046289922113136334
2015-09-30,-9.579075976843448e-05
2015-10-31,-0.012277353006857634
2015-11-30,-0.008351781295804833
2015-12-31,-0.0029460425098692335
2016-01-31,-0.004970991724277634
2016-02-29,-0.013801560913433035
2016-03-31,-0.0034687547243988323
2016-04-30,-0.0016847421257677347
2016-05-31,-0.017715926020356935
2016-06-30,0.036302901977161066
2016-07-31,-0.014157293117032534
2016-08-31,-0.019495612187130335
2016-09-30,0.021693511614093067
2016-10-31,-0.000981743746079435
2016-11-30,-0.024703968496221633
2016-12-31,-0.017490616152254734
2017-01-31,0.006676213884034266
2017-02-28,-0.012399110533713434
2017-03-31,-0.024194630232405635
2017-04-30,-0.028548703172950534
2017-05-31,-0.021664775822025334
2017-06-30,-0.006375169759170234
2017-07-31,0.017788389301195966
2017-08-31,0.0003413133367347657
2017-09-30,-0.004972849719471933
2017-10-31,0.003723997955083966
2017-11-30,-0.013531601652201734
2017-12-31,-0.0013154030661072344
2018-01-31,0.007813565057056767
2018-02-28,-0.026036294451716634
2018-03-31,-0.0036355528703721344
2018-04-30,-0.0017810371998811339
2018-05-31,-0.011299142484192837
2018-06-30,-0.019141628997346633
2018-07-31,-0.011024452710139633
2018-08-31,-0.009459418884210436
2018-09-30,0.002180572400082592
2018-10-31,-0.010445328150423332
2018-11-30,-0.04007586484968343
2018-12-31,-0.008254084484223535
2019-01-31,-0.015878271297590337
2019-02-28,-0.025484990480809936
2019-03-31,-0.005824814217914432
2019-04-30,-0.016801761417969834
2019-05-31,-0.006482903019375734
2019-06-30,-0.006610450763726735
2019-07-31,-0.021018600817592333
2019-08-31,-0.0006644702336643334
2019-09-30,-0.0074539544364853345
2019-10-31,-0.017846906178505234
2019-11-30,-0.023403878145894733
2019-12-31,-0.0018835714863407343
2020-01-31,-0.022408743323051334
2020-02-29,-0.021596486993724434
2020-03-31,-0.031108214308098337
2020-04-30,-0.011911104588455334
2020-05-31,-0.019482183514923132
2020-06-30,-0.016220983022865034
2020-07-31,0.0020074521626810677
2020-08-31,-0.023357411389864035
2020-09-30,-0.016390885295547736
2020-10-31,-0.018101191877920333
2020-11-30,-0.021500813775455135
2020-12-31,-0.004788816693121433
2021-01-31,-0.002181282904499033
2021-02-28,-0.00978114773525583
2021-03-31,-0.009998998823753035
2021-04-30,-0.013332765744846833
2021-05-31,0.0073085772556695655
2021-06-30,-0.036546630795184734
2021-07-31,-0.029885206941660535
2021-08-31,-0.013750018760408534
2021-09-30,0.016594654269499767
2021-10-31,-8.410366497223426e-05
2021-11-30,-0.029070471305360435
2021-12-31,0.011482908017305966
2022-01-31,0.04196340197297907
2022-02-28,-0.0008217907308074334
2022-03-31,0.007420652631100363
2022-04-30,0.02703354671365237
2022-05-31,0.031162145591833466
2022-06-30,-0.010277632139718634
2022-07-31,-0.04375539141238213
2022-08-31,0.012805780738724269
2022-09-30,-0.005353048847966734
2022-10-31,0.0011025825023023655
2022-11-30,-0.014876082682313631
2022-12-31,0.012285725925334164
2023-01-31,-0.035359824371293536
2023-02-28,0.0016169857573805672
2023-03-31,-0.022870408508017435
2023-04-30,-0.004864883126493234
2023-05-31,-0.018402583287992134
2023-06-30,-0.00013892356197874262
2023-07-31,-0.006422047897693831
2023-08-31,0.0011053067255173666
2023-09-30,0.006699740960501164
2023-10-31,-0.007523781529395033
2023-11-30,-0.009214240495975533
2023-12-31,-0.021135689992365536
2024-01-31,0.009522831586909065
2024-02-29,-0.004249947829110633
2024-03-31,0.012421807155245664
2024-04-30,-0.00019582479295093347
2024-05-31,-0.003807996819388934
2024-06-30,-0.019079009702988432
2024-07-31,-0.011613825718713236
2024-08-31,-0.014774945208119734
2024-09-30,-0.010140082464621135
2024-10-31,-0.006878305577401333
2024-11-30,-0.003626976921044835
2024-12-31,-0.008904220992168635
2025-01-31,-0.009536103036611232
2025-02-28,0.019670773209431766
2025-03-31,0.03350440729630157
2025-04-30,-0.03481921352583334
2025-05-31,-0.015810259651299535
2025-06-30,-0.016955913408618833
2025-07-31,0.0034164996574150663
2025-08-31,0.01183954799188006
2025-09-30,0.02799046034214977
2025-10-31,-0.007218863925256134
2025-11-30,0.03671286197915147
2025-12-31,0.015547256418071063
2026-01-31,0.08505187936980417
2026-02-28,0.057302362228787374
2026-03-31,0.005434283072816164
2026-04-30,0.046045972883232075
2026-05-31,-0.014415692610282332
2026-06-30,-0.015434417774417234
