date,net_return
2013-09-30,-0.030381005918380936
2013-10-31,0.004573025237753065
2013-11-30,0.013906915112739265
2013-12-31,-0.013982271513672935
2014-01-31,-0.04681927139803133
2014-02-28,-0.016729409384788934
2014-03-31,0.019479988980611866
2014-04-30,0.013426331317349865
2014-05-31,-0.0018741091382157332
2014-06-30,-0.017623621734137333
2014-07-31,0.0003726709631136668
2014-08-31,-0.0019295589083653335
2014-09-30,0.03913969179621467
2014-10-31,0.06425989974948947
2014-11-30,0.021529020115598867
2014-12-31,0.014025618485857864
2015-01-31,-0.004323609946925534
2015-02-28,-0.013139861243712534
2015-03-31,-0.0015027682609079335
2015-04-30,-0.04178849333874733
2015-05-31,-0.010330932181754933
2015-06-30,0.03201275036025647
2015-07-31,0.03802812590365947
2015-08-31,0.026628465315637662
2015-09-30,0.06982548523967806
2015-10-31,-0.011495530733648134
2015-11-30,0.019961139007662065
2015-12-31,0.016079164585577264
2016-01-31,0.11084151924208127
2016-02-29,0.027862659624975267
2016-03-31,-0.042994237997490733
2016-04-30,-0.08172454495166133
2016-05-31,0.011939186073609265
2016-06-30,0.02965825237829487
2016-07-31,-0.010109747808314334
2016-08-31,-0.017297704813254933
2016-09-30,-0.04214496338194073
2016-10-31,0.009467106718702264
2016-11-30,-0.013876319812770335
2016-12-31,0.004336962853671267
2017-01-31,-0.038634950373509135
2017-02-28,0.010185805738427665
2017-03-31,0.008108338934756865
2017-04-30,0.02815408049144847
2017-05-31,0.033270931047076666
2017-06-30,-0.021726157352272336
2017-07-31,-0.026719417476178734
2017-08-31,0.001806975536084866
2017-09-30,-0.016691135495589135
2017-10-31,0.018716962226192464
2017-11-30,0.022893317144166866
2017-12-31,-0.03371320855207073
2018-01-31,-0.012887259208425934
2018-02-28,0.023417089452268263
2018-03-31,0.0069491881217878665
2018-04-30,-0.023647553820603733
2018-05-31,0.013289133954130665
2018-06-30,0.005457674055515067
2018-07-31,0.005571791205177666
2018-08-31,0.006727069606122467
2018-09-30,-0.009970934229491534
2018-10-31,0.03821886819874087
2018-11-30,0.030233047453047265
2018-12-31,0.026222124018609464
2019-01-31,-0.04674957222467973
2019-02-28,-0.011091416111186135
2019-03-31,-0.0017315987308771335
2019-04-30,0.022591623701284664
2019-05-31,0.003672600461506867
2019-06-30,-0.001638520081833334
2019-07-31,0.018864557385808865
2019-08-31,0.013925534350073866
2019-09-30,0.008077008118855866
2019-10-31,-0.005199441695095534
2019-11-30,-0.019572915034293533
2019-12-31,-0.044336396159128134
2020-01-31,-0.019670018113904533
2020-02-29,-0.013026659276243134
2020-03-31,0.09451578823904026
2020-04-30,-0.05389292006402313
2020-05-31,-0.04040046803645453
2020-06-30,-0.035204430879106935
2020-07-31,0.0010286125830598655
2020-08-31,-0.00847929840592466
2020-09-30,0.022422173425164466
2020-10-31,0.008720624910959266
2020-11-30,-0.16883246225895432
2020-12-31,-0.026111153117005535
2021-01-31,-0.06080476829426693
2021-02-28,-0.03876806874991713
2021-03-31,0.04895271179670007
2021-04-30,0.024258596137633464
2021-05-31,0.024016942623800868
2021-06-30,-0.026771937080929335
2021-07-31,0.08564876394499386
2021-08-31,-0.006566813313513933
2021-09-30,-0.04247707386812953
2021-10-31,0.02825297577300387
2021-11-30,0.07010870255887607
2021-12-31,0.05467356855380827
2022-01-31,0.016495938198360465
2022-02-28,-0.034907422957111536
2022-03-31,-0.015000846647136735
2022-04-30,0.05901566696464387
2022-05-31,0.02871203110922667
2022-06-30,0.06585177652100786
2022-07-31,-0.04980436284664193
2022-08-31,-0.05287440101639093
2022-09-30,0.06116007169608386
2022-10-31,0.04386587903223427
2022-11-30,0.04157800129205907
2022-12-31,0.03315271078763647
2023-01-31,-0.11753803710679774
2023-02-28,0.03116360582020447
2023-03-31,0.05446930616531387
2023-04-30,0.0015624779494060668
2023-05-31,-0.05660891978487953
2023-06-30,-0.025177434338849336
2023-07-31,-0.016889108479340532
2023-08-31,0.05059132765504087
2023-09-30,0.06886159109365667
2023-10-31,0.06450603096037028
2023-11-30,-0.055397676411305934
2023-12-31,-0.08407231493101593
2024-01-31,0.009529018001284063
2024-02-29,-0.06247265466036713
2024-03-31,-0.033897283528392136
2024-04-30,0.030024305687527668
2024-05-31,-0.03841545262158273
2024-06-30,0.033266324430588266
2024-07-31,-0.03964744588471853
2024-08-31,0.012714195202517865
2024-09-30,-0.03801445854740673
2024-10-31,-0.03446764193872373
2024-11-30,-0.030588632158885937
2024-12-31,0.021414241354647666
2025-01-31,-0.015661827562745735
2025-02-28,0.020824063483141066
2025-03-31,0.03744168290613407
2025-04-30,-0.03647675696750733
2025-05-31,-0.03753009592506453
2025-06-30,-0.07026486689167333
2025-07-31,-0.029431539774977936
2025-08-31,-0.030617523183931135
2025-09-30,-0.10853155664903853
2025-10-31,-0.056682934088086334
2025-11-30,0.018779865280139266
2025-12-31,0.009773013198331664
2026-01-31,-0.03139721094591933
2026-02-28,-0.0060616669305177335
2026-03-31,0.025376250157589066
2026-04-30,-0.10491734556910853
2026-05-31,-0.12021761829209514
2026-06-30,0.015876218013590064
