date,BDRY
2018-03-22 13:30:00+00:00,25.51300048828125
2018-03-23 13:30:00+00:00,24.10099983215332
2018-03-26 13:30:00+00:00,24.84000015258789
2018-03-27 13:30:00+00:00,24.079999923706055
2018-03-28 13:30:00+00:00,23.3799991607666
2018-03-29 13:30:00+00:00,22.780000686645508
2018-04-02 13:30:00+00:00,23.0
2018-04-03 13:30:00+00:00,21.25
2018-04-04 13:30:00+00:00,19.25
2018-04-05 13:30:00+00:00,20.25
2018-04-06 13:30:00+00:00,20.450000762939453
2018-04-09 13:30:00+00:00,21.459999084472656
2018-04-10 13:30:00+00:00,21.5
2018-04-11 13:30:00+00:00,20.450000762939453
2018-04-12 13:30:00+00:00,22.25
2018-04-13 13:30:00+00:00,21.582000732421875
2018-04-16 13:30:00+00:00,20.25
2018-04-17 13:30:00+00:00,21.399999618530273
2018-04-18 13:30:00+00:00,22.270000457763672
2018-04-19 13:30:00+00:00,21.809999465942383
2018-04-20 13:30:00+00:00,22.5
2018-04-23 13:30:00+00:00,22.700000762939453
2018-04-24 13:30:00+00:00,22.790000915527344
2018-04-25 13:30:00+00:00,22.75
2018-04-26 13:30:00+00:00,22.0
2018-04-27 13:30:00+00:00,21.75
2018-04-30 13:30:00+00:00,21.5
2018-05-01 13:30:00+00:00,21.760000228881836
2018-05-02 13:30:00+00:00,22.5
2018-05-03 13:30:00+00:00,22.25
2018-05-04 13:30:00+00:00,23.0
2018-05-07 13:30:00+00:00,23.0
2018-05-08 13:30:00+00:00,23.5
2018-05-09 13:30:00+00:00,23.25
2018-05-10 13:30:00+00:00,22.75
2018-05-11 13:30:00+00:00,23.75
2018-05-14 13:30:00+00:00,23.010000228881836
2018-05-15 13:30:00+00:00,21.399999618530273
2018-05-16 13:30:00+00:00,21.0
2018-05-17 13:30:00+00:00,21.0
2018-05-18 13:30:00+00:00,21.0
2018-05-21 13:30:00+00:00,22.5
2018-05-22 13:30:00+00:00,21.0
2018-05-23 13:30:00+00:00,20.0
2018-05-24 13:30:00+00:00,19.5
2018-05-25 13:30:00+00:00,19.5
2018-05-29 13:30:00+00:00,18.73200035095215
