date,gross_fund_return,leverage,turnover,trading_cost,financing_cost,net_return
2018-03-23 13:30:00+00:00,-0.05534435891915168,1.0,0.05534435891915168,0.0010553443589191517,0.0,-0.05639970327807083
2018-03-26 13:30:00+00:00,0.030662641615750053,1.0,0.030662641615750053,3.066264161575005e-05,0.0,0.0306319789741343
2018-03-27 13:30:00+00:00,-0.030595822230808478,1.0,0.030595822230808478,3.059582223080848e-05,0.0,-0.030626418053039287
2018-03-28 13:30:00+00:00,-0.029069799217495973,1.0,0.029069799217495973,2.9069799217495975e-05,0.0,-0.02909886901671347
2018-03-29 13:30:00+00:00,-0.025662895451593393,1.0,0.025662895451593393,2.5662895451593394e-05,0.0,-0.025688558347044987
2018-04-02 13:30:00+00:00,0.009657563947461423,1.0,0.009657563947461423,9.657563947461423e-06,0.0,0.009647906383513961
2018-04-03 13:30:00+00:00,-0.07608695652173914,1.0,0.07608695652173914,7.608695652173914e-05,0.0,-0.07616304347826088
2018-04-04 13:30:00+00:00,-0.09411764705882353,1.0,0.09411764705882353,9.411764705882353e-05,0.0,-0.09421176470588236
2018-04-05 13:30:00+00:00,0.051948051948051965,1.0,0.051948051948051965,5.1948051948051964e-05,0.0,0.05189610389610391
2018-04-06 13:30:00+00:00,0.009876580885898933,1.0,0.009876580885898933,9.876580885898934e-06,0.0,0.009866704305013034
2018-04-09 13:30:00+00:00,0.049388669137048424,1.0,0.049388669137048424,4.9388669137048425e-05,0.0,0.049339280467911376
2018-04-10 13:30:00+00:00,0.0018639756399749796,1.0,0.0018639756399749796,1.8639756399749797e-06,0.0,0.0018621116643350046
2018-04-11 13:30:00+00:00,-0.04883717381676966,1.0,0.04883717381676966,4.8837173816769666e-05,0.0,-0.04888601099058643
2018-04-12 13:30:00+00:00,0.08801951931085483,1.0,0.08801951931085483,8.801951931085483e-05,0.0,0.08793149979154398
2018-04-13 13:30:00+00:00,-0.030022438992275302,1.0,0.030022438992275302,3.0022438992275303e-05,0.0,-0.030052461431267576
2018-04-16 13:30:00+00:00,-0.06171813025753714,1.0,0.06171813025753714,6.171813025753715e-05,0.0,-0.06177984838779468
2018-04-17 13:30:00+00:00,0.05679010461877887,1.0,0.05679010461877887,5.6790104618778874e-05,0.0,0.05673331451416009
2018-04-18 13:30:00+00:00,0.04065424554868047,1.0,0.04065424554868047,4.065424554868047e-05,0.0,0.04061359130313179
2018-04-19 13:30:00+00:00,-0.020655634592092076,1.0,0.020655634592092076,2.0655634592092075e-05,0.0,-0.020676290226684168
2018-04-20 13:30:00+00:00,0.03163688908544415,1.0,0.03163688908544415,3.1636889085444156e-05,0.0,0.03160525219635871
2018-04-23 13:30:00+00:00,0.008888922797309018,1.0,0.008888922797309018,8.888922797309019e-06,0.0,0.008880033874511709
2018-04-24 13:30:00+00:00,0.0039647642979301345,1.0,0.0039647642979301345,3.964764297930135e-06,0.0,0.0039607995336322045
2018-04-25 13:30:00+00:00,-0.0017551958718917682,1.0,0.0017551958718917682,1.7551958718917682e-06,0.0,-0.00175695106776366
2018-04-26 13:30:00+00:00,-0.03296703296703296,1.0,0.03296703296703296,3.2967032967032964e-05,0.0,-0.032999999999999995
2018-04-27 13:30:00+00:00,-0.011363636363636354,1.0,0.011363636363636354,1.1363636363636354e-05,0.0,-0.01137499999999999
2018-04-30 13:30:00+00:00,-0.011494252873563204,1.0,0.011494252873563204,1.1494252873563205e-05,0.0,-0.011505747126436768
2018-05-01 13:30:00+00:00,0.012093033901480643,1.0,0.012093033901480643,1.2093033901480643e-05,0.0,0.012080940867579163
2018-05-02 13:30:00+00:00,0.034007342065004664,1.0,0.034007342065004664,3.4007342065004666e-05,0.0,0.03397333472293966
2018-05-03 13:30:00+00:00,-0.011111111111111072,1.0,0.011111111111111072,1.1111111111111073e-05,0.0,-0.011122222222222183
2018-05-04 13:30:00+00:00,0.03370786516853941,1.0,0.03370786516853941,3.370786516853941e-05,0.0,0.033674157303370866
2018-05-07 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-08 13:30:00+00:00,0.021739130434782705,1.0,0.021739130434782705,2.1739130434782705e-05,0.0,0.02171739130434792
2018-05-09 13:30:00+00:00,-0.010638297872340385,1.0,0.010638297872340385,1.0638297872340385e-05,0.0,-0.010648936170212725
2018-05-10 13:30:00+00:00,-0.021505376344086002,1.0,0.021505376344086002,2.1505376344086003e-05,0.0,-0.02152688172043009
2018-05-11 13:30:00+00:00,0.04395604395604402,1.0,0.04395604395604402,4.395604395604402e-05,0.0,0.04391208791208798
2018-05-14 13:30:00+00:00,-0.03115788509971218,1.0,0.03115788509971218,3.115788509971218e-05,0.0,-0.031189042984811892
2018-05-15 13:30:00+00:00,-0.0699696042736545,1.0,0.0699696042736545,6.99696042736545e-05,0.0,-0.07003957387792815
2018-05-16 13:30:00+00:00,-0.018691571292548725,1.0,0.018691571292548725,1.8691571292548727e-05,0.0,-0.018710262863841275
2018-05-17 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-18 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-21 13:30:00+00:00,0.0714285714285714,1.0,0.0714285714285714,7.14285714285714e-05,0.0,0.07135714285714283
2018-05-22 13:30:00+00:00,-0.06666666666666665,1.0,0.06666666666666665,6.666666666666666e-05,0.0,-0.06673333333333333
2018-05-23 13:30:00+00:00,-0.04761904761904767,1.0,0.04761904761904767,4.7619047619047675e-05,0.0,-0.04766666666666672
2018-05-24 13:30:00+00:00,-0.025000000000000022,1.0,0.025000000000000022,2.500000000000002e-05,0.0,-0.025025000000000023
2018-05-25 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-05-29 13:30:00+00:00,-0.03938459738706934,1.0,0.03938459738706934,3.9384597387069345e-05,0.0,-0.03942398198445641
2018-05-30 13:30:00+00:00,0.04078581703240314,1.0,0.04078581703240314,4.078581703240314e-05,0.0,0.040745031215370736
2018-05-31 13:30:00+00:00,0.038007755990083325,1.0,0.038007755990083325,3.800775599008332e-05,0.0,0.03796974823409324
2018-06-01 13:30:00+00:00,0.03770324191782559,1.0,0.03770324191782559,3.770324191782559e-05,0.0,0.037665538675907766
2018-06-04 13:30:00+00:00,0.011714299519856697,1.0,0.011714299519856697,1.1714299519856698e-05,0.0,0.01170258522033684
2018-06-05 13:30:00+00:00,0.041607778348244695,1.0,0.041607778348244695,4.16077783482447e-05,0.0,0.04156617056989645
2018-06-06 13:30:00+00:00,-0.0058743409713757355,1.0,0.0058743409713757355,5.874340971375736e-06,0.0,-0.005880215312347111
2018-06-07 13:30:00+00:00,-0.0013636675747957794,1.0,0.0013636675747957794,1.3636675747957795e-06,0.0,-0.001365031242370575
2018-06-08 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-11 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-12 13:30:00+00:00,0.010013710859307912,1.0,0.010013710859307912,1.0013710859307913e-05,0.0,0.010003697148448603
2018-06-13 13:30:00+00:00,0.0028841448618788235,1.0,0.0028841448618788235,2.8841448618788234e-06,0.0,0.0028812607170169446
2018-06-14 13:30:00+00:00,0.01249213092259227,1.0,0.01249213092259227,1.2492130922592271e-05,0.0,0.012479638791669679
2018-06-15 13:30:00+00:00,-0.012515515407816813,1.0,0.012515515407816813,1.2515515407816813e-05,0.0,-0.01252803092322463
2018-06-18 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-19 13:30:00+00:00,-0.0426966635028968,1.0,0.0426966635028968,4.26966635028968e-05,0.0,-0.042739360166399704
2018-06-20 13:30:00+00:00,-0.0237558042053726,1.0,0.0237558042053726,2.37558042053726e-05,0.0,-0.023779560009577972
2018-06-21 13:30:00+00:00,0.02914297271750388,1.0,0.02914297271750388,2.9142972717503878e-05,0.0,0.029113829744786376
2018-06-22 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-25 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-26 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-06-27 13:30:00+00:00,-0.016822369599072684,1.0,0.016822369599072684,1.6822369599072683e-05,0.0,-0.016839191968671757
2018-06-28 13:30:00+00:00,0.025665350982955415,1.0,0.025665350982955415,2.5665350982955416e-05,0.0,0.02563968563197246
2018-06-29 13:30:00+00:00,0.021316079399795074,1.0,0.021316079399795074,2.1316079399795075e-05,0.0,0.021294763320395278
2018-07-02 13:30:00+00:00,-0.008983750151878245,1.0,0.008983750151878245,8.983750151878246e-06,0.0,-0.008992733902030123
2018-07-03 13:30:00+00:00,0.007004935074869767,1.0,0.007004935074869767,7.004935074869767e-06,0.0,0.006997930139794897
2018-07-05 13:30:00+00:00,0.011593505389267733,1.0,0.011593505389267733,1.1593505389267734e-05,0.0,0.011581911883878465
2018-07-06 13:30:00+00:00,0.018876407923323457,1.0,0.018876407923323457,1.8876407923323457e-05,0.0,0.018857531515400133
2018-07-09 13:30:00+00:00,-0.028672237156716185,1.0,0.028672237156716185,2.8672237156716187e-05,0.0,-0.0287009093938729
2018-07-10 13:30:00+00:00,0.009536742965807532,1.0,0.009536742965807532,9.536742965807532e-06,0.0,0.009527206222841724
2018-07-11 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-12 13:30:00+00:00,0.05578046768566969,1.0,0.05578046768566969,5.578046768566969e-05,0.0,0.05572468721798402
2018-07-13 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-16 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-17 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-18 13:30:00+00:00,-0.01959945027398935,1.0,0.01959945027398935,1.959945027398935e-05,0.0,-0.01961904972426334
2018-07-19 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-07-20 13:30:00+00:00,0.04737071454783104,1.0,0.04737071454783104,4.737071454783104e-05,0.0,0.04732334383328321
2018-07-23 13:30:00+00:00,0.020497903459827382,1.0,0.020497903459827382,2.0497903459827384e-05,0.0,0.020477405556367553
2018-07-24 13:30:00+00:00,-0.0021956146802096788,1.0,0.0021956146802096788,2.195614680209679e-06,0.0,-0.0021978102948898882
2018-07-25 13:30:00+00:00,0.0040749172938221445,1.0,0.0040749172938221445,4.074917293822144e-06,0.0,0.004070842376528322
2018-07-26 13:30:00+00:00,-0.005681793551799097,1.0,0.005681793551799097,5.681793551799097e-06,0.0,-0.005687475345350896
2018-07-27 13:30:00+00:00,-0.008081630784638083,1.0,0.008081630784638083,8.081630784638084e-06,0.0,-0.008089712415422721
2018-07-30 13:30:00+00:00,0.012262379027735637,1.0,0.012262379027735637,1.2262379027735637e-05,0.0,0.012250116648707902
2018-07-31 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-01 13:30:00+00:00,0.0028048879297011275,1.0,0.0028048879297011275,2.8048879297011275e-06,0.0,0.0028020830417714265
2018-08-02 13:30:00+00:00,0.007337133700968446,1.0,0.007337133700968446,7.337133700968446e-06,0.0,0.007329796567267477
2018-08-03 13:30:00+00:00,0.016539206912937532,1.0,0.016539206912937532,1.6539206912937534e-05,0.0,0.016522667706024594
2018-08-06 13:30:00+00:00,-0.01817028778003449,1.0,0.01817028778003449,1.817028778003449e-05,0.0,-0.018188458067814522
2018-08-07 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-08 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-09 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-10 13:30:00+00:00,0.001128936290541338,1.0,0.001128936290541338,1.1289362905413382e-06,0.0,0.0011278073542507967
2018-08-13 13:30:00+00:00,0.02174792256087721,1.0,0.02174792256087721,2.174792256087721e-05,0.0,0.02172617463831633
2018-08-14 13:30:00+00:00,-0.006700830534898894,1.0,0.006700830534898894,6.700830534898894e-06,0.0,-0.006707531365433793
2018-08-15 13:30:00+00:00,0.001388882791764967,1.0,0.001388882791764967,1.3888827917649672e-06,0.0,0.001387493908973202
2018-08-16 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-17 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-20 13:30:00+00:00,0.009312411227227368,1.0,0.009312411227227368,9.312411227227368e-06,0.0,0.009303098816000142
2018-08-21 13:30:00+00:00,0.004318830518927008,1.0,0.004318830518927008,4.318830518927008e-06,0.0,0.0043145116884080814
2018-08-22 13:30:00+00:00,-0.000430010930345448,1.0,0.000430010930345448,4.3001093034544805e-07,0.0,-0.00043044094127579345
2018-08-23 13:30:00+00:00,-0.0046540529572892675,1.0,0.0046540529572892675,4.654052957289267e-06,0.0,-0.004658707010246557
2018-08-24 13:30:00+00:00,-0.0005894419075583857,1.0,0.0005894419075583857,5.894419075583857e-07,0.0,-0.000590031349465944
2018-08-27 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-28 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-29 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-30 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-08-31 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-09-04 13:30:00+00:00,-0.03440141609484326,1.0,0.03440141609484326,3.4401416094843264e-05,0.0,-0.034435817510938105
2018-09-05 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-09-06 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-09-07 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-09-10 13:30:00+00:00,0.0,1.0,0.0,0.0,0.0,0.0
2018-09-11 13:30:00+00:00,-0.04641691426863781,1.0,0.04641691426863781,4.641691426863781e-05,0.0,-0.04646333118290645
2018-09-12 13:30:00+00:00,-0.02647313566241072,1.0,0.02647313566241072,2.647313566241072e-05,0.0,-0.02649960879807313
