leverage,path__initial_capital,path__final_value,path__total_return,path__cagr,path__annualized_volatility,path__sharpe_ratio,path__sortino_ratio,path__calmar_ratio,path__max_drawdown,path__average_drawdown,path__longest_drawdown_days,path__profit_factor,path__win_rate,path__turnover_per_bar,path__annualized_turnover,path__total_fees,path__rebalance_count,path__exposure_pct,path__average_exposure,path__best_year,path__worst_year,path__monthly_hit_rate,path__elapsed_days,path__positive_complete_year_ratio,path__complete_year_count,path__worst_rolling_3y_sharpe,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__sample_at_least_9_5y,check__worst_rolling_3y_sharpe_at_least_1,check__account_executable_for_10000,check__same_strategy_for_full_sample,check__unsmoothed_daily_nav,check__solvent,check__start_by_2016_12_31,check__end_by_2026_08_31,check__span_at_least_9_5y,check__weekday_coverage_at_least_94pct,ending_equity,entry_sales_load,exit_sales_load,strict_gate_passed
1.0,10000.0,15182.719922014074,0.5182719922014074,0.03532006826439593,0.10011029395694147,0.5540981071437281,0.6923761804588978,0.1966885410768118,-0.17957359422683683,-0.07375988994954444,1450.0,1.0834138033097724,0.49404761904761907,,,,,,,0.1676499350505738,-0.06493501438659377,0.5277777777777778,4394.0,0.6363636363636364,11,-0.6520116419551415,True,True,False,False,True,False,False,True,False,True,True,True,True,True,True,True,True,15182.719922014074,0.0575,0.0,False
1.5,10000.0,14260.79536885874,0.4260795368858741,0.029942916868287872,0.15016544093541223,0.3610570515085412,0.45545871320440784,0.09427407222583158,-0.31761560905696573,-0.1507619002872835,1749.0,1.0535658593781074,0.49404761904761907,,,,,,,0.23329544985228878,-0.11718858570133106,0.5277777777777778,4394.0,0.5454545454545454,11,-0.8106302396652367,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,14260.79536885874,0.0575,0.0,False
2.0,10000.0,13114.254014616114,0.31142540146161135,0.022792188655370582,0.20022058791388295,0.2645365236909483,0.333702012389575,0.05219917044097438,-0.43663890561524277,-0.228568781926749,1799.0,1.038963929114758,0.49404761904761907,,,,,,,0.3001327714052029,-0.16878053932255876,0.5208333333333334,4394.0,0.45454545454545453,11,-0.889939538520286,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,13114.254014616114,0.0575,0.0,False
3.0,10000.0,10400.568479411295,0.0400568479411294,0.0032700893337764825,0.30033088187082446,0.1680159958733555,0.21194531157474242,0.005230838013673115,-0.6251559167438666,-0.3785880436499522,2891.0,1.0245705602965256,0.49404761904761907,,,,,,,0.4365707525579381,-0.2691553682376935,0.5069444444444444,4394.0,0.36363636363636365,11,-0.9692488373753323,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,10400.568479411295,0.0575,0.0,False
5.0,10000.0,5030.308107755875,-0.49696918922441247,-0.05551484797460904,0.5005514697847074,0.09079957361928101,0.114539950922876,-0.06472700074815176,-0.8576768169842048,-0.6546258167806664,2891.0,1.013203043796353,0.49404761904761907,,,,,,,0.7139192339895535,-0.45386373836608396,0.5,4394.0,0.2727272727272727,11,-1.032696276459372,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,5030.308107755875,0.0575,0.0,False
