open_time,net_pnl,price,asset_return,position,turnover,trading_cost,cost,equity,rebalanced
2016-09-12 00:00:00+00:00,0.05077539636862477,2.3843536376953125,0.05127539636862477,1.0,1.0,0.0005,0.0005,1.0507753963686248,True
2016-09-13 00:00:00+00:00,-0.02359803869807564,2.328087568283081,-0.02359803869807564,1.0,0.0,0.0,0.0,1.0259791579021322,False
2016-09-14 00:00:00+00:00,0.0128500527460782,2.358003616333008,0.0128500527460782,1.0,0.0,0.0,0.0,1.0391630441975515,False
2016-09-15 00:00:00+00:00,0.04637881357920137,2.467365026473999,0.04637881357920137,1.0,0.0,0.0,0.0,1.0873581933027852,False
2016-09-16 00:00:00+00:00,-0.0011238898435279587,2.4645919799804688,-0.0011238898435279587,1.0,0.0,0.0,0.0,1.0861361224730552,False
2016-09-19 00:00:00+00:00,-0.01310319729196785,2.432297945022583,-0.01310319729196785,1.0,0.0,0.0,0.0,1.071904266574358,False
2016-09-20 00:00:00+00:00,0.005538730088434418,2.445769786834717,0.005538730088434418,1.0,0.0,0.0,0.0,1.0778412549875545,False
2016-09-21 00:00:00+00:00,0.02908093366718978,2.516895055770874,0.02908093366718978,1.0,0.0,0.0,0.0,1.1091858850276082,False
2016-09-22 00:00:00+00:00,0.023378688430949923,2.5757367610931396,0.023378688430949923,1.0,0.0,0.0,0.0,1.135117196245676,False
2016-09-23 00:00:00+00:00,-0.017998647280588753,2.529376983642578,-0.017998647280588753,1.0,0.0,0.0,0.0,1.1146866222083194,False
2016-09-26 00:00:00+00:00,-0.02482991760939035,2.4665727615356445,-0.02482991760939035,1.0,0.0,0.0,0.0,1.0870090452185972,False
2016-09-27 00:00:00+00:00,0.02835372018671589,2.5365092754364014,0.02835372018671589,1.0,0.0,0.0,0.0,1.1178297955271546,False
2016-09-28 00:00:00+00:00,0.00546711118668286,2.5503766536712646,0.00546711118668286,1.0,0.0,0.0,0.0,1.1239410953070885,False
2016-09-29 00:00:00+00:00,-0.021207145331121557,2.496290445327759,-0.021207145331121557,1.0,0.0,0.0,0.0,1.1001055131552913,False
2016-09-30 00:00:00+00:00,0.020555383798267046,2.547602653503418,0.020555383798267046,1.0,0.0,0.0,0.0,1.1227186041967878,False
2016-10-03 00:00:00+00:00,-0.002255035365947289,2.5418577194213867,-0.002255035365947289,1.0,0.0,0.0,0.0,1.120186834038317,False
2016-10-04 00:00:00+00:00,-0.005689912434890809,2.5273947715759277,-0.005689912434890809,1.0,0.0,0.0,0.0,1.1138130690419215,False
2016-10-05 00:00:00+00:00,0.01042576397587247,2.5537447929382324,0.01042576397587247,1.0,0.0,0.0,0.0,1.1254254212129946,False
2016-10-06 00:00:00+00:00,-0.0015514627610659915,2.5497827529907227,-0.0015514627610659915,1.0,0.0,0.0,0.0,1.1236793655816257,False
2016-10-07 00:00:00+00:00,-0.006526867294449734,2.5331406593322754,-0.006526867294449734,1.0,0.0,0.0,0.0,1.116345259480963,False
2016-10-10 00:00:00+00:00,0.01790986000439343,2.5785088539123535,0.01790986000439343,1.0,0.0,0.0,0.0,1.1363388467948354,False
2016-10-11 00:00:00+00:00,-0.04133647093633408,2.4719223976135254,-0.04133647093633408,1.0,0.0,0.0,0.0,1.0893666090804732,False
2016-10-12 00:00:00+00:00,-0.002084299045697735,2.4667701721191406,-0.002084299045697735,1.0,0.0,0.0,0.0,1.0870960432967518,False
2016-10-13 00:00:00+00:00,-0.011725545852541375,2.4378459453582764,-0.011725545852541375,1.0,0.0,0.0,0.0,1.0743492487949595,False
2016-10-14 00:00:00+00:00,0.0022753885133466323,2.4433929920196533,0.0022753885133466323,1.0,0.0,0.0,0.0,1.0767938107349901,False
2016-10-17 00:00:00+00:00,-0.0068918525578745005,2.42655348777771,-0.0068918525578745005,1.0,0.0,0.0,0.0,1.0693727065561727,False
2016-10-18 00:00:00+00:00,0.025636432896499306,2.4887616634368896,0.025636432896499306,1.0,0.0,0.0,0.0,1.096787608189148,False
2016-10-19 00:00:00+00:00,0.00039804100598317405,2.4897522926330566,0.00039804100598317405,1.0,0.0,0.0,0.0,1.0972241746320615,False
2016-10-20 00:00:00+00:00,-0.004217460143268403,2.4792518615722656,-0.004217460143268403,1.0,0.0,0.0,0.0,1.0925966754073202,False
2016-10-21 00:00:00+00:00,0.01086824398657682,2.506196975708008,0.01086824398657682,1.0,0.0,0.0,0.0,1.1044712826545697,False
2016-10-24 00:00:00+00:00,0.03644216492169905,2.5975282192230225,0.03644216492169905,1.0,0.0,0.0,0.0,1.144720607288348,False
2016-10-25 00:00:00+00:00,-0.009991350937963883,2.571575403213501,-0.009991350937963883,1.0,0.0,0.0,0.0,1.133283301975011,False
2016-10-26 00:00:00+00:00,-0.019183070153455883,2.522244691848755,-0.019183070153455883,1.0,0.0,0.0,0.0,1.1115434488894842,False
2016-10-27 00:00:00+00:00,-0.013982053794755478,2.486978530883789,-0.013982053794755478,1.0,0.0,0.0,0.0,1.0960017885919033,False
2016-10-28 00:00:00+00:00,-0.017286502803527615,2.4439873695373535,-0.017286502803527615,1.0,0.0,0.0,0.0,1.077055750600738,False
2016-10-31 00:00:00+00:00,-0.005674469550063566,2.430119037628174,-0.005674469550063566,1.0,0.0,0.0,0.0,1.0709440305402333,False
2016-11-01 00:00:00+00:00,-0.020544591999456907,2.3801932334899902,-0.020544591999456907,1.0,0.0,0.0,0.0,1.0489419223785303,False
2016-11-02 00:00:00+00:00,-0.026053128569101802,2.3181817531585693,-0.026053128569101802,1.0,0.0,0.0,0.0,1.0216137036132817,False
2016-11-03 00:00:00+00:00,-0.028800722069854068,2.2514164447784424,-0.028800722069854068,1.0,0.0,0.0,0.0,0.9921904912727614,False
2016-11-04 00:00:00+00:00,-0.011351644715070441,2.2258591651916504,-0.011351644715070441,1.0,0.0,0.0,0.0,0.9809274973261618,False
2016-11-07 00:00:00+00:00,0.07165081571948373,2.3853437900543213,0.07165081571948373,1.0,0.0,0.0,0.0,1.051211752671253,False
2016-11-08 00:00:00+00:00,0.019601379609923475,2.4320998191833496,0.019601379609923475,1.0,0.0,0.0,0.0,1.0718169532857753,False
2016-11-09 00:00:00+00:00,0.014010927984663413,2.4661757946014404,0.014010927984663413,1.0,0.0,0.0,0.0,1.0868341034310036,False
2016-11-10 00:00:00+00:00,-0.047557539034392415,2.348890542984009,-0.047557539034392415,1.0,0.0,0.0,0.0,1.0351469481331748,False
2016-11-11 00:00:00+00:00,-0.0008432838903849049,2.346909761428833,-0.0008432838903849049,1.0,0.0,0.0,0.0,1.034274025387633,False
2016-11-14 00:00:00+00:00,-0.03376703750122034,2.2676615715026855,-0.03376703750122034,1.0,0.0,0.0,0.0,0.9993496555858307,False
2016-11-15 00:00:00+00:00,0.04630468596070636,2.3726649284362793,0.04630468596070636,1.0,0.0,0.0,0.0,1.0456242275526726,False
2016-11-16 00:00:00+00:00,0.016282178744127407,2.411297082901001,0.016282178744127407,1.0,0.0,0.0,0.0,1.0626492681248754,False
2016-11-17 00:00:00+00:00,0.023170026675662925,2.4671669006347656,0.023170026675662925,1.0,0.0,0.0,0.0,1.0872708800142024,False
2016-11-18 00:00:00+00:00,-0.011242313526183878,2.4394302368164062,-0.011242313526183878,1.0,0.0,0.0,0.0,1.0750474398931928,False
2016-11-21 00:00:00+00:00,0.030049809846094178,2.5127346515655518,0.030049809846094178,1.0,0.0,0.0,0.0,1.1073524110375137,False
2016-11-22 00:00:00+00:00,0.008988181520504401,2.5353195667266846,0.008988181520504401,1.0,0.0,0.0,0.0,1.1173054955150872,False
