leverage,path__initial_capital,path__final_value,path__total_return,path__cagr,path__annualized_volatility,path__sharpe_ratio,path__sortino_ratio,path__calmar_ratio,path__max_drawdown,path__average_drawdown,path__longest_drawdown_days,path__profit_factor,path__win_rate,path__turnover_per_bar,path__annualized_turnover,path__total_fees,path__rebalance_count,path__exposure_pct,path__average_exposure,path__best_year,path__worst_year,path__monthly_hit_rate,path__elapsed_days,path__positive_complete_year_ratio,path__complete_year_count,path__worst_rolling_3y_sharpe,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__sample_at_least_15y,check__worst_rolling_3y_sharpe_at_least_1,check__account_executable_for_10000,check__same_strategy_for_full_sample,check__unsmoothed_daily_nav,check__solvent,check__start_by_2003_12_31,check__end_by_2026_08_31,check__span_at_least_15y,check__weekday_coverage_at_least_94pct,ending_equity,entry_sales_load,exit_sales_load,strict_gate_passed
1.0,10000.0,24517.598630004748,1.4517598630004747,0.03511499804633966,0.14348478126539096,0.41972642359048973,0.416249145678583,0.09237836574762319,-0.3801214468577362,-0.03180013178717166,618.0,1.1545585218201422,0.4204162840526477,,,,,,,0.1082027962771035,-0.010268746068658241,0.6923076923076923,9491.0,0.88,25,-0.24613730135191456,True,True,False,False,False,False,True,True,False,True,True,False,True,True,True,True,True,24517.598630004748,0.0,0.0,False
2.0,10000.0,14952.31474259117,0.49523147425911707,0.0156017697030022,0.28696956253078193,0.2176973652997815,0.2744999766439136,0.02406157839316635,-0.6484100688686827,-0.25218105972886906,6436.0,1.0768504577527314,0.4204162840526477,,,,,,,0.1756118177315551,-0.11349755592600308,0.592948717948718,9491.0,0.56,25,-0.7989269433191898,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,14952.31474259117,0.0,0.0,False
3.0,10000.0,6352.530546502452,-0.3647469453497548,-0.0173097721550316,0.4304543437961729,0.15035434586954538,0.18958550266635937,-0.021105525411572387,-0.8201535767283228,-0.6501475866628543,6451.0,1.0523559679586953,0.4204162840526477,,,,,,,0.24233443407577027,-0.3810254387067331,0.5641025641025641,9491.0,0.4,25,-1.0936903475821476,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,6352.530546502452,0.0,0.0,False
5.0,10000.0,320.62656118336776,-0.9679373438816632,-0.12399790776771868,0.717423906326955,0.09647993032535632,0.12165392348431567,-0.1251869062407887,-0.990502213779586,-0.9561430757040738,6451.0,1.0332346107544155,0.4204162840526477,,,,,,,0.3704601954065996,-0.8491649855257275,0.532051282051282,9491.0,0.36,25,-1.3295010709924873,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,320.62656118336776,0.0,0.0,False
7.5,10000.0,0.0,-1.0,0.0,0.7176126529463853,-0.055995734316110324,-0.011607797675288375,0.0,-1.0,-0.9869994583029386,6451.0,0.9308465873747209,0.00795837159473523,,,,,,,0.0,-1.0,0.2857142857142857,9491.0,0.0,25,-0.995284871170926,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,0.0,0.0,0.0,False
10.0,10000.0,0.0,-1.0,0.0,0.8015636512333411,0.04200563926855172,0.00966244245712958,0.0,-1.0,-0.990411930378473,6492.0,1.0571814875718308,0.007499234771962045,,,,,,,0.0,-1.0,0.3333333333333333,9491.0,0.0,25,-1.056560931704395,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,0.0,0.0,0.0,False
