date,SHY
2002-07-30 13:30:00+00:00,50.87138748168945
2002-07-31 13:30:00+00:00,51.02838897705078
2002-08-01 13:30:00+00:00,51.12883377075195
2002-08-02 13:30:00+00:00,51.22929000854492
2002-08-05 13:30:00+00:00,51.310951232910156
2002-08-06 13:30:00+00:00,51.18537521362305
2002-08-07 13:30:00+00:00,51.26070785522461
2002-08-08 13:30:00+00:00,51.18537521362305
2002-08-09 13:30:00+00:00,51.19792556762695
2002-08-12 13:30:00+00:00,51.1916389465332
2002-08-13 13:30:00+00:00,51.279579162597656
2002-08-14 13:30:00+00:00,51.1664924621582
2002-08-15 13:30:00+00:00,51.12260055541992
2002-08-16 13:30:00+00:00,51.09113311767578
2002-08-19 13:30:00+00:00,51.097408294677734
2002-08-20 13:30:00+00:00,51.216773986816406
2002-08-21 13:30:00+00:00,51.17278289794922
2002-08-22 13:30:00+00:00,51.11625671386719
2002-08-23 13:30:00+00:00,51.1790885925293
2002-08-26 13:30:00+00:00,51.17278289794922
2002-08-27 13:30:00+00:00,51.13511657714844
2002-08-28 13:30:00+00:00,51.17278289794922
2002-08-29 13:30:00+00:00,51.22929000854492
2002-08-30 13:30:00+00:00,51.248199462890625
2002-09-03 13:30:00+00:00,51.369564056396484
2002-09-04 13:30:00+00:00,51.35068893432617
2002-09-05 13:30:00+00:00,51.40724182128906
2002-09-06 13:30:00+00:00,51.30665969848633
2002-09-09 13:30:00+00:00,51.237464904785156
2002-09-10 13:30:00+00:00,51.26891326904297
2002-09-11 13:30:00+00:00,51.237464904785156
2002-09-12 13:30:00+00:00,51.27519226074219
2002-09-13 13:30:00+00:00,51.312965393066406
2002-09-16 13:30:00+00:00,51.294063568115234
2002-09-17 13:30:00+00:00,51.33182907104492
2002-09-18 13:30:00+00:00,51.32551193237305
2002-09-19 13:30:00+00:00,51.432430267333984
2002-09-20 13:30:00+00:00,51.43872833251953
2002-09-23 13:30:00+00:00,51.451297760009766
2002-09-24 13:30:00+00:00,51.47648620605469
2002-09-25 13:30:00+00:00,51.42612838745117
2002-09-26 13:30:00+00:00,51.445037841796875
2002-09-27 13:30:00+00:00,51.551979064941406
2002-09-30 13:30:00+00:00,51.62741470336914
2002-10-01 13:30:00+00:00,51.564422607421875
2002-10-02 13:30:00+00:00,51.60855484008789
2002-10-03 13:30:00+00:00,51.614837646484375
2002-10-04 13:30:00+00:00,51.570716857910156
2002-10-07 13:30:00+00:00,51.633750915527344
2002-10-08 13:30:00+00:00,51.583343505859375
2002-10-09 13:30:00+00:00,51.690425872802734
2002-10-10 13:30:00+00:00,51.64003372192383
2002-10-11 13:30:00+00:00,51.55815887451172
2002-10-14 13:30:00+00:00,51.570716857910156
2002-10-15 13:30:00+00:00,51.375457763671875
2002-10-16 13:30:00+00:00,51.39433288574219
2002-10-17 13:30:00+00:00,51.35027313232422
2002-10-18 13:30:00+00:00,51.39433288574219
2002-10-21 13:30:00+00:00,51.28099060058594
2002-10-22 13:30:00+00:00,51.2746696472168
2002-10-23 13:30:00+00:00,51.312477111816406
2002-10-24 13:30:00+00:00,51.40066909790039
2002-10-25 13:30:00+00:00,51.48884201049805
2002-10-28 14:30:00+00:00,51.55815887451172
2002-10-29 14:30:00+00:00,51.67152786254883
2002-10-30 14:30:00+00:00,51.665218353271484
2002-10-31 14:30:00+00:00,51.753395080566406
2002-11-01 14:30:00+00:00,51.698524475097656
2002-11-04 14:30:00+00:00,51.64802932739258
2002-11-05 14:30:00+00:00,51.64175796508789
2002-11-06 14:30:00+00:00,51.66063690185547
2002-11-07 14:30:00+00:00,51.68590545654297
2002-11-08 14:30:00+00:00,51.6669807434082
2002-11-11 14:30:00+00:00,51.71746063232422
2002-11-12 14:30:00+00:00,51.73005676269531
2002-11-13 14:30:00+00:00,51.73637390136719
2002-11-14 14:30:00+00:00,51.61016082763672
2002-11-15 14:30:00+00:00,51.635433197021484
2002-11-18 14:30:00+00:00,51.635433197021484
2002-11-19 14:30:00+00:00,51.622779846191406
2002-11-20 14:30:00+00:00,51.57867431640625
2002-11-21 14:30:00+00:00,51.50925827026367
2002-11-22 14:30:00+00:00,51.490333557128906
2002-11-25 14:30:00+00:00,51.52186965942383
2002-11-26 14:30:00+00:00,51.61650466918945
2002-11-27 14:30:00+00:00,51.52817916870117
2002-11-29 14:30:00+00:00,51.55344009399414
2002-12-02 14:30:00+00:00,51.57234191894531
2002-12-03 14:30:00+00:00,51.59131622314453
2002-12-04 14:30:00+00:00,51.62287139892578
2002-12-05 14:30:00+00:00,51.66714859008789
2002-12-06 14:30:00+00:00,51.71768569946289
2002-12-09 14:30:00+00:00,51.73029708862305
2002-12-10 14:30:00+00:00,51.72401428222656
2002-12-11 14:30:00+00:00,51.768272399902344
2002-12-12 14:30:00+00:00,51.78718566894531
2002-12-13 14:30:00+00:00,51.74928283691406
2002-12-16 14:30:00+00:00,51.72401428222656
2002-12-17 14:30:00+00:00,51.774566650390625
2002-12-18 14:30:00+00:00,51.85673141479492
2002-12-19 14:30:00+00:00,51.91354751586914
2002-12-20 14:30:00+00:00,51.88833236694336
2002-12-23 14:30:00+00:00,51.894588470458984
2002-12-24 14:30:00+00:00,51.95146942138672
2002-12-26 14:30:00+00:00,51.9893798828125
2002-12-27 14:30:00+00:00,52.05251693725586
2002-12-30 14:30:00+00:00,52.058895111083984
2002-12-31 14:30:00+00:00,52.09624481201172
2003-01-02 14:30:00+00:00,51.90003204345703
2003-01-03 14:30:00+00:00,51.90632247924805
2003-01-06 14:30:00+00:00,51.874732971191406
2003-01-07 14:30:00+00:00,51.91270446777344
2003-01-08 14:30:00+00:00,51.95700454711914
2003-01-09 14:30:00+00:00,51.862056732177734
2003-01-10 14:30:00+00:00,51.931663513183594
2003-01-13 14:30:00+00:00,51.91901779174805
2003-01-14 14:30:00+00:00,51.9379768371582
2003-01-15 14:30:00+00:00,51.95700454711914
2003-01-16 14:30:00+00:00,51.98860549926758
2003-01-17 14:30:00+00:00,51.976009368896484
2003-01-21 14:30:00+00:00,52.03927230834961
2003-01-22 14:30:00+00:00,52.07725143432617
2003-01-23 14:30:00+00:00,52.04559326171875
2003-01-24 14:30:00+00:00,52.03927230834961
2003-01-27 14:30:00+00:00,52.03927230834961
2003-01-28 14:30:00+00:00,52.05191421508789
2003-01-29 14:30:00+00:00,52.007633209228516
2003-01-30 14:30:00+00:00,52.070919036865234
2003-01-31 14:30:00+00:00,52.05827713012695
2003-02-03 14:30:00+00:00,52.02787399291992
2003-02-04 14:30:00+00:00,52.084877014160156
2003-02-05 14:30:00+00:00,52.06587600708008
2003-02-06 14:30:00+00:00,52.091224670410156
2003-02-07 14:30:00+00:00,52.1356086730957
2003-02-10 14:30:00+00:00,52.09757614135742
2003-02-11 14:30:00+00:00,52.11658477783203
2003-02-12 14:30:00+00:00,52.16093826293945
2003-02-13 14:30:00+00:00,52.20536422729492
2003-02-14 14:30:00+00:00,52.16093826293945
2003-02-18 14:30:00+00:00,52.14192581176758
2003-02-19 14:30:00+00:00,52.16727828979492
2003-02-20 14:30:00+00:00,52.19898223876953
2003-02-21 14:30:00+00:00,52.154598236083984
2003-02-24 14:30:00+00:00,52.17999267578125
2003-02-25 14:30:00+00:00,52.211666107177734
2003-02-26 14:30:00+00:00,52.23700714111328
2003-02-27 14:30:00+00:00,52.23700714111328
2003-02-28 14:30:00+00:00,52.26234436035156
2003-03-03 14:30:00+00:00,52.279502868652344
2003-03-04 14:30:00+00:00,52.273197174072266
2003-03-05 14:30:00+00:00,52.317604064941406
2003-03-06 14:30:00+00:00,52.33659362792969
2003-03-07 14:30:00+00:00,52.3874397277832
2003-03-10 14:30:00+00:00,52.43818283081055
2003-03-11 14:30:00+00:00,52.393760681152344
2003-03-12 14:30:00+00:00,52.35565185546875
2003-03-13 14:30:00+00:00,52.19697952270508
2003-03-14 14:30:00+00:00,52.247802734375
2003-03-17 14:30:00+00:00,52.18431091308594
2003-03-18 14:30:00+00:00,52.139862060546875
2003-03-19 14:30:00+00:00,52.12714385986328
2003-03-20 14:30:00+00:00,52.19063186645508
2003-03-21 14:30:00+00:00,52.05736541748047
2003-03-24 14:30:00+00:00,52.171630859375
2003-03-25 14:30:00+00:00,52.171630859375
2003-03-26 14:30:00+00:00,52.23506546020508
2003-03-27 14:30:00+00:00,52.247802734375
2003-03-28 14:30:00+00:00,52.317604064941406
2003-03-31 14:30:00+00:00,52.35565185546875
2003-04-01 14:30:00+00:00,52.344234466552734
2003-04-02 14:30:00+00:00,52.287010192871094
2003-04-03 14:30:00+00:00,52.31884002685547
2003-04-04 14:30:00+00:00,52.30609893798828
2003-04-07 13:30:00+00:00,52.27430725097656
2003-04-08 13:30:00+00:00,52.32511901855469
2003-04-09 13:30:00+00:00,52.356929779052734
2003-04-10 13:30:00+00:00,52.287010192871094
2003-04-11 13:30:00+00:00,52.261566162109375
2003-04-14 13:30:00+00:00,52.21711349487305
2003-04-15 13:30:00+00:00,52.255271911621094
2003-04-16 13:30:00+00:00,52.261566162109375
2003-04-17 13:30:00+00:00,52.21711349487305
2003-04-21 13:30:00+00:00,52.24888610839844
2003-04-22 13:30:00+00:00,52.242515563964844
2003-04-23 13:30:00+00:00,52.28067398071289
2003-04-24 13:30:00+00:00,52.331520080566406
2003-04-25 13:30:00+00:00,52.382354736328125
2003-04-28 13:30:00+00:00,52.36967468261719
2003-04-29 13:30:00+00:00,52.331520080566406
2003-04-30 13:30:00+00:00,52.439544677734375
2003-05-01 13:30:00+00:00,52.43955612182617
2003-05-02 13:30:00+00:00,52.3822135925293
2003-05-05 13:30:00+00:00,52.42046356201172
