date,long_duration_return,short_duration_return,weight_long,weight_short,turnover,leverage,net_return
2002-07-31 13:30:00+00:00,0.012388869726056129,0.0030862436260037374,0.5041047389052764,-0.49947262762715733,1.0,1.0,0.004145360669073814
2002-08-01 13:30:00+00:00,0.0056955263031281955,0.001968410050067426,0.5019165625278965,-0.5000564554388706,0.004632111278119078,1.0,0.001855289689938944
2002-08-02 13:30:00+00:00,0.010240337064941096,0.001964766852367239,0.5049600922125992,-0.49896756177232643,0.0,1.0,0.004151348049851315
2002-08-05 13:30:00+00:00,0.004413638240210682,0.0015940338886526462,0.5064658802736074,-0.49905059435046395,0.0,1.0,0.001427387589013988
2002-08-06 13:30:00+00:00,-0.008550051218059296,-0.0024473531725633935,0.5037045647083925,-0.4993847792096846,0.0,1.0,-0.003114908542137956
2002-08-07 13:30:00+00:00,0.0023958100714311925,0.0014717610506351786,0.5046762402264704,-0.49988688046364277,0.0,1.0,0.00046585302088098863
2002-08-08 13:30:00+00:00,0.0,-0.0014695981533131564,0.5043087602893391,-0.4987887899845923,0.0,1.0,0.000728680455442463
2002-08-09 13:30:00+00:00,0.014096928544192977,0.00024519413898071996,0.5078725310407508,-0.49545236087872846,0.0,1.0,0.00698095208916347
2002-08-12 13:30:00+00:00,0.00612692769316503,-0.0001227905432505949,0.5093712630564481,-0.4938277774882564,0.0,1.0,0.0031665827586261
2002-08-13 13:30:00+00:00,0.012295780814342017,0.0017178628751524094,0.5128604023365229,-0.4920148778067091,0.0,1.0,0.005408836617048154
2002-08-14 13:30:00+00:00,0.0038166259205807407,-0.0022052969678412193,0.5132592955969352,-0.4894436516380265,0.0,1.0,0.0030364828424045633
2002-08-15 13:30:00+00:00,-0.00875811697310347,-0.0008578252021230748,0.5108490286898347,-0.4910278166591082,0.0,1.0,-0.004081280229928784
2002-08-16 13:30:00+00:00,-0.011160411301801232,-0.0006155288933321623,0.5078929024442888,-0.49339235849849594,0.0,1.0,-0.0054049958456731054
2002-08-19 13:30:00+00:00,0.0030574433295913472,0.00012282321058521006,0.5086896900368498,-0.4927206271975727,0.0,1.0,0.0014863013522237044
2002-08-20 13:30:00+00:00,0.011134698577094593,0.002336042005306682,0.512045934763081,-0.4916556833131821,0.0,1.0,0.004507137904869037
