date,emerging_return,developed_return,weight_emerging,weight_developed,turnover,leverage,net_return
2003-04-15 13:30:00+00:00,0.01188165096987115,0.009331207002598152,1.514807481670127,-1.5109894150024465,3.0,3.0,0.0019903484905920356
2003-04-16 13:30:00+00:00,0.011545766206563668,-0.017041808705557604,1.4692595592236009,-1.4241378037558712,0.0,3.0,0.04290428813759339
2003-04-17 13:30:00+00:00,0.00715806194529689,0.014843861106250245,1.496171614240059,-1.4612902829978325,0.0,3.0,-0.010957970276787741
2003-04-21 13:30:00+00:00,-0.00038440328794275835,0.0010057611981042491,1.4991647326032729,-1.4662499011555978,0.0,3.0,-0.00238015981396396
2003-04-22 13:30:00+00:00,0.003363135026738018,0.01885028031209779,1.5395117024206586,-1.5289520381551662,0.0,3.0,-0.022932645681617753
2003-04-23 13:30:00+00:00,0.004692158756239628,0.00919674373324697,1.5579103265581695,-1.554161518613027,0.0,3.0,-0.007173064220809698
2003-04-24 13:30:00+00:00,-0.019729312209349037,-0.00889510265108151,1.5539758556523442,-1.5673701370912905,0.0,3.0,-0.017247390442728897
2003-04-25 13:30:00+00:00,-0.016529080969517218,-0.012369278569505315,1.538496250656422,-1.5583205991886153,0.0,3.0,-0.006633872355863949
2003-04-28 13:30:00+00:00,0.01651039667437626,0.01728943344871814,1.5668377843405108,-1.5882436002455225,0.0,3.0,-0.0018766143713774665
2003-04-29 13:30:00+00:00,0.02849612259057488,0.0034856295929570624,1.5513299579350137,-1.5342840000215605,0.0,3.0,0.038777455227954005
2003-04-30 13:30:00+00:00,-0.0028368470404590562,-0.0021706664407548093,1.549106782393412,-1.533108801777754,0.0,3.0,-0.0014057844708270234
2003-05-01 13:30:00+00:00,-0.0038877263357346425,-0.00010907717536945416,1.503254681579888,-1.508957123152535,0.08221558417116603,3.0,-0.006044398992950826
2003-05-02 13:30:00+00:00,0.015327684553126053,0.014254623038228997,1.5244720930487576,-1.528637751898318,0.0,3.0,0.0011964811305591383
2003-05-05 13:30:00+00:00,0.010782376689256745,-0.0019305628083315929,1.5120991285979812,-1.49716084665876,0.0,3.0,0.019053246090420414
