open_time,net_pnl,gross_exposure,turnover,financing_cost,equity
2016-09-12 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-13 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-14 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-15 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-16 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-19 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-20 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-21 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-22 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-23 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-26 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-27 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-28 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-29 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-09-30 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-03 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-04 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-05 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-06 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-07 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-10 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-11 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-12 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-13 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-14 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-17 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-18 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-19 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-20 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-21 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-24 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-25 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-26 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-27 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-28 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-10-31 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-01 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-02 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-03 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-04 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-07 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-08 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-09 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-10 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-11 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-14 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-15 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-16 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-17 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-18 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-21 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-22 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-23 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-25 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-28 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-29 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-11-30 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-12-01 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-12-02 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-12-05 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-12-06 00:00:00+00:00,0.0,0.0,0.0,0.0,1.0
2016-12-07 00:00:00+00:00,0.010798634612219015,1.0,1.0,0.0,1.010798634612219
2016-12-08 00:00:00+00:00,0.0025683189351078783,1.0,0.0,0.0,1.0133946878850748
2016-12-09 00:00:00+00:00,0.005053400718290417,1.0,0.0,0.0,1.018515777328745
2016-12-12 00:00:00+00:00,0.0014846629812314016,1.0,0.0,0.0,1.0200279299991453
2016-12-13 00:00:00+00:00,0.00520131594242676,1.0,0.0,0.0,1.0253334175331703
2016-12-14 00:00:00+00:00,-0.005820797492123635,1.0,0.0,0.0,1.0193651593478028
2016-12-15 00:00:00+00:00,0.0018921228070732186,1.0,0.0,0.0,1.0212939234145406
2016-12-16 00:00:00+00:00,0.0008455375615890003,1.0,0.0,0.0,1.0221574657882102
2016-12-19 00:00:00+00:00,0.003274208978428848,1.0,0.0,0.0,1.025504222940062
2016-12-20 00:00:00+00:00,0.005043651551506625,1.0,0.0,0.0,1.0306765089051702
2016-12-21 00:00:00+00:00,0.008329602860439905,1.0,0.0,0.0,1.0392616349019348
2016-12-22 00:00:00+00:00,0.007586913321425434,1.0,0.0,0.0,1.0471464228442187
2016-12-23 00:00:00+00:00,0.016957451575767897,1.0,0.0,0.0,1.0649033576023381
2016-12-27 00:00:00+00:00,0.004319501622719855,1.0,0.0,0.0,1.069503209383541
2016-12-28 00:00:00+00:00,0.005550587364693613,1.0,0.0,0.0,1.0754395803840446
2016-12-29 00:00:00+00:00,-0.0007627943137443495,1.0,0.0,0.0,1.074619241187352
2016-12-30 00:00:00+00:00,-0.006115608715117235,1.0,0.0,0.0,1.068047290390514
2017-01-03 00:00:00+00:00,0.026179123098643446,1.0,0.0,0.0,1.09600783188082
2017-01-04 00:00:00+00:00,0.029858694650308517,1.0,0.0,0.0,1.128733195067296
2017-01-05 00:00:00+00:00,-0.030350258911177475,1.0,0.0,0.0,1.094475850355363
2017-01-06 00:00:00+00:00,-0.023893809224789595,1.0,0.0,0.0,1.0683246531858328
2017-01-09 00:00:00+00:00,-0.003353464625049235,1.0,0.252507252701441,0.0,1.064742064253306
2017-01-10 00:00:00+00:00,0.0002883185615706702,1.0,0.0,0.0,1.0650490491537155
2017-01-11 00:00:00+00:00,-0.0057093261746023515,1.0,0.0,0.0,1.0589683367401468
2017-01-12 00:00:00+00:00,-0.0019678279516438923,1.0,0.0,0.0,1.0568844692472037
2017-01-13 00:00:00+00:00,0.0029040360659243524,1.0,0.0,0.0,1.0599536998634127
2017-01-17 00:00:00+00:00,0.003290644084624322,1.0,0.0,0.0,1.0634416302358438
2017-01-18 00:00:00+00:00,0.00031119523814773895,1.0,0.0,0.0,1.0637725682072214
2017-01-19 00:00:00+00:00,-0.0023979174183319297,1.0,0.0,0.0,1.0612217294367736
2017-01-20 00:00:00+00:00,0.002421597761396509,1.0,0.0,0.0,1.0637915816011232
2017-01-23 00:00:00+00:00,-0.0006626847839376925,1.0,0.0,0.0,1.063086623106715
2017-01-24 00:00:00+00:00,0.003363966407708614,1.0,0.0,0.0,1.0666628107953304
2017-01-25 00:00:00+00:00,0.006662966208783273,1.0,0.0,0.0,1.0737699490598256
2017-01-26 00:00:00+00:00,-0.0007075171659808888,1.0,0.0,0.0,1.0730102383885514
2017-01-27 00:00:00+00:00,-0.0007447092575834498,1.0,0.0,0.0,1.0722111577305415
2017-01-30 00:00:00+00:00,-0.004960770988193351,1.0,0.0,0.0,1.0668921637260547
2017-01-31 00:00:00+00:00,-0.0008109843864287372,1.0,0.0,0.0,1.0660269308392696
2017-02-01 00:00:00+00:00,0.000319772225825479,1.0,0.0,0.0,1.066367816643734
2017-02-02 00:00:00+00:00,0.0005286627213080063,1.0,0.0,0.0,1.066931565555596
2017-02-03 00:00:00+00:00,0.006143564774983489,1.0,0.0,0.0,1.0734863287390612
2017-02-06 00:00:00+00:00,-0.0026179676098290606,1.0,0.0,0.0,1.0706759763008282
2017-02-07 00:00:00+00:00,0.0027503607801950773,1.0,0.0,0.0,1.0736207215143432
2017-02-08 00:00:00+00:00,0.001064214065132294,1.0,0.021323935389328863,0.0,1.0747632837867962
