date,SPY
2011-05-02 13:30:00+00:00,104.10734558105469
2011-05-03 13:30:00+00:00,103.73286437988281
2011-05-04 13:30:00+00:00,103.04503631591797
2011-05-05 13:30:00+00:00,102.11260223388672
2011-05-06 13:30:00+00:00,102.56356048583984
2011-05-09 13:30:00+00:00,102.96098327636719
2011-05-10 13:30:00+00:00,103.8398666381836
2011-05-11 13:30:00+00:00,102.74695587158203
2011-05-12 13:30:00+00:00,103.23609161376953
2011-05-13 13:30:00+00:00,102.44125366210938
2011-05-16 13:30:00+00:00,101.79165649414062
2011-05-17 13:30:00+00:00,101.77635192871094
2011-05-18 13:30:00+00:00,102.68583679199219
2011-05-19 13:30:00+00:00,102.93038177490234
2011-05-20 13:30:00+00:00,102.11260223388672
2011-05-23 13:30:00+00:00,100.92800903320312
2011-05-24 13:30:00+00:00,100.8439712524414
2011-05-25 13:30:00+00:00,101.18025207519531
2011-05-26 13:30:00+00:00,101.64643096923828
2011-05-27 13:30:00+00:00,102.03623962402344
2011-05-31 13:30:00+00:00,103.09854125976562
2011-06-01 13:30:00+00:00,100.7828369140625
2011-06-02 13:30:00+00:00,100.67584228515625
2011-06-03 13:30:00+00:00,99.67462158203125
2011-06-06 13:30:00+00:00,98.6199722290039
2011-06-07 13:30:00+00:00,98.558837890625
2011-06-08 13:30:00+00:00,98.14613342285156
2011-06-09 13:30:00+00:00,98.89510345458984
2011-06-10 13:30:00+00:00,97.51943969726562
2011-06-13 13:30:00+00:00,97.59585571289062
2011-06-14 13:30:00+00:00,98.833984375
2011-06-15 13:30:00+00:00,97.0761489868164
2011-06-16 13:30:00+00:00,97.29015350341797
2011-06-17 13:30:00+00:00,97.58049011230469
2011-06-20 13:30:00+00:00,98.0797119140625
2011-06-21 13:30:00+00:00,99.42377471923828
2011-06-22 13:30:00+00:00,98.82471466064453
2011-06-23 13:30:00+00:00,98.54052734375
2011-06-24 13:30:00+00:00,97.39615631103516
2011-06-27 13:30:00+00:00,98.26407623291016
2011-06-28 13:30:00+00:00,99.54668426513672
2011-06-29 13:30:00+00:00,100.39924621582031
2011-06-30 13:30:00+00:00,101.35928344726562
2011-07-01 13:30:00+00:00,102.85700225830078
2011-07-05 13:30:00+00:00,102.77246856689453
2011-07-06 13:30:00+00:00,102.89537048339844
2011-07-07 13:30:00+00:00,103.96294403076172
2011-07-08 13:30:00+00:00,103.22566223144531
2011-07-11 13:30:00+00:00,101.35928344726562
2011-07-12 13:30:00+00:00,100.92147827148438
2011-07-13 13:30:00+00:00,101.2594223022461
2011-07-14 13:30:00+00:00,100.5605239868164
2011-07-15 13:30:00+00:00,101.14423370361328
2011-07-18 13:30:00+00:00,100.31472778320312
2011-07-19 13:30:00+00:00,101.9429702758789
