leverage,oos__initial_capital,oos__final_value,oos__total_return,oos__cagr,oos__annualized_volatility,oos__sharpe_ratio,oos__sortino_ratio,oos__calmar_ratio,oos__max_drawdown,oos__average_drawdown,oos__longest_drawdown_days,oos__profit_factor,oos__win_rate,oos__turnover_per_bar,oos__annualized_turnover,oos__total_fees,oos__rebalance_count,oos__exposure_pct,oos__average_exposure,oos__best_year,oos__worst_year,oos__monthly_hit_rate,oos__elapsed_days,oos__positive_complete_year_ratio,oos__complete_year_count,oos__worst_rolling_3y_sharpe,check__sample_at_least_5y,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,strict_oos_passed
1.0,10000.0,11298.622916799477,0.12986229167994767,0.00823291056987685,0.09152136356474234,0.17599121812724927,0.22691051017732655,0.03061627418632698,-0.26890635090907344,-0.10118151855450287,1635.0,1.0277499739264646,0.4811648410366017,,,,,,,0.09099339949234486,-0.1263157010194399,0.4972067039106145,5439.0,0.5,14,-0.799352028188802,True,True,True,False,False,False,False,False,False
2.0,10000.0,6829.703843504147,-0.3170296156495853,-0.02528097758720005,0.18417238945713676,-0.10973078379114683,-0.14179189590701224,-0.0419795797460574,-0.6022208354664238,-0.24129755566885908,1635.0,0.9830344107710618,0.47448570665241785,,,,,,,0.13665707376434533,-0.27179625308613187,0.4692737430167598,5439.0,0.5,14,-0.9552323689146154,True,True,True,False,False,False,False,False,False
3.0,10000.0,3779.94747991523,-0.622005252008477,-0.06324390786983947,0.27848889346065697,-0.20113780891276467,-0.26023227496267926,-0.07916826092544106,-0.798854327865067,-0.35808397730456276,1765.0,0.9690231358387912,0.47181405289874434,,,,,,,0.17695014756349647,-0.40030164082618036,0.45251396648044695,5439.0,0.5,14,-0.9847038871164239,True,True,True,False,False,False,False,False,False
