date,low_beta_return,high_beta_return,market_return,beta_low,beta_high,weight_low,weight_high,gross_exposure,turnover,leverage,net_return
2011-12-15 14:30:00+00:00,0.0042648832728255925,0.0,0.003614522283087007,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-16 14:30:00+00:00,0.00038652898909186106,0.007343837826187638,0.0014825965968705557,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-19 14:30:00+00:00,0.0,-0.027268137204149334,-0.01069160202730235,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-20 14:30:00+00:00,0.0,0.05377575003919022,0.030259785117515703,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-21 14:30:00+00:00,0.020841310135547353,0.005428927733033051,0.0019367582888096813,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-22 14:30:00+00:00,0.003336750401469857,0.017818603472844474,0.00885879306091919,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-23 14:30:00+00:00,0.007936664323567433,0.0047747550068450995,0.008941079044008315,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-27 14:30:00+00:00,0.006374019018387633,-0.005279874318798172,0.0007907963057738332,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-28 14:30:00+00:00,-0.00745165850020757,-0.021231060083629516,-0.013123615715204151,,,0.0,0.0,0.0,0.0,2.0,-0.0
2011-12-29 14:30:00+00:00,0.004129143787225509,0.01518370824773041,0.010334331966588062,,,0.0,0.0,0.0,0.0,2.0,0.0
2011-12-30 14:30:00+00:00,-0.0011216781879977988,0.002137010725553612,-0.004916502077306428,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-03 14:30:00+00:00,-0.00037421877491894406,0.03251614060666874,0.01593654926618937,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-04 14:30:00+00:00,-0.004118135232987985,0.002064717397831206,0.0015685943473762176,,,0.0,0.0,0.0,0.0,2.0,0.0
2012-01-05 14:30:00+00:00,0.0,0.0072129538536003235,0.002662649430385189,,,0.0,0.0,0.0,0.0,2.0,0.0
