scenario,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,average_position,max_position,total_overlay_cost,bootstrap_p,bootstrap_bh_q,check__sharpe_1_5,check__cagr_40pct,check__max_drawdown_20pct,check__positive_years_80pct,check__worst_rolling_3y_sharpe_1,check__mean_fdr_5pct,passed
VPN_1x,10000.0,28585.641759514776,1.8585641759514777,0.11082600355204542,0.2271058088131575,0.7892153859007142,0.7989255205719907,0.3795782078179015,-0.29197146008237906,-0.055751198598888045,606.0,1.1471241279623297,0.59688995215311,,,,,,,0.40464265416311385,-0.1430570801317248,0.65,3650.0,0.7777777777777778,9,0.011114424220634758,,,,0.0032,0.0056,False,False,False,False,False,True,False
VPN_2x,10000.0,37602.914462000146,2.7602914462000148,0.14172510158304075,0.454211617626315,0.6615740217736338,0.6766930386003782,0.27927149353083963,-0.507481446785725,-0.15241898168998644,667.0,1.1221391733461894,0.5849282296650717,,,,,,,0.8675787900041116,-0.35280690541553617,0.625,3650.0,0.4444444444444444,9,-0.09182453437545225,,,,0.0134,0.015633333333333336,False,False,False,False,False,True,False
VPN_3x,10000.0,32388.64272558533,2.238864272558533,0.12479721742016148,0.6813174264394726,0.6190269003979408,0.6341080137646544,0.18804367129784597,-0.6636608217592858,-0.2665809941272858,667.0,1.1139113636424642,0.5825358851674641,,,,,,,1.4454252888501902,-0.5657693153618906,0.6083333333333333,3650.0,0.4444444444444444,9,-0.12613752057414815,,,,0.0176,0.0176,False,False,False,False,False,True,False
BLEND_1x,10000.0,85775.29630324802,7.577529630324802,0.23993851882412898,0.24484550301506464,1.402424973601287,1.6227635061520804,0.8471644797770956,-0.2832254238129308,-0.07557783319461728,355.0,1.2497971926738398,0.5653907496012759,,,,,,,0.6440118240446286,-0.21410182765639052,0.6333333333333333,3650.0,0.7777777777777778,9,0.578401540380069,,,,0.0002,0.0014,False,False,False,False,False,True,False
BLEND_2x,10000.0,325466.68013465544,31.546668013465542,0.4169491001467456,0.489685814694065,1.2869247863107407,1.4911332717581383,0.8336711423435396,-0.5001361795667494,-0.16642114689077728,411.0,1.227246595245887,0.5618022328548644,,,,,,,1.5333570726019703,-0.4180769496468175,0.6166666666666667,3650.0,0.7777777777777778,9,0.4878033418510359,,,,0.0006,0.0014,False,True,False,False,False,True,False
BLEND_3x,10000.0,784141.9285539432,77.41419285539432,0.5472811001204336,0.734526275010082,1.2484239270463657,1.447605882111143,0.8288010694609903,-0.6603286606234198,-0.26475085972564527,499.0,1.2198116816755888,0.5598086124401914,,,,,,,2.80856770343014,-0.6032803285766271,0.6,3650.0,0.7777777777777778,9,0.4576039423413578,,,,0.0006,0.0014,False,True,False,False,False,True,False
BLEND_RISK_OVERLAY,10000.0,53035.52114418363,4.303552114418363,0.1816974869458876,0.2475224831197038,1.1118418884336168,1.0893967861165899,0.47653036092020673,-0.38129257198852895,-0.17823763541916102,886.0,1.240203981945634,0.5633971291866029,,,,,,,1.3133073398920572,-0.3303596317834645,0.6166666666666667,3650.0,0.5555555555555556,9,-0.15849681269304125,0.8904549757837069,3.0,1154.2367283551714,0.0072,0.01008,False,False,False,False,False,True,False
