open_time,level
2005-12-30 00:00:00+00:00,100.0
2006-01-03 00:00:00+00:00,100.0
2006-01-04 00:00:00+00:00,99.81
2006-01-05 00:00:00+00:00,99.94
2006-01-06 00:00:00+00:00,99.59
2006-01-09 00:00:00+00:00,99.5
2006-01-10 00:00:00+00:00,99.67
2006-01-11 00:00:00+00:00,99.47
2006-01-12 00:00:00+00:00,99.89
2006-01-13 00:00:00+00:00,99.98
2006-01-17 00:00:00+00:00,100.0
2006-01-18 00:00:00+00:00,99.98
2006-01-19 00:00:00+00:00,99.9
2006-01-20 00:00:00+00:00,100.64
2006-01-23 00:00:00+00:00,100.72
2006-01-24 00:00:00+00:00,100.74
2006-01-25 00:00:00+00:00,100.76
2006-01-26 00:00:00+00:00,100.77
2006-01-27 00:00:00+00:00,100.77
2006-01-30 00:00:00+00:00,100.82
2006-01-31 00:00:00+00:00,100.83
2006-02-01 00:00:00+00:00,100.84
2006-02-02 00:00:00+00:00,100.85
2006-02-03 00:00:00+00:00,100.92
2006-02-06 00:00:00+00:00,101.07
2006-02-07 00:00:00+00:00,100.96
2006-02-08 00:00:00+00:00,101.13
2006-02-09 00:00:00+00:00,101.13
2006-02-10 00:00:00+00:00,101.12
2006-02-13 00:00:00+00:00,101.0
2006-02-14 00:00:00+00:00,101.06
2006-02-15 00:00:00+00:00,101.15
2006-02-16 00:00:00+00:00,101.05
2006-02-17 00:00:00+00:00,101.46
2006-02-21 00:00:00+00:00,101.52
2006-02-22 00:00:00+00:00,101.53
2006-02-23 00:00:00+00:00,101.54
2006-02-24 00:00:00+00:00,101.56
2006-02-27 00:00:00+00:00,101.59
2006-02-28 00:00:00+00:00,101.6
2006-03-01 00:00:00+00:00,101.76
2006-03-02 00:00:00+00:00,101.7
2006-03-03 00:00:00+00:00,101.71
2006-03-06 00:00:00+00:00,101.7
2006-03-07 00:00:00+00:00,101.86
2006-03-08 00:00:00+00:00,101.9
2006-03-09 00:00:00+00:00,101.8
2006-03-10 00:00:00+00:00,101.9
2006-03-13 00:00:00+00:00,101.81
2006-03-14 00:00:00+00:00,101.81
2006-03-15 00:00:00+00:00,101.72
2006-03-16 00:00:00+00:00,101.83
2006-03-17 00:00:00+00:00,101.78
2006-03-20 00:00:00+00:00,102.27
2006-03-21 00:00:00+00:00,102.33
2006-03-22 00:00:00+00:00,102.33
2006-03-23 00:00:00+00:00,102.36
2006-03-24 00:00:00+00:00,102.37
2006-03-27 00:00:00+00:00,102.41
2006-03-28 00:00:00+00:00,102.42
2006-03-29 00:00:00+00:00,102.43
2006-03-30 00:00:00+00:00,102.44
2006-03-31 00:00:00+00:00,102.46
2006-04-03 00:00:00+00:00,102.57
2006-04-04 00:00:00+00:00,102.67
2006-04-05 00:00:00+00:00,102.7
2006-04-06 00:00:00+00:00,102.72
2006-04-07 00:00:00+00:00,102.77
2006-04-10 00:00:00+00:00,102.72
2006-04-11 00:00:00+00:00,102.12
2006-04-12 00:00:00+00:00,102.76
2006-04-13 00:00:00+00:00,102.99
2006-04-17 00:00:00+00:00,102.76
2006-04-18 00:00:00+00:00,102.9
2006-04-19 00:00:00+00:00,103.02
2006-04-20 00:00:00+00:00,103.1
2006-04-21 00:00:00+00:00,103.22
2006-04-24 00:00:00+00:00,103.26
2006-04-25 00:00:00+00:00,103.27
2006-04-26 00:00:00+00:00,103.28
2006-04-27 00:00:00+00:00,103.3
2006-04-28 00:00:00+00:00,103.31
2006-05-01 00:00:00+00:00,103.36
2006-05-02 00:00:00+00:00,103.34
2006-05-03 00:00:00+00:00,103.44
2006-05-04 00:00:00+00:00,103.52
2006-05-05 00:00:00+00:00,103.5
2006-05-08 00:00:00+00:00,103.55
2006-05-09 00:00:00+00:00,103.58
2006-05-10 00:00:00+00:00,103.65
2006-05-11 00:00:00+00:00,103.62
2006-05-12 00:00:00+00:00,103.47
2006-05-15 00:00:00+00:00,103.55
2006-05-16 00:00:00+00:00,103.59
2006-05-17 00:00:00+00:00,103.09
2006-05-18 00:00:00+00:00,103.7
2006-05-19 00:00:00+00:00,103.5
2006-05-22 00:00:00+00:00,103.61
2006-05-23 00:00:00+00:00,103.63
2006-05-24 00:00:00+00:00,103.76
2006-05-25 00:00:00+00:00,104.04
2006-05-26 00:00:00+00:00,104.11
2006-05-30 00:00:00+00:00,104.17
2006-05-31 00:00:00+00:00,104.19
2006-06-01 00:00:00+00:00,104.28
2006-06-02 00:00:00+00:00,104.23
2006-06-05 00:00:00+00:00,104.28
2006-06-06 00:00:00+00:00,104.39
2006-06-07 00:00:00+00:00,104.56
2006-06-08 00:00:00+00:00,104.52
2006-06-09 00:00:00+00:00,104.6
2006-06-12 00:00:00+00:00,104.67
2006-06-13 00:00:00+00:00,104.28
2006-06-14 00:00:00+00:00,104.41
2006-06-15 00:00:00+00:00,104.43
2006-06-16 00:00:00+00:00,104.98
2006-06-19 00:00:00+00:00,105.04
2006-06-20 00:00:00+00:00,105.06
2006-06-21 00:00:00+00:00,105.09
2006-06-22 00:00:00+00:00,105.1
2006-06-23 00:00:00+00:00,105.12
2006-06-26 00:00:00+00:00,105.16
2006-06-27 00:00:00+00:00,105.17
2006-06-28 00:00:00+00:00,105.18
2006-06-29 00:00:00+00:00,105.2
2006-06-30 00:00:00+00:00,105.21
2006-07-03 00:00:00+00:00,105.44
2006-07-05 00:00:00+00:00,105.36
2006-07-06 00:00:00+00:00,105.44
2006-07-07 00:00:00+00:00,105.43
2006-07-10 00:00:00+00:00,105.51
2006-07-11 00:00:00+00:00,105.64
2006-07-12 00:00:00+00:00,105.55
2006-07-13 00:00:00+00:00,105.16
2006-07-14 00:00:00+00:00,105.14
2006-07-17 00:00:00+00:00,105.18
2006-07-18 00:00:00+00:00,105.23
2006-07-19 00:00:00+00:00,105.76
2006-07-20 00:00:00+00:00,105.65
2006-07-21 00:00:00+00:00,106.05
2006-07-24 00:00:00+00:00,106.19
2006-07-25 00:00:00+00:00,106.21
2006-07-26 00:00:00+00:00,106.23
2006-07-27 00:00:00+00:00,106.24
2006-07-28 00:00:00+00:00,106.26
2006-07-31 00:00:00+00:00,106.3
2006-08-01 00:00:00+00:00,106.43
2006-08-02 00:00:00+00:00,106.44
2006-08-03 00:00:00+00:00,106.43
2006-08-04 00:00:00+00:00,106.5
2006-08-07 00:00:00+00:00,106.54
2006-08-08 00:00:00+00:00,106.64
2006-08-09 00:00:00+00:00,106.77
2006-08-10 00:00:00+00:00,106.87
2006-08-11 00:00:00+00:00,106.94
2006-08-14 00:00:00+00:00,106.83
2006-08-15 00:00:00+00:00,106.93
2006-08-16 00:00:00+00:00,106.86
2006-08-17 00:00:00+00:00,106.68
2006-08-18 00:00:00+00:00,106.1
2006-08-21 00:00:00+00:00,107.18
2006-08-22 00:00:00+00:00,107.21
2006-08-23 00:00:00+00:00,107.26
2006-08-24 00:00:00+00:00,107.28
2006-08-25 00:00:00+00:00,107.3
2006-08-28 00:00:00+00:00,107.34
2006-08-29 00:00:00+00:00,107.36
2006-08-30 00:00:00+00:00,107.37
2006-08-31 00:00:00+00:00,107.39
2006-09-01 00:00:00+00:00,107.4
2006-09-05 00:00:00+00:00,107.32
2006-09-06 00:00:00+00:00,107.23
2006-09-07 00:00:00+00:00,107.27
2006-09-08 00:00:00+00:00,107.41
2006-09-11 00:00:00+00:00,107.42
2006-09-12 00:00:00+00:00,107.75
2006-09-13 00:00:00+00:00,107.64
2006-09-14 00:00:00+00:00,94.42
2006-09-15 00:00:00+00:00,107.98
2006-09-18 00:00:00+00:00,108.05
2006-09-19 00:00:00+00:00,108.07
2006-09-20 00:00:00+00:00,108.09
2006-09-21 00:00:00+00:00,108.11
2006-09-22 00:00:00+00:00,108.12
2006-09-25 00:00:00+00:00,108.17
2006-09-26 00:00:00+00:00,108.18
2006-09-27 00:00:00+00:00,108.2
2006-09-28 00:00:00+00:00,108.21
2006-09-29 00:00:00+00:00,108.23
2006-10-02 00:00:00+00:00,108.26
2006-10-03 00:00:00+00:00,108.2
2006-10-04 00:00:00+00:00,108.38
2006-10-05 00:00:00+00:00,108.3
2006-10-06 00:00:00+00:00,108.42
2006-10-09 00:00:00+00:00,108.46
2006-10-10 00:00:00+00:00,108.53
2006-10-11 00:00:00+00:00,108.56
2006-10-12 00:00:00+00:00,108.5
2006-10-13 00:00:00+00:00,108.54
2006-10-16 00:00:00+00:00,108.47
2006-10-17 00:00:00+00:00,108.5
2006-10-18 00:00:00+00:00,108.65
2006-10-19 00:00:00+00:00,108.61
2006-10-20 00:00:00+00:00,108.91
2006-10-23 00:00:00+00:00,108.88
2006-10-24 00:00:00+00:00,108.94
2006-10-25 00:00:00+00:00,108.89
2006-10-26 00:00:00+00:00,108.74
