symbol,long_days,short_days
XLB,2261,2230
XLE,2794,2772
XLF,2325,2104
XLI,1788,1923
XLK,2211,2578
XLP,2478,2243
XLU,2608,2686
XLV,2298,2211
XLY,2132,2148
