alpha_name,fold,observations,pair_observations,fold_ic,fold_sharpe,fold_pnl_sum,fold_max_drawdown
A01_ts_momentum_12,1,252,1512,-0.00512236629023664,-1.5306889503562089,-0.1800742559483671,-0.25236615928564576
A01_ts_momentum_12,2,253,1518,0.029098598033924603,0.32851092461842707,0.03802680874559293,-0.09311298035191262
A01_ts_momentum_12,3,252,1512,0.009780064502880133,-1.0807920278389012,-0.09931768359034016,-0.16016317432152716
A01_ts_momentum_12,4,253,1518,-0.008497329191018256,-1.2309544401988934,-0.09948491572340795,-0.12792665094202182
A01_ts_momentum_12,5,252,1512,-0.04936501482572764,-3.059215574806062,-0.2858773565145834,-0.2401250298558697
A01_ts_momentum_12,6,251,1506,-0.0156936134719518,-2.220769737838923,-0.21277875819566855,-0.20323492503694995
A01_ts_momentum_120,1,252,1512,-0.02956255832905147,-1.1591248407808943,-0.12041172983735157,-0.1772581610456232
A01_ts_momentum_120,2,253,1518,0.02098412299412053,-0.056245933846599504,-0.005668159910847431,-0.10122096941149883
A01_ts_momentum_120,3,252,1512,0.003847458938290269,0.20785590097127743,0.01966162640702466,-0.12581034218485598
A01_ts_momentum_120,4,253,1518,-0.030239042927184816,-0.6718037267825223,-0.05388279488659334,-0.13646658352945473
A01_ts_momentum_120,5,252,1512,-0.043911505499229314,-1.7102298604668615,-0.1331071277781404,-0.13655875406331963
A01_ts_momentum_120,6,251,1506,-0.004413993348560751,-1.0374688368724723,-0.11422519869495201,-0.2144081183530966
A01_ts_momentum_24,1,252,1512,-0.015324223075235646,-1.7338914612397949,-0.1853818614947257,-0.2539796150393495
A01_ts_momentum_24,2,253,1518,0.02526366461620014,0.12187877211832021,0.015041667519555602,-0.13632524865815587
A01_ts_momentum_24,3,252,1512,-0.012289850213973929,-1.111863864051131,-0.10259940484450933,-0.18706817280661958
A01_ts_momentum_24,4,253,1518,0.01116556098690319,0.058658181674363895,0.004886293635268976,-0.08009508324539705
A01_ts_momentum_24,5,252,1512,-0.037392867110587445,-1.688484464895552,-0.1537901004218162,-0.15816284566816152
A01_ts_momentum_24,6,251,1506,-0.02535593082031961,-1.8720491083862012,-0.19332620472899392,-0.20021451866271867
A01_ts_momentum_48,1,252,1512,-0.017872707056065116,-1.9406862459449845,-0.16905262702294455,-0.22673597061779338
A01_ts_momentum_48,2,253,1518,0.002255067573498138,-0.5516571828294912,-0.0689775959074305,-0.1449397955099493
A01_ts_momentum_48,3,252,1512,0.016129417132721816,-0.3175224811417959,-0.029981269969020098,-0.12588569762464508
A01_ts_momentum_48,4,253,1518,0.017473905717053383,-0.36962340459586973,-0.03179304913306775,-0.11776217076066986
A01_ts_momentum_48,5,252,1512,-0.03900957443647242,-3.0169596062014876,-0.22938143479653883,-0.18925497918474432
A01_ts_momentum_48,6,251,1506,-0.013522807646658806,-1.1353840846949588,-0.12034057619430463,-0.16976665596815743
A01_ts_momentum_72,1,252,1512,-0.009793851452222046,-1.052099469708401,-0.10170947504495653,-0.1879862922929464
A01_ts_momentum_72,2,253,1518,-0.0026242515833805095,-0.6387798886955232,-0.0709030299838273,-0.13652175326306182
A01_ts_momentum_72,3,252,1512,0.014642207452305055,-0.3378211803829294,-0.031201845231583463,-0.11263168159197279
A01_ts_momentum_72,4,253,1518,-0.04429321473213562,-1.779343053937204,-0.15384309935961787,-0.16852515404399282
