scenario,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days
long_only_ensemble,10000.0,12225.958386270848,0.22259583862708476,0.020309375406342367,0.08068737123937138,0.4021618017150837,0.45115502629805593,0.1384694990345608,-0.14667038985439906,-0.02039654037583136,803.0,1.1196410885932022,0.4946604015378044,0.049583606291135354,18.11041219783719,1745.1446070227998,1742.0,0.11629433144947116,0.11629433144947116,0.06414195155462821,-0.03863655212408501,0.725,3651.0
market_neutral_A25_sign_tsmom_168_gross1.0,10000.0,12741.561977819629,0.2741561977819629,0.024534506606771034,0.12260985207873931,0.3485143580968156,0.37869067324687933,0.0974468551799826,-0.25177320049432317,-0.12691475968135094,1468.0,1.0645984664498072,0.5392217418159357,0.09351441451680115,34.15613990226162,3291.333333333333,309.0,0.32199681782020684,0.32199681782020684,0.18128990581636528,-0.07599435795278853,0.43333333333333335,3651.0
market_neutral_A25_sign_tsmom_168_gross2.0,10000.0,14630.143419217187,0.46301434192171875,0.03879929814625216,0.24521970415747862,0.3485143580968156,0.37869067324687933,0.08644454162085174,-0.44883456397313093,-0.24685939160611703,1468.0,1.0645984664498072,0.5392217418159357,0.1870288290336023,68.31227980452324,6582.666666666666,309.0,0.6439936356404137,0.6439936356404137,0.34690796380659816,-0.14777212471045909,0.425,3651.0
buy_and_hold,10000.0,65003.10832562643,5.5003108325626435,0.20594308487602464,0.2585963370953795,1.1815527482712134,1.4902594354492442,0.6306983001194438,-0.3265318534028432,-0.059986214655030894,368.0,1.2044996148833582,0.5576770087509945,,,,,,,0.4699703872579779,-0.22855757490497697,0.7,3651.0
