alpha_name,fold,observations,pair_observations,fold_ic,fold_sharpe,fold_pnl_sum,fold_max_drawdown
A01_ts_momentum_12,1,1468,5872,0.023635396622051767,-7.7187769881982815,-0.9533285156214065,-0.6257174092573328
A01_ts_momentum_12,2,1468,5872,0.04815054333305436,-5.498551566699494,-0.9099666707324288,-0.6299987946213771
A01_ts_momentum_12,3,1468,5872,0.04745818112274957,-5.946609722098478,-0.7795822251403579,-0.5662292840866978
A01_ts_momentum_12,4,1468,5872,-0.007403898479085418,-9.857648169830004,-1.3818262565166504,-0.7534486524837736
A01_ts_momentum_12,5,1468,5872,-0.007246055638112757,-14.648506436490177,-1.3755606387665755,-0.7502848405034996
A01_ts_momentum_12,6,1466,5864,0.016891425993415005,-13.501090493332812,-0.9359541204197468,-0.6087437039702744
A01_ts_momentum_120,1,1468,5872,0.003187264819433664,-3.726381557007467,-0.4840218361706339,-0.3922562970623751
A01_ts_momentum_120,2,1468,5872,0.023373711336328575,-1.9596451416911633,-0.1902160939988174,-0.24083655434393958
A01_ts_momentum_120,3,1468,5872,0.020408909757296933,-3.479144522334281,-0.3504556070447319,-0.30126950121426177
A01_ts_momentum_120,4,1468,5872,0.019639677330238647,-3.338630967976102,-0.43254378496961055,-0.3647672425655205
A01_ts_momentum_120,5,1468,5872,0.015685991402357383,-3.684214178644569,-0.3474237376668132,-0.31435384238682496
A01_ts_momentum_120,6,1466,5864,0.03102340117423167,-4.0534818891814,-0.26295803002621215,-0.23444785175730165
A01_ts_momentum_24,1,1468,5872,0.012995716276609962,-5.621211225613829,-0.7062777844400465,-0.5222315507811837
A01_ts_momentum_24,2,1468,5872,0.04228520604335943,-3.7029720638132155,-0.5405568939246053,-0.4309015965436057
A01_ts_momentum_24,3,1468,5872,0.023056493678654713,-5.60418275819032,-0.717155717985861,-0.5263526600668289
A01_ts_momentum_24,4,1468,5872,-0.007811513186217673,-7.0769653845239295,-0.9689270510967412,-0.6266880646922827
A01_ts_momentum_24,5,1468,5872,-0.018609291899578145,-9.955584230771487,-1.0276647956759166,-0.6453210812778938
A01_ts_momentum_24,6,1466,5864,0.04610525429103996,-9.130329285618723,-0.6589427854958498,-0.4926616880416892
A01_ts_momentum_48,1,1468,5872,0.007094541255072331,-4.3199074698439865,-0.5150872198094093,-0.4225149403933258
A01_ts_momentum_48,2,1468,5872,0.01695539329662766,-3.197717289126073,-0.3938854907948132,-0.37003412608282615
A01_ts_momentum_48,3,1468,5872,0.012424383352192982,-4.788697899317809,-0.5602001827128767,-0.44421322390776374
A01_ts_momentum_48,4,1468,5872,0.004206262467834577,-4.830974635107185,-0.572663797241473,-0.44207438182100656
A01_ts_momentum_48,5,1468,5872,0.0028603441825179143,-7.280991337434559,-0.6953726741736599,-0.5048121019082243
A01_ts_momentum_48,6,1466,5864,0.026579034790032364,-7.259572040100964,-0.5139674317304973,-0.40620073355517405
A01_ts_momentum_72,1,1468,5872,0.01364230826498245,-4.723551673828932,-0.5166991275152052,-0.41831314176011347
A01_ts_momentum_72,2,1468,5872,0.033271331504038985,-2.2810342608921297,-0.26338234449966347,-0.31664423564036737
