alpha_name,passed,median_fold_ic,positive_fold_ratio,max_fold_pnl_ratio,max_year_pnl_ratio,cost_drag_ratio,total_pnl,total_observations,min_fold_observations,check__折IC中位数为正,check__至少60%的折IC为正,check__单折PnL占比不超过50%,check__单一日历年PnL占比不超过60%,check__扣费后成本侵蚀比例不超过70%,check__总有效样本不少于1000根K线,check__每折样本不少于30根K线
A01_ts_momentum_12,False,0.020263411307733386,0.6666666666666666,inf,inf,4.722009846584277,-9.349244114844272,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_120,False,0.02002429354376779,1.0,inf,inf,4.517127849686972,-3.2583649829298302,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_24,False,0.018026104977632337,0.6666666666666666,inf,inf,3.708143186710783,-6.442488258671919,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_48,False,0.009759462303632657,1.0,inf,inf,3.3764405554150043,-4.546660293380073,14668,1466,True,True,False,False,False,True,True
A01_ts_momentum_72,False,0.016020426730079654,0.6666666666666666,inf,inf,4.331526823702576,-4.06962353926284,14668,1466,True,True,False,False,False,True,True
A02_ema_distance_100,False,0.011705762604381071,0.8333333333333334,inf,1.0,2.2582792336528756,-2.2538858082207165,14668,1466,True,True,False,False,False,True,True
A02_ema_distance_20,False,0.024134506252298613,0.8333333333333334,inf,1.0,2.3738259337665713,-3.7698173200834275,14668,1466,True,True,False,False,False,True,True
A02_ema_distance_50,False,0.022084244608033113,0.8333333333333334,inf,1.0,2.173228749259064,-2.8918044851030653,14668,1466,True,True,False,False,False,True,True
A03_donchian_breakout_20,False,-0.005417228719480402,0.3333333333333333,inf,inf,20.516157402679507,-5.138326266774639,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_1,False,-0.005558115100168716,0.5,inf,inf,inf,-28.00714909196225,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_2,False,-0.01331363598784926,0.3333333333333333,inf,inf,inf,-21.55076888962575,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_3,False,-0.026527034853125034,0.3333333333333333,inf,inf,inf,-18.525154526970848,14668,1466,False,False,False,False,False,True,True
A04_short_reversion_6,False,-0.02402602554693875,0.16666666666666666,inf,inf,inf,-14.01558450459179,14668,1466,False,False,False,False,False,True,True
A05_bollinger_reversion_20,False,-0.030295520888610313,0.16666666666666666,inf,inf,inf,-13.978317578130337,14668,1466,False,False,False,False,False,True,True
A06_rsi_reversion_14,False,-0.02571616710133574,0.16666666666666666,inf,inf,inf,-11.44807157224208,14668,1466,False,False,False,False,False,True,True
A07_atr_percentile,False,0.008238018441837129,0.8333333333333334,inf,0.8202973229895427,2.002569918149636,-1.8534168564753308,14668,1466,True,True,False,False,False,True,True
A07_volatility_compression,False,0.0049475073091642275,0.6666666666666666,inf,inf,inf,-3.4242929316938544,14668,1466,True,True,False,False,False,True,True
A08_trend_quality,False,0.005957873643825501,0.5,inf,1.0,1.6827178300105483,-0.3592237756624522,14668,1466,True,False,False,False,False,True,True
A09_efficiency_ratio_20,False,0.013627640198258824,0.6666666666666666,inf,1.0,2.014887314143825,-1.8052530329199805,14668,1466,True,True,False,False,False,True,True
A10_volume_surprise_48,False,0.0024408315305506564,0.6666666666666666,inf,inf,inf,-30.676641595287833,14668,1466,True,True,False,False,False,True,True
A11_signed_volume_pressure_6,False,0.0002568463598089446,0.5,inf,inf,5.25699721547489,-5.589620313671295,14668,1466,True,False,False,False,False,True,True
A12_close_location_value_10,False,0.0044511285458625725,0.5,inf,inf,11.529727567050454,-2.7912087773657452,14668,1466,True,False,False,False,False,True,True
A13_intraday_range_position_10,False,0.004451128545862554,0.5,inf,inf,11.529727567050475,-2.791208777365746,14668,1466,True,False,False,False,False,True,True
A14_gap_proxy,False,-0.014728031736772335,0.16666666666666666,1.0,1.0,14.696654170060787,-0.8414328386212441,14668,1466,False,False,False,False,False,True,True
A15_volatility_adjusted_breakout_20,False,-0.007108109697570376,0.3333333333333333,inf,inf,37.24764452983058,-2.7000973806585957,14668,1466,False,False,False,False,False,True,True
A16_momentum_ensemble,False,0.019106291564995,0.8333333333333334,inf,inf,2.289023319336791,-3.308761700114243,14668,1466,True,True,False,False,False,True,True
A17_mean_reversion_ensemble,False,-0.02293752280516674,0.16666666666666666,inf,inf,inf,-15.055092760260905,14668,1466,False,False,False,False,False,True,True
A20_market_breadth_24,False,,0.0,inf,inf,inf,0.0,14668,1466,False,False,False,False,False,True,True
A21_funding_rate_crowding_90,False,-0.00860852952053409,0.16666666666666666,inf,inf,inf,-15.081046474882115,14668,1466,False,False,False,False,False,True,True
A22_funding_rate_trend_21,False,0.006075400248520836,0.6666666666666666,1.0,inf,inf,-1.057095274349843,14668,1466,True,True,False,False,False,True,True
A23_cross_sectional_relative_strength_24,False,0.01850370879724098,0.6666666666666666,inf,inf,3.302204434396603,-7.3346591832551065,14668,1466,True,True,False,False,False,True,True
