year,observations,initial_capital,final_value,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,average_drawdown,longest_drawdown_days,profit_factor,win_rate,turnover_per_bar,annualized_turnover,total_fees,rebalance_count,exposure_pct,average_exposure,best_year,worst_year,monthly_hit_rate,elapsed_days,positive_complete_year_ratio,complete_year_count,worst_rolling_3y_sharpe,fold_pass
2010,252,10000.0,12189.56493037204,0.2189564930372041,0.22180115566374337,0.1369700370002597,2.164578878282831,3.0121845311432294,3.0250825954713636,-0.07332069411783537,-0.021549040698871483,77.0,1.3449269949168867,0.5555555555555556,,,,,,,0.2189564930372041,0.2189564930372041,0.8181818181818182,361.0,1.0,1,,True
2011,252,10000.0,10126.406644589933,0.012640664458993367,0.012790428852055946,0.15059505706544593,0.19632799613319343,0.26355805196579896,0.12961258230342457,-0.0986820000400378,-0.029105629765614233,79.0,1.0283130073313975,0.5515873015873016,,,,,,,0.012640664458993367,0.012640664458993367,0.5454545454545454,361.0,1.0,1,,True
2012,250,10000.0,11128.803898556385,0.11288038985563853,0.11361838861043916,0.11227251483611,1.4482046008577036,2.1552966593066847,1.1822763500635638,-0.09610137985449052,-0.0412808061841338,137.0,1.2269439235438622,0.532,,,,,,,0.11288038985563853,0.11288038985563853,0.5454545454545454,363.0,1.0,1,,True
2013,252,10000.0,9342.982787602441,-0.06570172123975582,-0.06609519916814721,0.14404684864784684,-0.6111354050333954,-0.699501717570003,-0.4769146353797967,-0.1385891609627612,-0.05587166293627946,227.0,0.9098801046250484,0.5238095238095238,,,,,,,-0.06570172123975582,-0.06570172123975582,0.36363636363636365,363.0,0.0,1,,False
2014,252,10000.0,10302.920260874944,0.030292026087494373,0.03048261974153532,0.10179424099444681,0.4758253447605535,0.730936029449276,0.37347791021689214,-0.08161826685769169,-0.03305658399671257,126.0,1.0681154942734883,0.5357142857142857,,,,,,,0.030292026087494373,0.030292026087494373,0.45454545454545453,363.0,1.0,1,,True
2015,252,10000.0,9443.000096333726,-0.05569999036662743,-0.056035379848799804,0.1036968887919005,-0.749098006189187,-1.1249254567214935,-0.5158849496189172,-0.10861991591379627,-0.05242061359416774,238.0,0.9007168947177815,0.46825396825396826,,,,,,,-0.05569999036662743,-0.05569999036662743,0.36363636363636365,363.0,0.0,1,,False
2016,252,10000.0,10991.667454880317,0.09916674548803162,0.1003909657233637,0.09817840371182014,1.4452326051148825,2.2124748337959383,1.2006217920168187,-0.08361581173262378,-0.02277436420739748,93.0,1.2186121980849034,0.5436507936507936,,,,,,,0.09916674548803162,0.09916674548803162,0.5454545454545454,361.0,1.0,1,,True
2017,251,10000.0,11440.857401843274,0.1440857401843274,0.14633378829350407,0.0684209804477313,2.897775947302981,4.634882761649809,4.52852727726425,-0.032313769871318176,-0.011849527864808406,79.0,1.461247453553974,0.5896414342629482,,,,,,,0.1440857401843274,0.1440857401843274,0.8181818181818182,360.0,1.0,1,,True
2018,251,10000.0,9826.07893031049,-0.017392106968950993,-0.017498960537328356,0.10040152049355507,-0.20407712870674138,-0.3188541908594266,-0.20547538506329316,-0.08516329355916818,-0.03895897203848012,233.0,0.9729281258037221,0.4940239043824701,,,,,,,-0.017392106968950993,-0.017392106968950993,0.36363636363636365,363.0,0.0,1,,False
2019,252,10000.0,12042.497512071152,0.20424975120711508,0.20563785198871898,0.08085330522131086,3.3733508403682926,6.215831736160621,6.488158914516182,-0.03169433034826541,-0.011018923109558418,71.0,1.5527517773705357,0.5992063492063492,,,,,,,0.20424975120711508,0.20424975120711508,0.6363636363636364,363.0,1.0,1,,True
2020,253,10000.0,13976.121959260494,0.39761219592604946,0.3992198228906585,0.21883351930350756,2.32024558155128,2.4099299988819536,1.8764149461753268,-0.21275668460453445,-0.03441266429960565,61.0,1.4360983292308318,0.6482213438735178,,,,,,,0.39761219592604946,0.39761219592604946,0.6363636363636364,364.0,1.0,1,,False
2021,252,10000.0,9932.32816436201,-0.006767183563798906,-0.006846579271184039,0.13704421085866908,-0.003224049567722901,-0.004635400912816539,-0.07109819067339727,-0.0962975176490084,-0.038621497509671046,223.0,0.9995556785492659,0.49603174603174605,,,,,,,-0.006767183563798906,-0.006767183563798906,0.5454545454545454,361.0,0.0,1,,False
2022,251,10000.0,8904.88802518911,-0.10951119748108895,-0.11072630472428624,0.1535866051501957,-1.0218332624300919,-1.6459428309097308,-0.6547232929516684,-0.169119238487915,-0.08645240327731868,187.0,0.8718089310831901,0.46215139442231074,,,,,,,-0.10951119748108895,-0.10951119748108895,0.5454545454545454,361.0,0.0,1,,False
2023,250,10000.0,11386.388316247878,0.13863883162478774,0.14079677930150747,0.09680650825909895,2.008299447883386,3.6776417301577307,1.895915119926859,-0.07426322930898888,-0.024154204560170228,94.0,1.3047152163961233,0.56,,,,,,,0.13863883162478774,0.13863883162478774,0.6363636363636364,360.0,1.0,1,,True
2024,252,10000.0,11832.12478366749,0.18321247836674903,0.1838962459041944,0.11585831129905581,2.1633052991156054,3.2743629226182533,4.554867737319203,-0.04037356439518214,-0.014342830593138211,40.0,1.3291791947795768,0.5873015873015873,,,,,,,0.18321247836674903,0.18321247836674903,0.8181818181818182,364.0,1.0,1,,True
2025,250,10000.0,13890.833748606638,0.3890833748606637,0.39191589133462634,0.14860910795751883,3.3073938132240452,4.421284208377183,5.792807296822154,-0.06765560655705316,-0.017663933489451545,44.0,1.6156840231893088,0.604,,,,,,,0.3890833748606637,0.3890833748606637,1.0,363.0,1.0,1,,True
