open_time,base_return,raw_vol_target,drawdown_scalar,position,turnover,financing_cost,cost,net_pnl,equity,rebalanced
2016-09-12 00:00:00+00:00,-0.0005,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-13 00:00:00+00:00,-0.0014130866621853144,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-14 00:00:00+00:00,-0.0007397569060450737,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-15 00:00:00+00:00,0.0011238217146682223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-16 00:00:00+00:00,-0.0012318985054217118,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-19 00:00:00+00:00,-0.00023809134473877177,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-20 00:00:00+00:00,-0.0001035888214451086,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-21 00:00:00+00:00,0.0019010598886811123,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-22 00:00:00+00:00,0.0013224387861616208,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-23 00:00:00+00:00,-0.001412699518850158,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-26 00:00:00+00:00,-0.0016102479972027722,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-27 00:00:00+00:00,0.0009203464825912412,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-28 00:00:00+00:00,0.001180413861953715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-09-29 00:00:00+00:00,-0.0016409375321274156,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-09-30 00:00:00+00:00,0.001356496841980719,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-03 00:00:00+00:00,-0.000811192461790614,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-04 00:00:00+00:00,-0.0012922986001802541,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-05 00:00:00+00:00,0.0012085420357241846,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-06 00:00:00+00:00,0.00011344525918474391,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-07 00:00:00+00:00,-0.0008420152409270026,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-10 00:00:00+00:00,0.0011886010711854942,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-11 00:00:00+00:00,-0.003003607721208668,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-12 00:00:00+00:00,0.000266178888561399,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-13 00:00:00+00:00,-0.0005915808580050092,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-14 00:00:00+00:00,-0.00016302715567610904,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-17 00:00:00+00:00,-0.0008072068705334532,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-18 00:00:00+00:00,0.0014671595313847487,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-19 00:00:00+00:00,0.00039462739804345165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-20 00:00:00+00:00,-0.0005988985879351144,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-21 00:00:00+00:00,-0.00033753442456213253,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
2016-10-24 00:00:00+00:00,0.000763926489773474,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,False
2016-10-25 00:00:00+00:00,-0.0007902929137050516,0.0,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,False
