leverage,path__initial_capital,path__final_value,path__total_return,path__cagr,path__annualized_volatility,path__sharpe_ratio,path__sortino_ratio,path__calmar_ratio,path__max_drawdown,path__average_drawdown,path__longest_drawdown_days,path__profit_factor,path__win_rate,path__turnover_per_bar,path__annualized_turnover,path__total_fees,path__rebalance_count,path__exposure_pct,path__average_exposure,path__best_year,path__worst_year,path__monthly_hit_rate,path__elapsed_days,path__positive_complete_year_ratio,path__complete_year_count,path__worst_rolling_3y_sharpe,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__sample_at_least_6_25y,check__worst_rolling_3y_sharpe_at_least_1,check__account_executable_for_10000,check__same_strategy_for_full_sample,check__unsmoothed_daily_nav,check__solvent,check__start_by_2020_03_31,check__end_by_2026_08_31,check__span_at_least_6_25y,check__weekday_coverage_at_least_94pct,ending_equity,entry_sales_load,exit_sales_load,total_external_cost_pct_initial,total_financing_cost_pct_initial,strict_gate_passed
1.0,10000.0,21226.56419995806,1.1226564199958058,0.11895412991987375,0.14058868599276375,1.2333559074023386,1.5905444494100587,0.6723426529816544,-0.17692486025145804,-0.03646832808188104,363.0,1.191468376163143,0.5243757431629013,,,,,,,0.20158798683732537,0.037116658115138756,0.675,2445.9583333333335,1.0,6,0.05715042862097617,True,True,False,False,True,False,True,True,False,False,True,True,True,True,True,True,True,21226.56419995806,0.0,0.0,0.002,0.0,False
1.5,10000.0,26144.34416568461,1.6144344165684612,0.15431987581883222,0.2108830289891456,1.0958953664709612,1.4176818601373602,0.5758666211806474,-0.26797850429747794,-0.06165274895914741,412.0,1.1684193599892199,0.5243757431629013,,,,,,,0.28329077699310323,0.03041444354093681,0.65,2445.9583333333335,1.0,6,-0.06940625689785206,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,26144.34416568461,0.0,0.0,0.003,0.13349206349206347,False
2.0,10000.0,31464.26835684489,2.1464268356844887,0.18669222987828338,0.28117737198552745,1.027165096005273,1.3287703995521105,0.5313805286103847,-0.35133434483665216,-0.0878530584967438,419.0,1.1570676751899212,0.5243757431629013,,,,,,,0.36496451559022547,0.02049290365428247,0.6375,2445.9583333333335,1.0,6,-0.1326845996572662,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,True,31464.26835684489,0.0,0.0,0.004,0.26698412698412693,False
2.5,10000.0,36994.198830677975,2.699419883067798,0.21573310479614238,0.3514717149819093,0.9859269337258603,1.2754235232009612,0.5048362773068714,-0.42733280965267506,-0.11430976580654945,421.0,1.1503109755314835,0.5243757431629013,,,,,,,0.44585191032512284,0.007443600755548729,0.6125,2445.9583333333335,1.0,6,-0.17065160531291498,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,36994.198830677975,0.0,0.0,0.005,0.4004761904761906,False
3.0,10000.0,42486.72379973302,3.2486723799733026,0.24112574211037963,0.4217660579782912,0.9584348255395847,1.2398589389668608,0.485807999220502,-0.49633958785626286,-0.14117101758160916,425.0,1.1458289136545587,0.5243757431629013,,,,,,,0.5251402421284559,-0.008614336003227918,0.5875,2445.9583333333335,0.6666666666666666,6,-0.19596294241667978,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,42486.72379973302,0.0,0.0,0.006,0.5339682539682539,False
4.0,10000.0,52188.77953879855,4.218877953879855,0.2798360524933916,0.5623547439710549,0.9240696903067402,1.1954032086742354,0.45507018019503037,-0.6149294431321817,-0.19669591561244337,462.0,1.140251353857199,0.5243757431629013,,,,,,,0.6754457469694788,-0.05323470993523893,0.5875,2445.9583333333335,0.6666666666666666,6,-0.2276021137963875,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,True,True,52188.77953879855,0.0,0.0,0.008,0.8009523809523812,False
