date,QMJ_GLOBAL
07/31/1989,0.012348174920378426
08/31/1989,0.0009800740417315516
09/30/1989,0.0027077644868853576
10/31/1989,0.03122863348629649
11/30/1989,0.00758047364793772
12/31/1989,0.019082528371808495
01/31/1990,0.010002013226056275
02/28/1990,-0.007297789724398804
03/31/1990,0.019684548514901146
04/30/1990,0.027387740248657547
05/31/1990,0.001593167178557043
06/30/1990,0.014447688238689896
07/31/1990,0.021772852254656642
08/31/1990,0.01477890311306714
09/30/1990,0.04275361744941682
10/31/1990,0.042012188712577316
11/30/1990,-0.007619505726132582
12/31/1990,0.020764832034327642
01/31/1991,-0.007697307264286732
02/28/1991,-0.03168572597744958
03/31/1991,-0.005089488506425811
04/30/1991,0.0009782219711298283
05/31/1991,-0.0032632347536208374
06/30/1991,0.023517381293380754
07/31/1991,0.002398446079397118
08/31/1991,0.0022097591752758684
09/30/1991,-0.008864105437629067
10/31/1991,-0.005330441927324609
11/30/1991,0.03307087267142217
12/31/1991,0.017302069697094427
01/31/1992,-0.043205122718609296
02/29/1992,-0.01038805142555856
03/31/1992,0.010523545423677711
04/30/1992,0.010784118778008812
05/31/1992,0.003178612170697318
06/30/1992,0.011276698217375945
07/31/1992,0.012812278391851773
08/31/1992,0.03148322765700812
09/30/1992,0.007841604728965314
10/31/1992,0.01633370034928374
11/30/1992,-0.011125464047751926
12/31/1992,-0.009375027992919033
01/31/1993,-0.036168040195636825
02/28/1993,-0.01731714251391772
03/31/1993,-0.013428490615173856
04/30/1993,-0.025526774218840777
05/31/1993,-0.00884744819017169
06/30/1993,-0.02186454738120839
07/31/1993,-0.008273319049697376
08/31/1993,-0.0015415764700654256
09/30/1993,0.016035271239352625
10/31/1993,-0.0035078371776576757
11/30/1993,0.023900196583681026
12/31/1993,-0.001300060742535492
01/31/1994,-0.029791080639216642
02/28/1994,0.017986138872095724
03/31/1994,0.012997882776066583
04/30/1994,-0.008690485017953813
05/31/1994,-0.007446763790785114
06/30/1994,0.009452390935744074
07/31/1994,-0.0006056481333184928
08/31/1994,0.008244604842379277
09/30/1994,0.008961506442143156
10/31/1994,0.01281412261787051
11/30/1994,0.015996933486351575
12/31/1994,0.0011479178493823815
01/31/1995,-0.00973264042745888
02/28/1995,0.006888312946513846
03/31/1995,0.019251667764951526
04/30/1995,-0.013458531242303649
05/31/1995,0.009239281822914345
06/30/1995,0.013430630936741648
07/31/1995,-0.022675203926630305
08/31/1995,-0.008971842748502932
09/30/1995,0.012118141318184214
10/31/1995,0.02628647219535863
11/30/1995,-0.016759303477212936
12/31/1995,-0.00655675416480081
01/31/1996,-0.008528936707071503
02/29/1996,0.012193074010973524
03/31/1996,-0.00746632349315733
04/30/1996,0.004169694401507989
05/31/1996,0.007638431062234991
06/30/1996,0.016150281990809316
07/31/1996,0.017670714961122325
08/31/1996,-0.004458432465388077
09/30/1996,0.007781235261550091
10/31/1996,0.004366625096255637
11/30/1996,0.008554036290086893
12/31/1996,0.007685751747304806
01/31/1997,0.005042019706891511
02/28/1997,-0.0021757243364776066
03/31/1997,0.009007977365813798
04/30/1997,0.017982014691906485
05/31/1997,-0.0024259875601462407
06/30/1997,0.003839809784019186
07/31/1997,0.010612353243939344
08/31/1997,-0.007192831946450198
09/30/1997,-0.0012594735160042902
10/31/1997,0.00968168940376905
11/30/1997,0.024405081499778578
12/31/1997,0.00041653352853384523
01/31/1998,-0.003295444344844777
02/28/1998,-0.017318715761379378
03/31/1998,0.0008157265851012499
04/30/1998,0.00013324692294869924
05/31/1998,0.013907436447360894
06/30/1998,0.015302142330633308
07/31/1998,0.012825547370955533
08/31/1998,0.06078923052072588
09/30/1998,0.019063122934338247
10/31/1998,-0.025256617482221536
11/30/1998,-0.004324032694867497
12/31/1998,0.018398216271575653
01/31/1999,-0.02020799421897661
02/28/1999,0.0035651677626145524
03/31/1999,-0.019707459780418046
04/30/1999,-0.03820367982459832
05/31/1999,0.019493811510179017
06/30/1999,0.008196092214281404
07/31/1999,0.012849840683780834
08/31/1999,0.013490818046234606
