leverage,path__initial_capital,path__final_value,path__total_return,path__cagr,path__annualized_volatility,path__sharpe_ratio,path__sortino_ratio,path__calmar_ratio,path__max_drawdown,path__average_drawdown,path__longest_drawdown_days,path__profit_factor,path__win_rate,path__turnover_per_bar,path__annualized_turnover,path__total_fees,path__rebalance_count,path__exposure_pct,path__average_exposure,path__best_year,path__worst_year,path__monthly_hit_rate,path__elapsed_days,path__positive_complete_year_ratio,path__complete_year_count,path__worst_rolling_3y_sharpe,check__independent_oos,check__costs_included,check__cagr_at_least_40pct,check__sharpe_above_1_5,check__max_drawdown_at_most_20pct,check__profit_factor_above_1_3,check__walk_forward_passed,check__sample_at_least_10y,check__worst_rolling_3y_sharpe_at_least_1,check__account_executable_for_10000,check__same_strategy_for_full_sample,check__unsmoothed_daily_nav,check__solvent,check__start_by_2016_06_30,check__end_by_2026_08_31,check__span_at_least_10y,check__weekday_coverage_at_least_94pct,ending_equity,entry_sales_load,exit_sales_load,total_external_cost_pct_initial,total_financing_cost_pct_initial,strict_gate_passed
1.0,10000.0,12347.866942382137,0.23478669423821374,0.018844920153337164,0.10755176560668381,0.3100539407614881,0.16609865872516263,0.041433824360129115,-0.45481971419155864,-0.15015400288270347,1638.0,1.1254241219503456,0.3704225352112676,,,,,,,0.14767881829117302,-0.21901748990808245,0.6764705882352942,4126.0,0.6,10,-2.121929818998202,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,12347.866942382137,0.0475,0.0,0.0495,0.0,False
1.5,10000.0,10512.673899001687,0.05126738990016877,0.0044356963047005316,0.16132764841002573,0.1303693329227876,0.11562206345668767,0.007268974622874668,-0.6102231105253664,-0.22343553859743398,1638.0,1.0504284779385362,0.3700704225352113,,,,,,,0.20491589010659128,-0.3246052854745406,0.6691176470588235,4126.0,0.6,10,-2.379340000004148,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,10512.673899001687,0.0475,0.0,0.07425000000000001,0.2253968253968254,False
2.0,10000.0,8661.303665658324,-0.13386963343416758,-0.012642063714003227,0.21510353121336762,0.0405270290034374,0.035942645514046453,-0.017352251502525996,-0.7285546611725229,-0.30688689053237883,1638.0,1.0153405328494116,0.3700704225352113,,,,,,,0.2648370537337845,-0.41662264632189117,0.6470588235294118,4126.0,0.6,10,-2.5080450905071627,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,8661.303665658324,0.0475,0.0,0.099,0.4507936507936508,False
3.0,10000.0,5188.224541101767,-0.4811775458898233,-0.056433914502452276,0.32265529682005145,-0.04931527491591293,-0.04373677242859487,-0.06401967683107104,-0.8815088937634699,-0.4423464676643292,1638.0,0.9817243955671088,0.3700704225352113,,,,,,,0.3932093289625951,-0.5664028118414737,0.6397058823529411,4126.0,0.6,10,-2.636750181010118,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,5188.224541101767,0.0475,0.0,0.14850000000000002,0.9015873015873016,False
5.0,10000.0,658.7173286040137,-0.9341282671395986,-0.21399279876685107,0.5377588280334191,-0.12118911805139312,-0.10748030678270785,-0.21586159987126535,-0.9913425958784295,-0.6026678105237795,1638.0,0.9558299835537667,0.3700704225352113,,,,,,,0.6877013821070299,-0.918268309818032,0.625,4126.0,0.6,10,-2.739714253412521,True,True,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,658.7173286040137,0.0475,0.0,0.2475,1.8031746031746032,False
