date,gross_fund_return,leverage,external_cost,financing_cost,net_return,equity,solvent
2015-05-29 13:30:00+00:00,0.0,1.5,0.07275000000000001,7.936507936507937e-05,-0.07282936507936509,9271.70634920635,True
2015-06-01 13:30:00+00:00,0.0,1.5,0.0,7.936507936507937e-05,-7.936507936507937e-05,9270.970499496094,True
2015-06-02 13:30:00+00:00,0.02200012263822404,1.5,0.0,7.936507936507937e-05,0.03292081887797098,9576.178440133017,True
2015-06-03 13:30:00+00:00,0.011741802434640736,1.5,0.0,7.936507936507937e-05,0.017533338572596025,9744.080818955465,True
2015-06-04 13:30:00+00:00,0.0,1.5,0.0,7.936507936507937e-05,-7.936507936507937e-05,9743.307479207928,True
2015-06-05 13:30:00+00:00,0.005802292892494565,1.5,0.0,7.936507936507937e-05,0.008624074259376767,9827.334486440559,True
2015-06-08 13:30:00+00:00,0.0019226834458478947,1.5,0.0,7.936507936507937e-05,0.002804660089406763,9854.896819259928,True
2015-06-09 13:30:00+00:00,0.0,1.5,0.0,7.936507936507937e-05,-7.936507936507937e-05,9854.114684591732,True
2015-06-10 13:30:00+00:00,0.0,1.5,0.0,7.936507936507937e-05,-7.936507936507937e-05,9853.332611997717,True
2015-06-11 13:30:00+00:00,0.003838500116883692,1.5,0.0,7.936507936507937e-05,0.0056783850959604585,9909.283629047226,True
2015-06-12 13:30:00+00:00,0.006693263199576638,1.5,0.0,7.936507936507937e-05,0.009960529719999877,10007.98534313826,True
2015-06-15 13:30:00+00:00,0.0,1.5,0.0,7.936507936507937e-05,-7.936507936507937e-05,10007.191058587217,True
2015-06-16 13:30:00+00:00,0.0,1.5,0.0,7.936507936507937e-05,-7.936507936507937e-05,10006.39683707463,True
2015-06-17 13:30:00+00:00,0.000948965789563605,1.5,0.0,7.936507936507937e-05,0.0013440836049803282,10019.846271008268,True
2015-06-18 13:30:00+00:00,0.0,1.5,0.0,7.936507936507937e-05,-7.936507936507937e-05,10019.051045113743,True
