date,MDY,UDN,DBA,EMB
2007-12-19 00:00:00+00:00,122.36416625976562,22.879291534423828,27.1514892578125,40.76969909667969
2007-12-20 00:00:00+00:00,124.20384216308594,22.811973571777344,27.311750411987305,40.78580093383789
2007-12-21 00:00:00+00:00,125.5694580078125,22.845632553100582,27.66600799560547,40.74150466918945
2007-12-24 00:00:00+00:00,126.7862548828125,22.92136001586914,28.054004669189453,40.81401443481445
2007-12-26 00:00:00+00:00,126.70671844482422,23.0223388671875,28.290178298950195,40.846221923828125
2007-12-27 00:00:00+00:00,124.7184600830078,23.165388107299805,28.0202693939209,40.8143424987793
2007-12-28 00:00:00+00:00,124.471923828125,23.28318977355957,27.826269149780273,40.83050537109375
2007-12-31 00:00:00+00:00,123.3505630493164,23.207460403442383,27.826269149780273,40.8869743347168
2008-01-02 00:00:00+00:00,122.51554870605467,23.38416862487793,28.197397232055664,40.943477630615234
2008-01-03 00:00:00+00:00,121.61683654785156,23.42623519897461,28.863744735717773,41.01608657836914
2008-01-04 00:00:00+00:00,118.220947265625,23.443069458007812,29.16739845275879,41.036251068115234
2008-01-07 00:00:00+00:00,117.49723052978516,23.34209442138672,28.779396057128903,41.129051208496094
2008-01-08 00:00:00+00:00,114.75337982177734,23.4009952545166,29.099916458129883,41.229881286621094
2008-01-09 00:00:00+00:00,115.39756774902344,23.249530792236328,28.981834411621097,41.19762420654297
2008-01-10 00:00:00+00:00,116.2724380493164,23.42623519897461,29.099916458129883,41.23390197753906
2008-01-11 00:00:00+00:00,114.94428253173828,23.409412384033203,30.744693756103516,41.08463287353515
2008-01-14 00:00:00+00:00,116.04180908203124,23.518798828125,30.6940860748291,41.22584915161133
2008-01-15 00:00:00+00:00,113.40935516357422,23.535627365112305,30.854347229003903,41.29444122314453
2008-01-16 00:00:00+00:00,112.91625213623048,23.325260162353516,30.727827072143555,41.350921630859375
2008-01-17 00:00:00+00:00,109.64759063720705,23.333677291870117,31.63034439086914,41.31461715698242
2008-01-18 00:00:00+00:00,108.71707153320312,23.300020217895508,30.854347229003903,41.33879852294922
2008-01-22 00:00:00+00:00,108.46260833740234,23.241119384765625,30.061479568481445,41.14112854003906
